Case,SignalPresent,InputFile,InputSHA256,PreviousThreshold,ConfiguredThreshold,DetectionThresholdSource,MetricDomain,DetectionMetric,ToolboxDetectionMetric,PreviousDetected,ConfiguredDetected,ConfiguredDTX,Source
ACK,1,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_ack.mat,c5e81b59b9099a1d7a6f28e32548450f3eba8c5aafd1788b24f3cb60eafd53ec,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.999999999980482,0.999999999980482,1,1,0,actual_retained_IQ_component_replay
NACK,1,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_nack.mat,7484ca714ca8e597c3c906afad37a3dc47c7c67f9ff691cbcdf943f18b9846fe,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.999999999983909,0.999999999983909,1,1,0,actual_retained_IQ_component_replay
NO_SIGNAL_1,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_1.mat,9673ea9350c18d4bfaf31fb1c5559f3ec169a9f21ab7a45d206b6768df36e9b0,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.437715456059183,0.437715456059183,1,1,0,actual_retained_IQ_component_replay
NO_SIGNAL_2,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_2.mat,d03e2a89c578e37237b4ae5a553c6b9bfca5afbca4ab7d1b969af2c563391a61,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.32562913498734,0.32562913498734,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_3,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_3.mat,1d35f4cfcbc2205b2c7e05eddd54e7d27798b1233bdfbcd822bafb2bcbf2813c,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.309761233942343,0.309761233942343,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_4,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_4.mat,a989dddd082c4a44da150d71cbeaf479acb9e5f596782751e8f55d02f1455eb1,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.36087753340495,0.36087753340495,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_5,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_5.mat,79361fc7a2b1ccdf944a4b425c4cbb13dd5503d4a1ddc0c20219bd52d49fa348,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.238961875233552,0.238961875233552,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_6,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_6.mat,db945a3f21e8963b3ebb01974b35819091447ca8b09483136745897631b953f2,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.361697304258454,0.361697304258454,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_7,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_7.mat,100303660eb9d7b3b35d694822171cb5c1a0f04b2f90438dfd97ce3be175ce6d,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.37844724461958,0.37844724461958,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_8,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_8.mat,394e9c3eb322668bec11152e46871fcf6ac99068b54f9a7461ee29e23d2447f8,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.374511946299897,0.374511946299897,1,0,1,actual_retained_IQ_component_replay
