FamilyID,CaseID,PAPR_dB,OutputPower_dBm,EVM_pct,ACLR_dB,SEMmargin_dB,Status
F25,F25-P01-B,8.75083279987768,-6.24583600061162,75.0832799877676,37.4916720012232,6.24583600061162,PASS
F25,F25-P01-T,8.29781993873368,-8.51090030633162,29.7819938733676,42.0218006126632,8.51090030633162,PASS
F25,F25-P02-B,8.75092035850837,-6.24539820745815,75.092035850837,37.4907964149163,6.24539820745815,PASS
F25,F25-P02-T,8.2980860888401,-8.5095695557995,29.80860888401,42.019139111599,8.5095695557995,PASS
F25,F25-P03-B,8.750915677871,-6.24542161064499,75.0915677871003,37.49084322129,6.24542161064499,PASS
F25,F25-P03-T,8.29806093831223,-8.50969530843884,29.8060938312231,42.0193906168777,8.50969530843884,PASS
F25,F25-P04-B,8.7505886158329,-6.2470569208355,75.0588615832901,37.494113841671,6.2470569208355,PASS
F25,F25-P04-T,8.29712568992612,-8.51437155036938,29.7125689926123,42.0287431007388,8.51437155036938,PASS
F25,F25-P05-B,8.75091350465347,-6.24543247673266,75.0913504653468,37.4908649534653,6.24543247673266,PASS
F25,F25-P05-T,8.29805145145868,-8.5097427427066,29.8051451458679,42.0194854854132,8.5097427427066,PASS
F25,F25-P06-B,8.75046870051547,-6.24765649742262,75.0468700515475,37.4953129948452,6.24765649742262,PASS
F25,F25-P06-T,8.29678531922684,-8.51607340386581,29.6785319226838,42.0321468077316,8.51607340386581,PASS
F26,F26-P01-B,8.75083279987768,-6.24583600061162,75.0832799877676,37.4916720012232,6.24583600061162,PASS
F26,F26-P01-T,8.28147081697224,-8.59264591513882,28.1470816972236,42.1852918302776,8.59264591513882,PASS
F26,F26-P02-B,8.75092035850837,-6.24539820745815,75.092035850837,37.4907964149163,6.24539820745815,PASS
F26,F26-P02-T,8.2817450687205,-8.59127465639752,28.1745068720496,42.182549312795,8.59127465639752,PASS
F26,F26-P03-B,8.750915677871,-6.24542161064499,75.0915677871003,37.49084322129,6.24542161064499,PASS
F26,F26-P03-T,8.28171815544862,-8.5914092227569,28.171815544862,42.1828184455138,8.5914092227569,PASS
F26,F26-P04-B,8.7505886158329,-6.2470569208355,75.0588615832901,37.494113841671,6.2470569208355,PASS
F26,F26-P04-T,8.28075981489384,-8.59620092553082,28.0759814893836,42.1924018510616,8.59620092553082,PASS
F26,F26-P05-B,8.75091350465347,-6.24543247673266,75.0913504653468,37.4908649534653,6.24543247673266,PASS
F26,F26-P05-T,8.28170811677652,-8.59145941611738,28.1708116776525,42.1829188322347,8.59145941611738,PASS
F26,F26-P06-B,8.75046870051547,-6.24765649742262,75.0468700515475,37.4953129948452,6.24765649742262,PASS
F26,F26-P06-T,8.28041128498091,-8.59794357509544,28.0411284980911,42.1958871501909,8.59794357509544,PASS
F27,F27-P01-B,8.56273944560984,-7.18630277195079,56.2739445609842,39.3726055439016,7.18630277195079,PASS
F27,F27-P01-T,8.31217525256101,-8.43912373719497,31.2175252561007,41.8782474743899,8.43912373719497,PASS
F27,F27-P02-B,8.56226796489496,-7.18866017552519,56.2267964894963,39.3773203510504,7.18866017552519,PASS
F27,F27-P02-T,8.31649517970667,-8.41752410146667,31.6495179706667,41.8350482029333,8.41752410146667,PASS
F27,F27-P03-B,8.5638952441482,-7.18052377925898,56.3895244148204,39.361047558518,7.18052377925898,PASS
F27,F27-P03-T,8.30949162001247,-8.45254189993766,30.9491620012467,41.9050837998753,8.45254189993766,PASS
F27,F27-P04-B,8.55755112670064,-7.21224436649681,55.7551126700638,39.4244887329936,7.21224436649681,PASS
F27,F27-P04-T,8.326959667569,-8.36520166215501,32.6959667568999,41.73040332431,8.36520166215501,PASS
F27,F27-P05-B,8.56386376807314,-7.18068115963429,56.3863768073142,39.3613623192686,7.18068115963429,PASS
F27,F27-P05-T,8.3097681962254,-8.451159018873,30.9768196225401,41.902318037746,8.451159018873,PASS
F27,F27-P06-B,8.55569922816824,-7.22150385915879,55.5699228168242,39.4430077183176,7.22150385915879,PASS
F27,F27-P06-T,8.33083219026475,-8.34583904867627,33.0832190264746,41.6916780973525,8.34583904867627,PASS
F28,F28-P01-B,8.75083279987768,-6.24583600061162,75.0832799877676,37.4916720012232,6.24583600061162,PASS
F28,F28-P01-T,8.24762518880722,-8.76187405596392,24.7625188807216,42.5237481119278,8.76187405596392,PASS
F28,F28-P02-B,8.75092035850837,-6.24539820745815,75.092035850837,37.4907964149163,6.24539820745815,PASS
F28,F28-P02-T,8.24791731965531,-8.76041340172343,24.7917319655313,42.5208268034469,8.76041340172343,PASS
F28,F28-P03-B,8.750915677871,-6.24542161064499,75.0915677871003,37.49084322129,6.24542161064499,PASS
F28,F28-P03-T,8.24788607059415,-8.76056964702926,24.7886070594148,42.5211392940585,8.76056964702926,PASS
F28,F28-P04-B,8.7505886158329,-6.2470569208355,75.0588615832901,37.494113841671,6.2470569208355,PASS
F28,F28-P04-T,8.24687917119682,-8.76560414401589,24.6879171196822,42.5312082880318,8.76560414401589,PASS
F28,F28-P05-B,8.75091350465347,-6.24543247673266,75.0913504653468,37.4908649534653,6.24543247673266,PASS
F28,F28-P05-T,8.24787469654381,-8.76062651728096,24.7874696543807,42.5212530345619,8.76062651728096,PASS
F28,F28-P06-B,8.75046870051547,-6.24765649742262,75.0468700515475,37.4953129948452,6.24765649742262,PASS
F28,F28-P06-T,8.24651361809308,-8.76743190953461,24.6513618093077,42.5348638190692,8.76743190953461,PASS
F29,F29-P01-B,8.75083279987768,-6.24583600061162,75.0832799877676,37.4916720012232,6.24583600061162,PASS
F29,F29-P01-T,8.23011153572334,-8.84944232138329,23.0111535723343,42.6988846427666,8.84944232138329,PASS
F29,F29-P02-B,8.75092035850837,-6.24539820745815,75.092035850837,37.4907964149163,6.24539820745815,PASS
F29,F29-P02-T,8.23041367580281,-8.84793162098595,23.041367580281,42.6958632419719,8.84793162098595,PASS
F29,F29-P03-B,8.750915677871,-6.24542161064499,75.0915677871003,37.49084322129,6.24542161064499,PASS
F29,F29-P03-T,8.23037971288189,-8.84810143559057,23.0379712881885,42.6962028711811,8.84810143559057,PASS
F29,F29-P04-B,8.7505886158329,-6.2470569208355,75.0588615832901,37.494113841671,6.2470569208355,PASS
F29,F29-P04-T,8.22934717311013,-8.85326413444935,22.9347173110129,42.7065282688987,8.85326413444935,PASS
F29,F29-P05-B,8.75091350465347,-6.24543247673266,75.0913504653468,37.4908649534653,6.24543247673266,PASS
F29,F29-P05-T,8.23036751562621,-8.84816242186896,23.0367515626207,42.6963248437379,8.84816242186896,PASS
F29,F29-P06-B,8.75046870051547,-6.24765649742262,75.0468700515475,37.4953129948452,6.24765649742262,PASS
F29,F29-P06-T,8.22897272172963,-8.85513639135185,22.8972721729629,42.7102727827037,8.85513639135185,PASS
F30,F30-P01-B,8.56273944560984,-7.18630277195079,56.2739445609842,39.3726055439016,7.18630277195079,PASS
F30,F30-P01-T,8.4017408295094,-7.99129585245302,40.1740829509397,40.982591704906,7.99129585245302,PASS
F30,F30-P02-B,8.56226796489496,-7.18866017552519,56.2267964894963,39.3773203510504,7.18866017552519,PASS
F30,F30-P02-T,8.40520098916186,-7.97399505419069,40.5200989161861,40.9479901083814,7.97399505419069,PASS
F30,F30-P03-B,8.5638952441482,-7.18052377925898,56.3895244148204,39.361047558518,7.18052377925898,PASS
F30,F30-P03-T,8.39865140535867,-8.00674297320666,39.8651405358668,41.0134859464133,8.00674297320666,PASS
F30,F30-P04-B,8.55755112670064,-7.21224436649681,55.7551126700638,39.4244887329936,7.21224436649681,PASS
F30,F30-P04-T,8.41612088609145,-7.91939556954276,41.6120886091449,40.8387911390855,7.91939556954276,PASS
F30,F30-P05-B,8.56386376807314,-7.18068115963429,56.3863768073142,39.3613623192686,7.18068115963429,PASS
F30,F30-P05-T,8.39900807062125,-8.00495964689373,39.9008070621255,41.0099192937874,8.00495964689373,PASS
F30,F30-P06-B,8.55569922816824,-7.22150385915879,55.5699228168242,39.4430077183176,7.22150385915879,PASS
F30,F30-P06-T,8.42107876546571,-7.89460617267144,42.1078765465712,40.7892123453429,7.89460617267144,PASS
F31,F31-P01-B,8.75083279987768,-6.24583600061162,75.0832799877676,37.4916720012232,6.24583600061162,PASS
F31,F31-P01-T,8.19385940431413,-9.03070297842935,19.3859404314131,43.0614059568587,9.03070297842935,PASS
F31,F31-P02-B,8.75092035850837,-6.24539820745815,75.092035850837,37.4907964149163,6.24539820745815,PASS
F31,F31-P02-T,8.19418464030697,-9.02907679846514,19.4184640306971,43.0581535969303,9.02907679846514,PASS
F31,F31-P03-B,8.750915677871,-6.24542161064499,75.0915677871003,37.49084322129,6.24542161064499,PASS
F31,F31-P03-T,8.19414358140008,-9.02928209299958,19.4143581400085,43.0585641859992,9.02928209299958,PASS
F31,F31-P04-B,8.7505886158329,-6.2470569208355,75.0588615832901,37.494113841671,6.2470569208355,PASS
F31,F31-P04-T,8.19305636995912,-9.03471815020439,19.3056369959122,43.0694363004088,9.03471815020439,PASS
F31,F31-P05-B,8.75091350465347,-6.24543247673266,75.0913504653468,37.4908649534653,6.24543247673266,PASS
F31,F31-P05-T,8.19412926452132,-9.02935367739342,19.4129264521317,43.0587073547868,9.02935367739342,PASS
F31,F31-P06-B,8.75046870051547,-6.24765649742262,75.0468700515475,37.4953129948452,6.24765649742262,PASS
F31,F31-P06-T,8.19266322347431,-9.03668388262847,19.2663223474307,43.0733677652569,9.03668388262847,PASS
F32,F32-P01-B,8.75083279987768,-6.24583600061162,75.0832799877676,37.4916720012232,6.24583600061162,PASS
F32,F32-P01-T,8.17510396864213,-9.12448015678934,17.5103968642131,43.2489603135787,9.12448015678934,PASS
F32,F32-P02-B,8.75092035850837,-6.24539820745815,75.092035850837,37.4907964149163,6.24539820745815,PASS
F32,F32-P02-T,8.17544292840293,-9.12278535798535,17.5442928402931,43.2455707159707,9.12278535798535,PASS
F32,F32-P03-B,8.750915677871,-6.24542161064499,75.0915677871003,37.49084322129,6.24542161064499,PASS
F32,F32-P03-T,8.17539709254276,-9.12301453728622,17.5397092542756,43.2460290745724,9.12301453728622,PASS
F32,F32-P04-B,8.7505886158329,-6.2470569208355,75.0588615832901,37.494113841671,6.2470569208355,PASS
F32,F32-P04-T,8.17428041353086,-9.12859793234568,17.4280413530864,43.2571958646914,9.12859793234568,PASS
F32,F32-P05-B,8.75091350465347,-6.24543247673266,75.0913504653468,37.4908649534653,6.24543247673266,PASS
F32,F32-P05-T,8.17538136817609,-9.12309315911954,17.5381368176092,43.2461863182391,9.12309315911954,PASS
F32,F32-P06-B,8.75046870051547,-6.24765649742262,75.0468700515475,37.4953129948452,6.24765649742262,PASS
F32,F32-P06-T,8.17387739236681,-9.13061303816595,17.387739236681,43.2612260763319,9.13061303816595,PASS
F25,F25-P01-B,8.75083279987768,-6.24583600061162,75.0832799877676,37.4916720012232,6.24583600061162,PASS
F25,F25-P01-T,8.29781993873368,-8.51090030633162,29.7819938733676,42.0218006126632,8.51090030633162,PASS
