FamilyID,CaseID,RequestedPower_dBm,AppliedPower_dBm,MeasuredPower_dBm,PowerError_dB,BLER,Status
F53,F53-P01-B,0.0205999132796251,0.0205999132796251,0.0205999132796251,0,0.0342175486904994,PASS
F53,F53-P01-T,21,21,21,0,3.25294129755402e-05,PASS
F53,F53-P02-B,0.0205999132796251,0.0205999132796251,0.0205999132796251,0,0.0342175486904994,PASS
F53,F53-P02-T,21,21,21,0,3.25294129755402e-05,PASS
F53,F53-P03-B,0.0205999132796251,0.0205999132796251,0.0205999132796251,0,0.0342175486904994,PASS
F53,F53-P03-T,21,21,21,0,3.25294129755402e-05,PASS
F53,F53-P04-B,0.0205999132796251,0.0205999132796251,0.0205999132796251,0,0.0342175486904994,PASS
F53,F53-P04-T,21,21,21,0,3.25294129755402e-05,PASS
F53,F53-P05-B,0.0205999132796251,0.0205999132796251,0.0205999132796251,0,0.0342175486904994,PASS
F53,F53-P05-T,21,21,21,0,3.25294129755402e-05,PASS
F53,F53-P06-B,0.0205999132796251,0.0205999132796251,0.0205999132796251,0,0.0342175486904994,PASS
F53,F53-P06-T,21,21,21,0,3.25294129755402e-05,PASS
F54,F54-P01-B,-6,-6,-6,0,0.208608527326045,PASS
F54,F54-P01-T,14.9794000867204,14.9794000867204,14.9794000867204,0,0.000241967124072487,PASS
F54,F54-P02-B,-6,-6,-6,0,0.208608527326045,PASS
F54,F54-P02-T,14.9794000867204,14.9794000867204,14.9794000867204,0,0.000241967124072487,PASS
F54,F54-P03-B,-6,-6,-6,0,0.208608527326045,PASS
F54,F54-P03-T,14.9794000867204,14.9794000867204,14.9794000867204,0,0.000241967124072487,PASS
F54,F54-P04-B,-6,-6,-6,0,0.208608527326045,PASS
F54,F54-P04-T,14.9794000867204,14.9794000867204,14.9794000867204,0,0.000241967124072487,PASS
F54,F54-P05-B,-6,-6,-6,0,0.208608527326045,PASS
F54,F54-P05-T,14.9794000867204,14.9794000867204,14.9794000867204,0,0.000241967124072487,PASS
F54,F54-P06-B,-6,-6,-6,0,0.208608527326045,PASS
F54,F54-P06-T,14.9794000867204,14.9794000867204,14.9794000867204,0,0.000241967124072487,PASS
F55,F55-P01-B,-2.98970004336019,-2.98970004336019,-2.98970004336019,0,0.0881233933101807,PASS
F55,F55-P01-T,17.9897000433602,17.9897000433602,17.9897000433602,0,8.87232359698924e-05,PASS
F55,F55-P02-B,-2.98970004336019,-2.98970004336019,-2.98970004336019,0,0.0881233933101807,PASS
F55,F55-P02-T,17.9897000433602,17.9897000433602,17.9897000433602,0,8.87232359698924e-05,PASS
F55,F55-P03-B,-2.98970004336019,-2.98970004336019,-2.98970004336019,0,0.0881233933101807,PASS
F55,F55-P03-T,17.9897000433602,17.9897000433602,17.9897000433602,0,8.87232359698924e-05,PASS
F55,F55-P04-B,-2.98970004336019,-2.98970004336019,-2.98970004336019,0,0.0881233933101807,PASS
F55,F55-P04-T,17.9897000433602,17.9897000433602,17.9897000433602,0,8.87232359698924e-05,PASS
F55,F55-P05-B,-2.98970004336019,-2.98970004336019,-2.98970004336019,0,0.0881233933101807,PASS
F55,F55-P05-T,17.9897000433602,17.9897000433602,17.9897000433602,0,8.87232359698924e-05,PASS
F55,F55-P06-B,-2.98970004336019,-2.98970004336019,-2.98970004336019,0,0.0881233933101807,PASS
F55,F55-P06-T,17.9897000433602,17.9897000433602,17.9897000433602,0,8.87232359698924e-05,PASS
F56,F56-P01-B,0.0205999132796251,0.0205999132796251,0.0205999132796251,0,0.0342175486904994,PASS
F56,F56-P01-T,21,21,21,0,3.25294129755402e-05,PASS
F56,F56-P02-B,0.0205999132796251,0.0205999132796251,0.0205999132796251,0,0.0342175486904994,PASS
F56,F56-P02-T,21,21,21,0,3.25294129755402e-05,PASS
F56,F56-P03-B,0.0205999132796251,0.0205999132796251,0.0205999132796251,0,0.0342175486904994,PASS
F56,F56-P03-T,21,21,21,0,3.25294129755402e-05,PASS
F56,F56-P04-B,0.0205999132796251,0.0205999132796251,0.0205999132796251,0,0.0342175486904994,PASS
F56,F56-P04-T,21,21,21,0,3.25294129755402e-05,PASS
F56,F56-P05-B,0.0205999132796251,0.0205999132796251,0.0205999132796251,0,0.0342175486904994,PASS
F56,F56-P05-T,21,21,21,0,3.25294129755402e-05,PASS
F56,F56-P06-B,0.0205999132796251,0.0205999132796251,0.0205999132796251,0,0.0342175486904994,PASS
F56,F56-P06-T,21,21,21,0,3.25294129755402e-05,PASS
F57,F57-P01-B,-6,-6,-6,0,0.208608527326045,PASS
F57,F57-P01-T,14.9794000867204,14.9794000867204,14.9794000867204,0,0.000241967124072487,PASS
F57,F57-P02-B,-6,-6,-6,0,0.208608527326045,PASS
F57,F57-P02-T,14.9794000867204,14.9794000867204,14.9794000867204,0,0.000241967124072487,PASS
F57,F57-P03-B,-6,-6,-6,0,0.208608527326045,PASS
F57,F57-P03-T,14.9794000867204,14.9794000867204,14.9794000867204,0,0.000241967124072487,PASS
F57,F57-P04-B,-6,-6,-6,0,0.208608527326045,PASS
F57,F57-P04-T,14.9794000867204,14.9794000867204,14.9794000867204,0,0.000241967124072487,PASS
F57,F57-P05-B,-6,-6,-6,0,0.208608527326045,PASS
F57,F57-P05-T,14.9794000867204,14.9794000867204,14.9794000867204,0,0.000241967124072487,PASS
F57,F57-P06-B,-6,-6,-6,0,0.208608527326045,PASS
F57,F57-P06-T,14.9794000867204,14.9794000867204,14.9794000867204,0,0.000241967124072487,PASS
F58,F58-P01-B,-2.98970004336019,-2.98970004336019,-2.98970004336019,0,0.0881233933101807,PASS
F58,F58-P01-T,17.9897000433602,17.9897000433602,17.9897000433602,0,8.87232359698924e-05,PASS
F58,F58-P02-B,-2.98970004336019,-2.98970004336019,-2.98970004336019,0,0.0881233933101807,PASS
F58,F58-P02-T,17.9897000433602,17.9897000433602,17.9897000433602,0,8.87232359698924e-05,PASS
F58,F58-P03-B,-2.98970004336019,-2.98970004336019,-2.98970004336019,0,0.0881233933101807,PASS
F58,F58-P03-T,17.9897000433602,17.9897000433602,17.9897000433602,0,8.87232359698924e-05,PASS
F58,F58-P04-B,-2.98970004336019,-2.98970004336019,-2.98970004336019,0,0.0881233933101807,PASS
F58,F58-P04-T,17.9897000433602,17.9897000433602,17.9897000433602,0,8.87232359698924e-05,PASS
F58,F58-P05-B,-2.98970004336019,-2.98970004336019,-2.98970004336019,0,0.0881233933101807,PASS
F58,F58-P05-T,17.9897000433602,17.9897000433602,17.9897000433602,0,8.87232359698924e-05,PASS
F58,F58-P06-B,-2.98970004336019,-2.98970004336019,-2.98970004336019,0,0.0881233933101807,PASS
F58,F58-P06-T,17.9897000433602,17.9897000433602,17.9897000433602,0,8.87232359698924e-05,PASS
F59,F59-P01-B,0.0205999132796251,0.0205999132796251,0.0205999132796251,0,0.0342175486904994,PASS
F59,F59-P01-T,21,21,21,0,3.25294129755402e-05,PASS
F59,F59-P02-B,0.0205999132796251,0.0205999132796251,0.0205999132796251,0,0.0342175486904994,PASS
F59,F59-P02-T,21,21,21,0,3.25294129755402e-05,PASS
F59,F59-P03-B,0.0205999132796251,0.0205999132796251,0.0205999132796251,0,0.0342175486904994,PASS
F59,F59-P03-T,21,21,21,0,3.25294129755402e-05,PASS
