FamilyID,CaseID,BlockerPower_dBm,Offset_Hz,Desensitization_dB,IM3Power_dBm,BLER,Status
F41,F41-P01-B,-90,5000000,1.31360441023421,-119.868639558977,0.0131360441023421,PASS
F41,F41-P01-T,-45,5000000,3.20049043037974,-119.679950956962,0.0320049043037974,PASS
F41,F41-P02-B,-90,5000000,1.31360441023421,-119.868639558977,0.0131360441023421,PASS
F41,F41-P02-T,-45,5000000,3.20049043037974,-119.679950956962,0.0320049043037974,PASS
F41,F41-P03-B,-90,5000000,1.31360441023421,-119.868639558977,0.0131360441023421,PASS
F41,F41-P03-T,-45,5000000,3.20049043037974,-119.679950956962,0.0320049043037974,PASS
F41,F41-P04-B,-90,5000000,1.31360441023421,-119.868639558977,0.0131360441023421,PASS
F41,F41-P04-T,-45,5000000,3.20049043037974,-119.679950956962,0.0320049043037974,PASS
F41,F41-P05-B,-90,5000000,1.31360441023421,-119.868639558977,0.0131360441023421,PASS
F41,F41-P05-T,-45,5000000,3.20049043037974,-119.679950956962,0.0320049043037974,PASS
F41,F41-P06-B,-90,5000000,1.31360441023421,-119.868639558977,0.0131360441023421,PASS
F41,F41-P06-T,-45,5000000,3.20049043037974,-119.679950956962,0.0320049043037974,PASS
F42,F42-P01-B,-90,5000000,1.31360441023421,-119.868639558977,0.0131360441023421,PASS
F42,F42-P01-T,-45,5000000,4.16000440949082,-119.583999559051,0.0416000440949082,PASS
F42,F42-P02-B,-90,5000000,1.31360441023421,-119.868639558977,0.0131360441023421,PASS
F42,F42-P02-T,-45,5000000,4.16000440949082,-119.583999559051,0.0416000440949082,PASS
F42,F42-P03-B,-90,5000000,1.31360441023421,-119.868639558977,0.0131360441023421,PASS
F42,F42-P03-T,-45,5000000,4.16000440949082,-119.583999559051,0.0416000440949082,PASS
F42,F42-P04-B,-90,5000000,1.31360441023421,-119.868639558977,0.0131360441023421,PASS
F42,F42-P04-T,-45,5000000,4.16000440949082,-119.583999559051,0.0416000440949082,PASS
F42,F42-P05-B,-90,5000000,1.31360441023421,-119.868639558977,0.0131360441023421,PASS
F42,F42-P05-T,-45,5000000,4.16000440949082,-119.583999559051,0.0416000440949082,PASS
F42,F42-P06-B,-90,5000000,1.31360441023421,-119.868639558977,0.0131360441023421,PASS
F42,F42-P06-T,-45,5000000,4.16000440949082,-119.583999559051,0.0416000440949082,PASS
F43,F43-P01-B,-90,5000000,100,-110,1,PASS
F43,F43-P01-T,-45,5000000,17782.7941003892,1658.27941003892,1,PASS
F43,F43-P02-B,-90,5000000,100,-110,1,PASS
F43,F43-P02-T,-45,5000000,17782.7941003892,1658.27941003892,1,PASS
F43,F43-P03-B,-90,5000000,100,-110,1,PASS
F43,F43-P03-T,-45,5000000,17782.7941003892,1658.27941003892,1,PASS
F43,F43-P04-B,-90,5000000,100,-110,1,PASS
F43,F43-P04-T,-45,5000000,17782.7941003892,1658.27941003892,1,PASS
F43,F43-P05-B,-90,5000000,100,-110,1,PASS
F43,F43-P05-T,-45,5000000,17782.7941003892,1658.27941003892,1,PASS
F43,F43-P06-B,-90,5000000,100,-110,1,PASS
F43,F43-P06-T,-45,5000000,17782.7941003892,1658.27941003892,1,PASS
F44,F44-P01-B,-90,5000000,100,-110,1,PASS
F44,F44-P01-T,-45,5000000,17782.7941003892,1658.27941003892,1,PASS
F44,F44-P02-B,-90,5000000,100,-110,1,PASS
F44,F44-P02-T,-45,5000000,17782.7941003892,1658.27941003892,1,PASS
F44,F44-P03-B,-90,5000000,100,-110,1,PASS
F44,F44-P03-T,-45,5000000,17782.7941003892,1658.27941003892,1,PASS
F44,F44-P04-B,-90,5000000,100,-110,1,PASS
F44,F44-P04-T,-45,5000000,17782.7941003892,1658.27941003892,1,PASS
F44,F44-P05-B,-90,5000000,100,-110,1,PASS
F44,F44-P05-T,-45,5000000,17782.7941003892,1658.27941003892,1,PASS
F44,F44-P06-B,-90,5000000,100,-110,1,PASS
F44,F44-P06-T,-45,5000000,17782.7941003892,1658.27941003892,1,PASS
F45,F45-P01-B,-90,5000000,100,-110,1,PASS
F45,F45-P01-T,-45,5000000,17782.7941003892,1658.27941003892,1,PASS
F45,F45-P02-B,-90,5000000,100,-110,1,PASS
