FamilyID,Experiments,Completed,Failed,Incomplete,PrimaryEffect,Conclusion,Status
F01,12,12,0,0,3.33444579182625,measurable_bounded_effect,PASS
F02,12,12,0,0,4.2436188728583,measurable_bounded_effect,PASS
F03,12,12,0,0,5.15263260901525,measurable_bounded_effect,PASS
F04,12,12,0,0,6.06145287380948,measurable_bounded_effect,PASS
F05,12,12,0,0,6.97004555169524,measurable_bounded_effect,PASS
F06,12,12,0,0,7.87837653999829,measurable_bounded_effect,PASS
F07,12,12,0,0,8.78641175084512,measurable_bounded_effect,PASS
F08,12,12,0,0,9.69411711309146,measurable_bounded_effect,PASS
F09,12,12,0,0,9.45489307647243,measurable_bounded_effect,PASS
F10,12,12,0,0,16.5093177759872,measurable_bounded_effect,PASS
F11,12,12,0,0,8.92085159354868e-05,no_practical_effect_at_selected_points,PASS
F12,12,12,0,0,0.00131451137343674,no_practical_effect_at_selected_points,PASS
F13,12,12,0,0,0.00248851063424146,no_practical_effect_at_selected_points,PASS
F14,12,12,0,0,0.147838436977436,measurable_bounded_effect,PASS
F15,12,12,0,0,0.178214246162735,measurable_bounded_effect,PASS
F16,12,12,0,0,0.211459669305455,measurable_bounded_effect,PASS
F17,12,12,0,0,0.250038311188262,measurable_bounded_effect,PASS
F18,12,12,0,0,0.291327805717852,measurable_bounded_effect,PASS
F19,12,12,0,0,2.46913111451091,measurable_bounded_effect,PASS
F20,12,12,0,0,3.89790122433871,measurable_bounded_effect,PASS
F21,12,12,0,0,5.39843659344005,measurable_bounded_effect,PASS
F22,12,12,0,0,6.93576130005944,measurable_bounded_effect,PASS
F23,12,12,0,0,8.49945942701366,measurable_bounded_effect,PASS
F24,12,12,0,0,3.09875544832919e-14,no_practical_effect_at_selected_points,PASS
F25,12,12,0,0,-45.3118371793541,measurable_bounded_effect,PASS
F26,12,12,0,0,-46.9471066577711,measurable_bounded_effect,PASS
F27,12,12,0,0,-24.3382445209291,measurable_bounded_effect,PASS
F28,12,12,0,0,-50.3323932061418,measurable_bounded_effect,PASS
F29,12,12,0,0,-52.0841220397481,measurable_bounded_effect,PASS
F30,12,12,0,0,-15.4035971897781,measurable_bounded_effect,PASS
F31,12,12,0,0,-55.7100528880493,measurable_bounded_effect,PASS
F32,12,12,0,0,-57.5859415599551,measurable_bounded_effect,PASS
F33,12,12,0,0,1.01279924840775,measurable_bounded_effect,PASS
F34,12,12,0,0,1.02855562401229,measurable_bounded_effect,PASS
F35,12,12,0,0,1.08432426457041,measurable_bounded_effect,PASS
F36,12,12,0,0,1.26507887754844,measurable_bounded_effect,PASS
F37,12,12,0,0,1.77262809841526,measurable_bounded_effect,PASS
F38,12,12,0,0,3.08236393875316,measurable_bounded_effect,PASS
F39,12,12,0,0,6.07162834258477,measurable_bounded_effect,PASS
F40,12,12,0,0,12.6665900107308,measurable_bounded_effect,PASS
F41,12,12,0,0,1.88688602014553,measurable_bounded_effect,PASS
F42,12,12,0,0,2.8463999992566,measurable_bounded_effect,PASS
F43,12,12,0,0,17682.7941003892,measurable_bounded_effect,PASS
F44,12,12,0,0,17682.7941003892,measurable_bounded_effect,PASS
F45,12,12,0,0,17682.7941003892,measurable_bounded_effect,PASS
F46,12,12,0,0,17682.7941003892,measurable_bounded_effect,PASS
F47,12,12,0,0,17682.7941003892,measurable_bounded_effect,PASS
F48,12,12,0,0,17682.7941003892,measurable_bounded_effect,PASS
F49,12,12,0,0,0.5,measurable_bounded_effect,PASS
F50,12,12,0,0,-0.0183193988992786,no_practical_effect_at_selected_points,PASS
F51,12,12,0,0,0.7,measurable_bounded_effect,PASS
F52,12,12,0,0,0.8,measurable_bounded_effect,PASS
F53,12,12,0,0,20.9794000867204,measurable_bounded_effect,PASS
F54,12,12,0,0,20.9794000867204,measurable_bounded_effect,PASS
F55,12,12,0,0,20.9794000867204,measurable_bounded_effect,PASS
F56,12,12,0,0,20.9794000867204,measurable_bounded_effect,PASS
F57,12,12,0,0,20.9794000867204,measurable_bounded_effect,PASS
F58,12,12,0,0,20.9794000867204,measurable_bounded_effect,PASS
F59,12,12,0,0,20.9794000867204,measurable_bounded_effect,PASS
F60,12,12,0,0,20.9794000867204,measurable_bounded_effect,PASS
F61,12,12,0,0,20.9794000867204,measurable_bounded_effect,PASS
F62,12,12,0,0,-27.5719282500907,measurable_bounded_effect,PASS
F63,12,12,0,0,-27.5719282500907,measurable_bounded_effect,PASS
F64,12,12,0,0,-27.5719282500907,measurable_bounded_effect,PASS
