ExperimentID,FamilyID,PairID,Role,Seed,TrialID,Metric,Value,Status
F04-P01-B,F04,F04-P01,baseline,11,1,EVM_pct,0,PASS
F04-P01-T,F04,F04-P01,treatment,11,1,EVM_pct,6.05863560455203,PASS
F04-P02-B,F04,F04-P02,baseline,23,2,EVM_pct,0,PASS
F04-P02-T,F04,F04-P02,treatment,23,2,EVM_pct,6.07664789344029,PASS
F04-P03-B,F04,F04-P03,baseline,47,3,EVM_pct,0,PASS
F04-P03-T,F04,F04-P03,treatment,47,3,EVM_pct,6.08219858894357,PASS
F04-P04-B,F04,F04-P04,baseline,89,4,EVM_pct,0,PASS
F04-P04-T,F04,F04-P04,treatment,89,4,EVM_pct,6.11418760358617,PASS
F04-P05-B,F04,F04-P05,baseline,131,5,EVM_pct,0,PASS
F04-P05-T,F04,F04-P05,treatment,131,5,EVM_pct,6.03619017937,PASS
F04-P06-B,F04,F04-P06,baseline,197,6,EVM_pct,0,PASS
F04-P06-T,F04,F04-P06,treatment,197,6,EVM_pct,6.00085737296482,PASS
F05-P01-B,F05,F05-P01,baseline,11,1,EVM_pct,0,PASS
F05-P01-T,F05,F05-P01,treatment,11,1,EVM_pct,6.9668072524371,PASS
F05-P02-B,F05,F05-P02,baseline,23,2,EVM_pct,0,PASS
F05-P02-T,F05,F05-P02,treatment,23,2,EVM_pct,6.98751251085981,PASS
F05-P03-B,F05,F05-P03,baseline,47,3,EVM_pct,0,PASS
F05-P03-T,F05,F05-P03,treatment,47,3,EVM_pct,6.99389910835857,PASS
F05-P04-B,F05,F05-P04,baseline,89,4,EVM_pct,0,PASS
F05-P04-T,F05,F05-P04,treatment,89,4,EVM_pct,7.03066979003932,PASS
F05-P05-B,F05,F05-P05,baseline,131,5,EVM_pct,0,PASS
F05-P05-T,F05,F05-P05,treatment,131,5,EVM_pct,6.94100887704913,PASS
F05-P06-B,F05,F05-P06,baseline,197,6,EVM_pct,0,PASS
F05-P06-T,F05,F05-P06,treatment,197,6,EVM_pct,6.90037577142749,PASS
F06-P01-B,F06,F06-P01,baseline,11,1,EVM_pct,0,PASS
F06-P01-T,F06,F06-P01,treatment,11,1,EVM_pct,7.87471786325677,PASS
F06-P02-B,F06,F06-P02,baseline,23,2,EVM_pct,0,PASS
F06-P02-T,F06,F06-P02,treatment,23,2,EVM_pct,7.89811237864214,PASS
F06-P03-B,F06,F06-P03,baseline,47,3,EVM_pct,0,PASS
F06-P03-T,F06,F06-P03,treatment,47,3,EVM_pct,7.90533625827189,PASS
F06-P04-B,F06,F06-P04,baseline,89,4,EVM_pct,0,PASS
F06-P04-T,F06,F06-P04,treatment,89,4,EVM_pct,7.94688162417355,PASS
F06-P05-B,F06,F06-P05,baseline,131,5,EVM_pct,0,PASS
F06-P05-T,F06,F06-P05,treatment,131,5,EVM_pct,7.84557233876556,PASS
F06-P06-B,F06,F06-P06,baseline,197,6,EVM_pct,0,PASS
F06-P06-T,F06,F06-P06,treatment,197,6,EVM_pct,7.79963877687979,PASS
F07-P01-B,F07,F07-P01,baseline,11,1,EVM_pct,0,PASS
F07-P01-T,F07,F07-P01,treatment,11,1,EVM_pct,8.78233343379825,PASS
F07-P02-B,F07,F07-P02,baseline,23,2,EVM_pct,0,PASS
F07-P02-T,F07,F07-P02,treatment,23,2,EVM_pct,8.80841301079024,PASS
F07-P03-B,F07,F07-P03,baseline,47,3,EVM_pct,0,PASS
F07-P03-T,F07,F07-P03,treatment,47,3,EVM_pct,8.81647573247334,PASS
F07-P04-B,F07,F07-P04,baseline,89,4,EVM_pct,0,PASS
F07-P04-T,F07,F07-P04,treatment,89,4,EVM_pct,8.86278789035075,PASS
F07-P05-B,F07,F07-P05,baseline,131,5,EVM_pct,0,PASS
F07-P05-T,F07,F07-P05,treatment,131,5,EVM_pct,8.74984731628013,PASS
F07-P06-B,F07,F07-P06,baseline,197,6,EVM_pct,0,PASS
F07-P06-T,F07,F07-P06,treatment,197,6,EVM_pct,8.69861312137804,PASS
F08-P01-B,F08,F08-P01,baseline,11,1,EVM_pct,0,PASS
F08-P01-T,F08,F08-P01,treatment,11,1,EVM_pct,9.68961997741254,PASS
F08-P02-B,F08,F08-P02,baseline,23,2,EVM_pct,0,PASS
F08-P02-T,F08,F08-P02,treatment,23,2,EVM_pct,9.71837993840866,PASS
F08-P03-B,F08,F08-P03,baseline,47,3,EVM_pct,0,PASS
F08-P03-T,F08,F08-P03,treatment,47,3,EVM_pct,9.72728324176949,PASS
F08-P04-B,F08,F08-P04,baseline,89,4,EVM_pct,0,PASS
F08-P04-T,F08,F08-P04,treatment,89,4,EVM_pct,9.77835339045432,PASS
F08-P05-B,F08,F08-P05,baseline,131,5,EVM_pct,0,PASS
F08-P05-T,F08,F08-P05,treatment,131,5,EVM_pct,9.65380057729618,PASS
F08-P06-B,F08,F08-P06,baseline,197,6,EVM_pct,0,PASS
F08-P06-T,F08,F08-P06,treatment,197,6,EVM_pct,9.59726555320756,PASS
F09-P01-B,F09,F09-P01,baseline,11,1,EVM_pct,0,PASS
F09-P01-T,F09,F09-P01,treatment,11,1,EVM_pct,9.54856559882285,PASS
F09-P02-B,F09,F09-P02,baseline,23,2,EVM_pct,0,PASS
F09-P02-T,F09,F09-P02,treatment,23,2,EVM_pct,9.45878939999375,PASS
F09-P03-B,F09,F09-P03,baseline,47,3,EVM_pct,0,PASS
F09-P03-T,F09,F09-P03,treatment,47,3,EVM_pct,9.5661554975684,PASS
F09-P04-B,F09,F09-P04,baseline,89,4,EVM_pct,0,PASS
F09-P04-T,F09,F09-P04,treatment,89,4,EVM_pct,9.33928702843649,PASS
F09-P05-B,F09,F09-P05,baseline,131,5,EVM_pct,0,PASS
F09-P05-T,F09,F09-P05,treatment,131,5,EVM_pct,9.36201348231602,PASS
F09-P06-B,F09,F09-P06,baseline,197,6,EVM_pct,0,PASS
F09-P06-T,F09,F09-P06,treatment,197,6,EVM_pct,9.45454745169706,PASS
F10-P01-B,F10,F10-P01,baseline,11,1,EVM_pct,0,PASS
F10-P01-T,F10,F10-P01,treatment,11,1,EVM_pct,16.666857302834,PASS
F10-P02-B,F10,F10-P02,baseline,23,2,EVM_pct,0,PASS
F10-P02-T,F10,F10-P02,treatment,23,2,EVM_pct,16.5184247186013,PASS
F10-P03-B,F10,F10-P03,baseline,47,3,EVM_pct,0,PASS
F10-P03-T,F10,F10-P03,treatment,47,3,EVM_pct,16.6892451441394,PASS
F10-P04-B,F10,F10-P04,baseline,89,4,EVM_pct,0,PASS
F10-P04-T,F10,F10-P04,treatment,89,4,EVM_pct,16.3102785860432,PASS
F10-P05-B,F10,F10-P05,baseline,131,5,EVM_pct,0,PASS
F10-P05-T,F10,F10-P05,treatment,131,5,EVM_pct,16.3509363329751,PASS
F10-P06-B,F10,F10-P06,baseline,197,6,EVM_pct,0,PASS
F10-P06-T,F10,F10-P06,treatment,197,6,EVM_pct,16.5201645713302,PASS
F11-P01-B,F11,F11-P01,baseline,11,1,EVM_pct,135.548513566785,PASS
F11-P01-T,F11,F11-P01,treatment,11,1,EVM_pct,135.439197126937,PASS
F11-P02-B,F11,F11-P02,baseline,23,2,EVM_pct,140.551121300521,PASS
F11-P02-T,F11,F11-P02,treatment,23,2,EVM_pct,140.564907964468,PASS
F11-P03-B,F11,F11-P03,baseline,47,3,EVM_pct,140.144112573896,PASS
F11-P03-T,F11,F11-P03,treatment,47,3,EVM_pct,140.214880800848,PASS
F11-P04-B,F11,F11-P04,baseline,89,4,EVM_pct,137.67969066054,PASS
F11-P04-T,F11,F11-P04,treatment,89,4,EVM_pct,137.693893733509,PASS
F11-P05-B,F11,F11-P05,baseline,131,5,EVM_pct,138.306981442891,PASS
F11-P05-T,F11,F11-P05,treatment,131,5,EVM_pct,138.311309755568,PASS
F11-P06-B,F11,F11-P06,baseline,197,6,EVM_pct,140.674228908997,PASS
F11-P06-T,F11,F11-P06,treatment,197,6,EVM_pct,140.680994323394,PASS
F12-P01-B,F12,F12-P01,baseline,11,1,EVM_pct,135.548513566785,PASS
F12-P01-T,F12,F12-P01,treatment,11,1,EVM_pct,135.445064223505,PASS
F12-P02-B,F12,F12-P02,baseline,23,2,EVM_pct,140.551121300521,PASS
F12-P02-T,F12,F12-P02,treatment,23,2,EVM_pct,140.567898369791,PASS
F12-P03-B,F12,F12-P03,baseline,47,3,EVM_pct,140.144112573896,PASS
F12-P03-T,F12,F12-P03,treatment,47,3,EVM_pct,140.216094808117,PASS
F12-P04-B,F12,F12-P04,baseline,89,4,EVM_pct,137.67969066054,PASS
F12-P04-T,F12,F12-P04,treatment,89,4,EVM_pct,137.693040843769,PASS
F12-P05-B,F12,F12-P05,baseline,131,5,EVM_pct,138.306981442891,PASS
F12-P05-T,F12,F12-P05,treatment,131,5,EVM_pct,138.308471460727,PASS
