FamilyID,CaseID,EVM_pct,ACLR_dB,SEMmargin_dB,CarrierLeakage_dBc,Status
F49,F49-P01-B,0,60,15,-20,PASS
F49,F49-P01-T,0.5,59.5,14.95,-20,PASS
F49,F49-P02-B,0,60,15,-20,PASS
F49,F49-P02-T,0.5,59.5,14.95,-20,PASS
F49,F49-P03-B,0,60,15,-20,PASS
F49,F49-P03-T,0.5,59.5,14.95,-20,PASS
F49,F49-P04-B,0,60,15,-20,PASS
F49,F49-P04-T,0.5,59.5,14.95,-20,PASS
F49,F49-P05-B,0,60,15,-20,PASS
F49,F49-P05-T,0.5,59.5,14.95,-20,PASS
F49,F49-P06-B,0,60,15,-20,PASS
F49,F49-P06-T,0.5,59.5,14.95,-20,PASS
F50,F50-P01-B,23.221419464392,36.778580535608,12.6778580535608,-23.221419464392,PASS
F50,F50-P01-T,23.209050320423,36.790949679577,12.6790949679577,-23.209050320423,PASS
F50,F50-P02-B,25.6691053073257,34.3308946926743,12.4330894692674,-25.6691053073257,PASS
F50,F50-P02-T,25.6536559416732,34.3463440583268,12.4346344058327,-25.6536559416732,PASS
F50,F50-P03-B,23.6330533640282,36.3669466359718,12.6366946635972,-23.6330533640282,PASS
F50,F50-P03-T,23.563346637514,36.436653362486,12.6436653362486,-23.563346637514,PASS
F50,F50-P04-B,28.8060910540094,31.1939089459906,12.1193908945991,-28.8060910540094,PASS
F50,F50-P04-T,28.7875099471762,31.2124900528238,12.1212490052824,-28.7875099471762,PASS
F50,F50-P05-B,25.7978473085884,34.2021526914116,12.4202152691412,-25.7978473085884,PASS
F50,F50-P05-T,25.8196243340807,34.1803756659193,12.4180375665919,-25.8196243340807,PASS
F50,F50-P06-B,26.9649478556823,33.0350521443177,12.3035052144318,-26.9649478556823,PASS
F50,F50-P06-T,26.9493607797633,33.0506392202366,12.3050639220237,-26.9493607797633,PASS
F51,F51-P01-B,0,60,15,-20,PASS
F51,F51-P01-T,0.7,59.3,14.93,-20,PASS
F51,F51-P02-B,0,60,15,-20,PASS
F51,F51-P02-T,0.7,59.3,14.93,-20,PASS
F51,F51-P03-B,0,60,15,-20,PASS
F51,F51-P03-T,0.7,59.3,14.93,-20,PASS
F51,F51-P04-B,0,60,15,-20,PASS
F51,F51-P04-T,0.7,59.3,14.93,-20,PASS
F51,F51-P05-B,0,60,15,-20,PASS
F51,F51-P05-T,0.7,59.3,14.93,-20,PASS
F51,F51-P06-B,0,60,15,-20,PASS
F51,F51-P06-T,0.7,59.3,14.93,-20,PASS
F52,F52-P01-B,0,60,15,-20,PASS
F52,F52-P01-T,0.8,59.2,14.92,-20,PASS
F52,F52-P02-B,0,60,15,-20,PASS
F52,F52-P02-T,0.8,59.2,14.92,-20,PASS
F52,F52-P03-B,0,60,15,-20,PASS
F52,F52-P03-T,0.8,59.2,14.92,-20,PASS
F52,F52-P04-B,0,60,15,-20,PASS
F52,F52-P04-T,0.8,59.2,14.92,-20,PASS
F52,F52-P05-B,0,60,15,-20,PASS
F52,F52-P05-T,0.8,59.2,14.92,-20,PASS
F52,F52-P06-B,0,60,15,-20,PASS
F52,F52-P06-T,0.8,59.2,14.92,-20,PASS
F49,F49-P01-B,0,60,15,-20,PASS
F49,F49-P01-T,0.5,59.5,14.95,-20,PASS
F49,F49-P02-B,0,60,15,-20,PASS
F49,F49-P02-T,0.5,59.5,14.95,-20,PASS
F49,F49-P03-B,0,60,15,-20,PASS
F49,F49-P03-T,0.5,59.5,14.95,-20,PASS
F49,F49-P04-B,0,60,15,-20,PASS
F49,F49-P04-T,0.5,59.5,14.95,-20,PASS
F49,F49-P05-B,0,60,15,-20,PASS
F49,F49-P05-T,0.5,59.5,14.95,-20,PASS
F49,F49-P06-B,0,60,15,-20,PASS
F49,F49-P06-T,0.5,59.5,14.95,-20,PASS
F50,F50-P01-B,23.221419464392,36.778580535608,12.6778580535608,-23.221419464392,PASS
F50,F50-P01-T,23.209050320423,36.790949679577,12.6790949679577,-23.209050320423,PASS
F50,F50-P02-B,25.6691053073257,34.3308946926743,12.4330894692674,-25.6691053073257,PASS
F50,F50-P02-T,25.6536559416732,34.3463440583268,12.4346344058327,-25.6536559416732,PASS
F50,F50-P03-B,23.6330533640282,36.3669466359718,12.6366946635972,-23.6330533640282,PASS
F50,F50-P03-T,23.563346637514,36.436653362486,12.6436653362486,-23.563346637514,PASS
F50,F50-P04-B,28.8060910540094,31.1939089459906,12.1193908945991,-28.8060910540094,PASS
F50,F50-P04-T,28.7875099471762,31.2124900528238,12.1212490052824,-28.7875099471762,PASS
F50,F50-P05-B,25.7978473085884,34.2021526914116,12.4202152691412,-25.7978473085884,PASS
F50,F50-P05-T,25.8196243340807,34.1803756659193,12.4180375665919,-25.8196243340807,PASS
F50,F50-P06-B,26.9649478556823,33.0350521443177,12.3035052144318,-26.9649478556823,PASS
F50,F50-P06-T,26.9493607797633,33.0506392202366,12.3050639220237,-26.9493607797633,PASS
F51,F51-P01-B,0,60,15,-20,PASS
F51,F51-P01-T,0.7,59.3,14.93,-20,PASS
F51,F51-P02-B,0,60,15,-20,PASS
F51,F51-P02-T,0.7,59.3,14.93,-20,PASS
F51,F51-P03-B,0,60,15,-20,PASS
F51,F51-P03-T,0.7,59.3,14.93,-20,PASS
F51,F51-P04-B,0,60,15,-20,PASS
F51,F51-P04-T,0.7,59.3,14.93,-20,PASS
F51,F51-P05-B,0,60,15,-20,PASS
F51,F51-P05-T,0.7,59.3,14.93,-20,PASS
F51,F51-P06-B,0,60,15,-20,PASS
F51,F51-P06-T,0.7,59.3,14.93,-20,PASS
F52,F52-P01-B,0,60,15,-20,PASS
F52,F52-P01-T,0.8,59.2,14.92,-20,PASS
F52,F52-P02-B,0,60,15,-20,PASS
F52,F52-P02-T,0.8,59.2,14.92,-20,PASS
F52,F52-P03-B,0,60,15,-20,PASS
F52,F52-P03-T,0.8,59.2,14.92,-20,PASS
F52,F52-P04-B,0,60,15,-20,PASS
F52,F52-P04-T,0.8,59.2,14.92,-20,PASS
F52,F52-P05-B,0,60,15,-20,PASS
F52,F52-P05-T,0.8,59.2,14.92,-20,PASS
F52,F52-P06-B,0,60,15,-20,PASS
F52,F52-P06-T,0.8,59.2,14.92,-20,PASS
F49,F49-P01-B,0,60,15,-20,PASS
F49,F49-P01-T,0.5,59.5,14.95,-20,PASS
F49,F49-P02-B,0,60,15,-20,PASS
F49,F49-P02-T,0.5,59.5,14.95,-20,PASS
