ScenarioId,ConfigSHA256,SNRIndex,SNRdB,NumTB,NumBlockErrors,BLER,BLERDisplay,BLERLowerCI,BLERUpperCI,ConfidenceLevel,NumBits,NumBitErrors,BER,SuccessfulInformationBits,SimulatedDurationSeconds,ThroughputBps,MeanMeasuredSNRdB,MeasuredSNRStdDevdB,StoppingReason,RuntimeSeconds,ExecutionBackend,ApproximationMode,StatisticalClass
pdsch_awgn_qpsk_reference_smoke,949f292fdb276f467b9322fb40c0b074904adadae7a4a93a3a8e49fac094699d,1,-10,3,3,1,1,0.438502968244955,1,0.95,6840,2925,0.427631578947368,0,0.0015,0,-9.9430368024771,0.0225094823004557,minimum_trials_and_errors_reached,17.8440013,waveform_truth,none,diagnostic_only
pdsch_awgn_qpsk_reference_smoke,949f292fdb276f467b9322fb40c0b074904adadae7a4a93a3a8e49fac094699d,2,0,6,0,0,< 0.390334 (95% Wilson upper bound),2.77555756156289e-17,0.390334287902165,0.95,13680,0,0,13680,0.003,4560000,-0.02659868883147,0.0338585013489374,maximum_trials_reached,14.8134757,waveform_truth,none,diagnostic_only
pdsch_awgn_qpsk_reference_smoke,949f292fdb276f467b9322fb40c0b074904adadae7a4a93a3a8e49fac094699d,3,20,6,0,0,< 0.390334 (95% Wilson upper bound),2.77555756156289e-17,0.390334287902165,0.95,13680,0,0,13680,0.003,4560000,20.0277553998423,0.0162381516824109,maximum_trials_reached,14.0451435,waveform_truth,none,diagnostic_only
