ScenarioId,ConfigSHA256,SNRIndex,TrialIndex,TargetSNRdB,MeasuredSNRdB,BitSeed,NoiseSeed,ChannelSeed,TransportBlockSizeBits,BitErrors,CRCError,ACK,DataREPerLayer,DMRSRE,PTRSRE,ReservedRE,CodedBitsG,ModulationOrder,TargetCodeRate,NumLayers,NumTxPorts,NumRxAntennas,SignalEnergyPerOccupiedRE,RequestedGridNoiseVariance,MeasuredGridNoiseVariance,SampleNoiseVariance,SampleToGridNoiseGain,FFTSize,ActiveSubcarriers,WaveformSamples,ChannelModel,ChannelRealizationSource,TrueChannelGridAvailable,TrueChannelGridVariance,TrueChannelGridSHA256,ChannelTimingOffsetSamples,MaximumDopplerHz,ChannelEstimationMode,ChannelEstimateSource,ChannelEstimateEngine,Equalizer,LLRSource,LDPCSource,CRCSource,TxProcessChain,RxProcessChain,RuntimeSeconds
pdsch_awgn_qpsk_reference_smoke,949f292fdb276f467b9322fb40c0b074904adadae7a4a93a3a8e49fac094699d,1,1,-10,-9.967648000064,1258057996,2397700455,1602455086,2280,1011,1,0,3888,144,0,0,7776,2,0.3,1,1,1,1,10,9.92578354161825,0.009765625,1024,1024,612,15360,AWGN,explicit_unit_flat_channel,1,0,3cf98aa1dd843a46408eb3a9252e02ea9f7d3cfac3d8e69690fd9ecc1db42787,0,0,practical,pdsch_dmrs_channel_estimate,explicit_awgn_scalar_per_physical_port_ls,MMSE,nrPDSCHDecode_soft_llr,sixgr_pdsch_actual_ldpc_rate_recovery_decode,decoded_transport_block_crc,tb_crc_ldpc_rate_match_scramble_qam_layers_precoding_grid_dmrs_ofdm,ofdm_dmrs_channel_estimate_equalize_soft_llr_rate_recover_ldpc_tb_crc,10.9044552
pdsch_awgn_qpsk_reference_smoke,949f292fdb276f467b9322fb40c0b074904adadae7a4a93a3a8e49fac094699d,1,2,-10,-9.93796953971058,1333503668,2771250059,436606868,2280,954,1,0,3888,144,0,0,7776,2,0.3,1,1,1,1,10,9.85818477410438,0.009765625,1024,1024,612,15360,AWGN,explicit_unit_flat_channel,1,0,3cf98aa1dd843a46408eb3a9252e02ea9f7d3cfac3d8e69690fd9ecc1db42787,0,0,practical,pdsch_dmrs_channel_estimate,explicit_awgn_scalar_per_physical_port_ls,MMSE,nrPDSCHDecode_soft_llr,sixgr_pdsch_actual_ldpc_rate_recovery_decode,decoded_transport_block_crc,tb_crc_ldpc_rate_match_scramble_qam_layers_precoding_grid_dmrs_ofdm,ofdm_dmrs_channel_estimate_equalize_soft_llr_rate_recover_ldpc_tb_crc,3.2044421
pdsch_awgn_qpsk_reference_smoke,949f292fdb276f467b9322fb40c0b074904adadae7a4a93a3a8e49fac094699d,1,3,-10,-9.92349286765674,1555245431,2914076602,4152840891,2280,960,1,0,3888,144,0,0,7776,2,0.3,1,1,1,1,10,9.82537843675991,0.009765625,1024,1024,612,15360,AWGN,explicit_unit_flat_channel,1,0,3cf98aa1dd843a46408eb3a9252e02ea9f7d3cfac3d8e69690fd9ecc1db42787,0,0,practical,pdsch_dmrs_channel_estimate,explicit_awgn_scalar_per_physical_port_ls,MMSE,nrPDSCHDecode_soft_llr,sixgr_pdsch_actual_ldpc_rate_recovery_decode,decoded_transport_block_crc,tb_crc_ldpc_rate_match_scramble_qam_layers_precoding_grid_dmrs_ofdm,ofdm_dmrs_channel_estimate_equalize_soft_llr_rate_recover_ldpc_tb_crc,3.4141463
pdsch_awgn_qpsk_reference_smoke,949f292fdb276f467b9322fb40c0b074904adadae7a4a93a3a8e49fac094699d,2,1,0,0.0124179597639782,1340146913,2634641921,562970895,2280,0,0,1,3888,144,0,0,7776,2,0.3,1,1,1,1,1,0.997144743117944,0.0009765625,1024,1024,612,15360,AWGN,explicit_unit_flat_channel,1,0,3cf98aa1dd843a46408eb3a9252e02ea9f7d3cfac3d8e69690fd9ecc1db42787,0,0,practical,pdsch_dmrs_channel_estimate,explicit_awgn_scalar_per_physical_port_ls,MMSE,nrPDSCHDecode_soft_llr,sixgr_pdsch_actual_ldpc_rate_recovery_decode,decoded_transport_block_crc,tb_crc_ldpc_rate_match_scramble_qam_layers_precoding_grid_dmrs_ofdm,ofdm_dmrs_channel_estimate_equalize_soft_llr_rate_recover_ldpc_tb_crc,2.5891047
pdsch_awgn_qpsk_reference_smoke,949f292fdb276f467b9322fb40c0b074904adadae7a4a93a3a8e49fac094699d,2,2,0,-0.0147459739212303,4241727374,477088653,233114823,2280,0,0,1,3888,144,0,0,7776,2,0.3,1,1,1,1,1,1.0034011568258,0.0009765625,1024,1024,612,15360,AWGN,explicit_unit_flat_channel,1,0,3cf98aa1dd843a46408eb3a9252e02ea9f7d3cfac3d8e69690fd9ecc1db42787,0,0,practical,pdsch_dmrs_channel_estimate,explicit_awgn_scalar_per_physical_port_ls,MMSE,nrPDSCHDecode_soft_llr,sixgr_pdsch_actual_ldpc_rate_recovery_decode,decoded_transport_block_crc,tb_crc_ldpc_rate_match_scramble_qam_layers_precoding_grid_dmrs_ofdm,ofdm_dmrs_channel_estimate_equalize_soft_llr_rate_recover_ldpc_tb_crc,2.9785641
pdsch_awgn_qpsk_reference_smoke,949f292fdb276f467b9322fb40c0b074904adadae7a4a93a3a8e49fac094699d,2,3,0,-0.0858807595278951,4013508895,2107407699,3414218798,2280,0,0,1,3888,144,0,0,7776,2,0.3,1,1,1,1,1,1.01997159173323,0.0009765625,1024,1024,612,15360,AWGN,explicit_unit_flat_channel,1,0,3cf98aa1dd843a46408eb3a9252e02ea9f7d3cfac3d8e69690fd9ecc1db42787,0,0,practical,pdsch_dmrs_channel_estimate,explicit_awgn_scalar_per_physical_port_ls,MMSE,nrPDSCHDecode_soft_llr,sixgr_pdsch_actual_ldpc_rate_recovery_decode,decoded_transport_block_crc,tb_crc_ldpc_rate_match_scramble_qam_layers_precoding_grid_dmrs_ofdm,ofdm_dmrs_channel_estimate_equalize_soft_llr_rate_recover_ldpc_tb_crc,2.2382209
pdsch_awgn_qpsk_reference_smoke,949f292fdb276f467b9322fb40c0b074904adadae7a4a93a3a8e49fac094699d,2,4,0,-0.0238746113643919,607315295,2890671556,4078934261,2280,0,0,1,3888,144,0,0,7776,2,0.3,1,1,1,1,1,1.00551247048169,0.0009765625,1024,1024,612,15360,AWGN,explicit_unit_flat_channel,1,0,3cf98aa1dd843a46408eb3a9252e02ea9f7d3cfac3d8e69690fd9ecc1db42787,0,0,practical,pdsch_dmrs_channel_estimate,explicit_awgn_scalar_per_physical_port_ls,MMSE,nrPDSCHDecode_soft_llr,sixgr_pdsch_actual_ldpc_rate_recovery_decode,decoded_transport_block_crc,tb_crc_ldpc_rate_match_scramble_qam_layers_precoding_grid_dmrs_ofdm,ofdm_dmrs_channel_estimate_equalize_soft_llr_rate_recover_ldpc_tb_crc,2.3625063
pdsch_awgn_qpsk_reference_smoke,949f292fdb276f467b9322fb40c0b074904adadae7a4a93a3a8e49fac094699d,2,5,0,-0.040052227991671,2828002364,2612885674,3549124668,2280,0,0,1,3888,144,0,0,7776,2,0.3,1,1,1,1,1,1.00926502336382,0.0009765625,1024,1024,612,15360,AWGN,explicit_unit_flat_channel,1,0,3cf98aa1dd843a46408eb3a9252e02ea9f7d3cfac3d8e69690fd9ecc1db42787,0,0,practical,pdsch_dmrs_channel_estimate,explicit_awgn_scalar_per_physical_port_ls,MMSE,nrPDSCHDecode_soft_llr,sixgr_pdsch_actual_ldpc_rate_recovery_decode,decoded_transport_block_crc,tb_crc_ldpc_rate_match_scramble_qam_layers_precoding_grid_dmrs_ofdm,ofdm_dmrs_channel_estimate_equalize_soft_llr_rate_recover_ldpc_tb_crc,2.2060418
pdsch_awgn_qpsk_reference_smoke,949f292fdb276f467b9322fb40c0b074904adadae7a4a93a3a8e49fac094699d,2,6,0,-0.0074565199476098,591501915,1621123887,1385737740,2280,0,0,1,3888,144,0,0,7776,2,0.3,1,1,1,1,1,1.00171840193105,0.0009765625,1024,1024,612,15360,AWGN,explicit_unit_flat_channel,1,0,3cf98aa1dd843a46408eb3a9252e02ea9f7d3cfac3d8e69690fd9ecc1db42787,0,0,practical,pdsch_dmrs_channel_estimate,explicit_awgn_scalar_per_physical_port_ls,MMSE,nrPDSCHDecode_soft_llr,sixgr_pdsch_actual_ldpc_rate_recovery_decode,decoded_transport_block_crc,tb_crc_ldpc_rate_match_scramble_qam_layers_precoding_grid_dmrs_ofdm,ofdm_dmrs_channel_estimate_equalize_soft_llr_rate_recover_ldpc_tb_crc,2.3446519
pdsch_awgn_qpsk_reference_smoke,949f292fdb276f467b9322fb40c0b074904adadae7a4a93a3a8e49fac094699d,3,1,20,20.020606796259,1324698337,422067253,3776495055,2280,0,0,1,3888,144,0,0,7776,2,0.3,1,1,1,1,0.01,0.00995266349020124,9.765625e-06,1024,1024,612,15360,AWGN,explicit_unit_flat_channel,1,0,3cf98aa1dd843a46408eb3a9252e02ea9f7d3cfac3d8e69690fd9ecc1db42787,0,0,practical,pdsch_dmrs_channel_estimate,explicit_awgn_scalar_per_physical_port_ls,MMSE,nrPDSCHDecode_soft_llr,sixgr_pdsch_actual_ldpc_rate_recovery_decode,decoded_transport_block_crc,tb_crc_ldpc_rate_match_scramble_qam_layers_precoding_grid_dmrs_ofdm,ofdm_dmrs_channel_estimate_equalize_soft_llr_rate_recover_ldpc_tb_crc,2.3129487
