Episode,Seed,CaseID,Slot,SignalPresent,HARQBits,DeclaredPayloadJSON,DecodedPayloadJSON,DTX,DetectionMetric,DetectionThreshold,EventError,ObservationStartSample,ObservationEndSampleExclusive,SampleRateHz,TimingSource,TimingReferenceAgeSlots,EvidencePath,EvidenceSHA256
1,970001,"noise_1",9,0,1,"[]","[]",1,0.240430181430985,0.42,0,61263,69112,7680000,"prior_received_UL_pilot_constant_phase_prediction",4,"C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\logs\tpd658d619_5813_43bd_ac91_f97af303ac4d\episode_000001\noise_1.mat","065afad094d6e827e7ee9234ec0826a87ff2baf11d2ade6391dceb984b00de34"
1,970001,"noise_2",14,0,2,"[]","[]",1,0.33561949206093,0.42,0,99663,107512,7680000,"prior_received_UL_pilot_constant_phase_prediction",4,"C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\logs\tpd658d619_5813_43bd_ac91_f97af303ac4d\episode_000001\noise_2.mat","ef58b1547c6cddffd0055dfdd18105b4e97b2b3ff0e6056ab757effd7c1798c3"
1,970001,"signal_0",19,1,1,"0","0",0,0.956642469638327,0.42,0,138063,145912,7680000,"prior_received_UL_pilot_constant_phase_prediction",4,"C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\logs\tpd658d619_5813_43bd_ac91_f97af303ac4d\episode_000001\signal_0.mat","0b2476f8fb29f9a29fa5c9b5ad29ca2a4ece50b9cc540e92d25e215ff4bd31aa"
1,970001,"signal_1",24,1,1,"1","1",0,0.960049047905616,0.42,0,176463,184312,7680000,"prior_received_UL_pilot_constant_phase_prediction",4,"C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\logs\tpd658d619_5813_43bd_ac91_f97af303ac4d\episode_000001\signal_1.mat","36e1552670e93b2c8b0b6994be83647d29ffbb442134538bd7b05b54bb044363"
1,970001,"signal_00",29,1,2,"[0,0]","[0,0]",0,0.965883091372232,0.42,0,214863,222712,7680000,"prior_received_UL_pilot_constant_phase_prediction",4,"C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\logs\tpd658d619_5813_43bd_ac91_f97af303ac4d\episode_000001\signal_00.mat","d10e2c7b6254bd68513045e5f5faa9347566388d00e1e367666e0607ae9e5896"
1,970001,"signal_01",34,1,2,"[0,1]","[0,1]",0,0.963470814395151,0.42,0,253263,261112,7680000,"prior_received_UL_pilot_constant_phase_prediction",4,"C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\logs\tpd658d619_5813_43bd_ac91_f97af303ac4d\episode_000001\signal_01.mat","762bcd49a00f8ff182be4e90ff3344eb909da29bd16d7bb0eefbff68183b7678"
1,970001,"signal_10",39,1,2,"[1,0]","[1,0]",0,0.970752362188895,0.42,0,291663,299512,7680000,"prior_received_UL_pilot_constant_phase_prediction",4,"C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\logs\tpd658d619_5813_43bd_ac91_f97af303ac4d\episode_000001\signal_10.mat","23751fc2652f532803f7e40ba1020a64bb8dfb2658f6aa96e5105228166e409a"
1,970001,"signal_11",44,1,2,"[1,1]","[1,1]",0,0.962508688332953,0.42,0,330063,337912,7680000,"prior_received_UL_pilot_constant_phase_prediction",4,"C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\logs\tpd658d619_5813_43bd_ac91_f97af303ac4d\episode_000001\signal_11.mat","f5e09c9fa533babbac8dd8a38eb6ec4c9d3ad7d265a7b78d30b5665a5d4ea528"
