Direction,UEIndex,RNTI,Slot,Frame,HarqID,NDI,RV,IsRetransmission,FeedbackDueSlot,CurrentDecodeOK,CombinedDecodeOK,MeasuredSINR_dB,WidebandCQI,CQIDerivedMCS,CQIDerivedModulation,Goodput_Mbps,Status,Notes
"DL",3,3,7,7,0,1,0,0,11,1,1,39.4446903754184,15,26,"64QAM",4.048,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",5,5,7,7,0,1,0,0,11,1,1,20.8696184745171,14,26,"64QAM",4.048,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",7,7,7,7,0,1,0,0,11,1,1,24.3222700113384,15,26,"64QAM",4.048,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",9,9,7,7,0,1,0,0,11,1,1,12.610368303274,10,18,"64QAM",4.048,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",14,14,7,7,0,1,0,0,11,1,1,9.433347041507,8,13,"16QAM",4.048,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",19,19,7,7,0,1,0,0,11,1,1,30.6545767848233,15,26,"64QAM",4.048,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",26,26,7,7,0,1,0,0,11,1,1,28.3572433635823,15,26,"64QAM",4.048,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",27,27,7,7,0,1,0,0,11,1,1,7.40219237435299,6,8,"QPSK",4.048,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",43,43,7,7,0,1,0,0,11,1,1,29.4463451626909,15,26,"64QAM",4.048,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",47,47,7,7,0,1,0,0,11,1,1,53.7321356145399,15,26,"64QAM",4.048,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",4,4,7,7,0,1,0,0,11,1,1,33.0234301387492,15,26,"64QAM",4.944,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",6,6,7,7,0,1,0,0,11,1,1,19.5545488825017,13,24,"64QAM",4.944,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",10,10,7,7,0,1,0,0,11,1,1,41.7013738927902,15,26,"64QAM",4.944,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",29,29,7,7,0,1,0,0,11,1,1,29.8683033460894,15,26,"64QAM",4.944,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",35,35,7,7,0,1,0,0,11,1,1,28.1420494366607,15,26,"64QAM",4.944,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",41,41,7,7,0,1,0,0,11,1,1,35.3574129595148,15,26,"64QAM",4.944,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",45,45,7,7,0,1,0,0,11,1,1,20.9533249125383,14,26,"64QAM",4.944,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",50,50,7,7,0,1,0,0,11,1,1,40.8969628889655,15,26,"64QAM",4.944,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",2,2,7,7,0,1,0,0,11,1,1,34.3141077701394,15,26,"64QAM",4.048,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",12,12,7,7,0,1,0,0,11,1,1,62.7096763861151,15,26,"64QAM",4.048,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",13,13,7,7,0,1,0,0,11,1,1,38.0807314294599,15,26,"64QAM",4.048,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",15,15,7,7,0,1,0,0,11,1,1,39.4489749937097,15,26,"64QAM",4.048,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",16,16,7,7,0,1,0,0,11,1,1,32.1629350964918,15,26,"64QAM",4.048,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",18,18,7,7,0,1,0,0,11,1,1,23.4006275543323,15,26,"64QAM",4.048,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",23,23,7,7,0,1,0,0,11,1,1,49.9408433051755,15,26,"64QAM",4.048,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",24,24,7,7,0,1,0,0,11,1,1,26.9819071154885,15,26,"64QAM",4.048,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",33,33,7,7,0,1,0,0,11,1,1,13.2796989414142,10,18,"64QAM",4.048,"PASS","Canonical slot-runtime HARQ transmission attempt."
