MetricKey,Entity,Statistic,Availability,Value,TextValue,Unit,Mode,Notes
rtt_distribution,DL@SNR=12dB,mean_ms,available,4,not_applicable,ms,exercise,HARQ exercise mode. Measured packet RTT from HARQ feedback timing and actual attempt count.
rtt_distribution,DL@SNR=12dB,p95_ms,available,4,not_applicable,ms,exercise,HARQ exercise mode. Measured packet RTT from HARQ feedback timing and actual attempt count.
retransmission_count_distribution,DL@SNR=12dB,mean_retx,available,1,not_applicable,count,exercise,HARQ exercise mode. Average HARQ retransmissions per packet from real waveform decode outcomes.
retransmission_count_distribution,DL@SNR=12dB,retx_packet_rate,available,1,not_applicable,fraction,exercise,HARQ exercise mode. Fraction of packets that required at least one HARQ retransmission.
retransmission_count_distribution,DL@SNR=12dB,retx_packets_observed,available,4,not_applicable,count,exercise,HARQ exercise mode. Count of packets that required at least one HARQ retransmission.
combining_gain,DL@SNR=12dB,recovered_after_retx_rate,available,1,not_applicable,fraction,exercise,HARQ exercise mode. Fraction of packets only recovered after HARQ combining.
ack_nack_dtx_distribution,DL@SNR=12dB,first_attempt_ack_rate,available,0,not_applicable,fraction,exercise,HARQ exercise mode. First-attempt ACK rate before any HARQ retransmission opportunity.
ack_nack_dtx_distribution,DL@SNR=12dB,first_attempt_nack_rate,available,1,not_applicable,fraction,exercise,HARQ exercise mode. First-attempt NACK rate before any HARQ retransmission opportunity.
ack_nack_dtx_distribution,DL@SNR=12dB,final_ack_rate,available,1,not_applicable,fraction,exercise,HARQ exercise mode. Final ACK rate after the HARQ process completes.
ack_nack_dtx_distribution,DL@SNR=12dB,final_nack_rate,available,0,not_applicable,fraction,exercise,HARQ exercise mode. Final drop/NACK rate after the HARQ process completes.
ack_nack_dtx_distribution,DL@SNR=12dB,dtx_rate,available,0,not_applicable,fraction,exercise,HARQ exercise mode. DTX is not modeled in the current LLS HARQ probe.
feedback_overhead,DL@SNR=12dB,total_bits,available,8,not_applicable,bits,exercise,HARQ exercise mode. One ACK/NACK feedback bit per HARQ attempt.
