Direction,SNR_dB,PacketID,Attempt,Frame,Slot,HARQProcess,RV,IsRetransmission,CurrentDecodeOK,CombinedDecodeOK,ACK,NACK,DTX,StopCondition,RTT_slots,RTT_ms,FeedbackBits,RetransmissionCount,RecoveryAfterRetx,TBSize_bits,BitErrors,BitsCompared,DecoderIterations,CombinedDecoderIterations,MeasuredSINR_dB,ProbeMode,Notes
DL,12,1,1,1,0,0,0,0,0,0,0,1,0,pending,4,2,1,0,0,92200,21227,92200,NaN,8,6.92172391332804,exercise,not_applicable
DL,12,1,2,1,1,0,2,1,0,1,1,0,0,ack,8,4,1,1,1,92200,40767,92200,NaN,6,6.96523640918535,exercise,not_applicable
DL,12,2,1,2,5,0,0,0,0,0,0,1,0,pending,4,2,1,0,0,92200,20161,92200,NaN,8,6.9147308248382,exercise,not_applicable
DL,12,2,2,2,6,0,2,1,0,1,1,0,0,ack,8,4,1,1,1,92200,40607,92200,NaN,6,6.97575063597765,exercise,not_applicable
DL,12,3,1,3,10,0,0,0,0,0,0,1,0,pending,4,2,1,0,0,92200,21729,92200,NaN,8,6.94092456559129,exercise,not_applicable
DL,12,3,2,3,11,0,2,1,0,1,1,0,0,ack,8,4,1,1,1,92200,41331,92200,NaN,6.45454545454545,6.77111353875409,exercise,not_applicable
DL,12,4,1,4,15,0,0,0,0,0,0,1,0,pending,4,2,1,0,0,92200,21193,92200,NaN,8,6.9581712570926,exercise,not_applicable
DL,12,4,2,4,16,0,2,1,0,1,1,0,0,ack,8,4,1,1,1,92200,40737,92200,NaN,6.54545454545455,6.91051151057724,exercise,not_applicable
UL,12,1,1,1,0,0,0,0,0,0,0,1,0,pending,4,2,1,0,0,100392,24826,100392,8,8,6.95624152811611,exercise,not_applicable
UL,12,1,2,1,1,0,2,1,0,0,0,1,0,pending,8,4,1,1,0,100392,45374,100392,8,8,6.61233594196946,exercise,not_applicable
UL,12,1,3,1,2,0,3,1,0,1,1,0,0,ack,12,6,1,2,1,100392,20880,100392,8,3.16666666666667,7.00110082118903,exercise,not_applicable
UL,12,2,1,2,5,0,0,0,0,0,0,1,0,pending,4,2,1,0,0,100392,24514,100392,8,8,6.89188884573206,exercise,not_applicable
UL,12,2,2,2,6,0,2,1,0,1,1,0,0,ack,8,4,1,1,1,100392,45462,100392,8,6,7.02947872616985,exercise,not_applicable
UL,12,3,1,3,10,0,0,0,0,0,0,1,0,pending,4,2,1,0,0,100392,24350,100392,8,8,7.02392814565111,exercise,not_applicable
UL,12,3,2,3,11,0,2,1,0,1,1,0,0,ack,8,4,1,1,1,100392,45237,100392,8,6.25,7.0230324816262,exercise,not_applicable
UL,12,4,1,4,15,0,0,0,0,0,0,1,0,pending,4,2,1,0,0,100392,24583,100392,8,8,6.88564445719817,exercise,not_applicable
UL,12,4,2,4,16,0,2,1,0,1,1,0,0,ack,8,4,1,1,1,100392,45563,100392,8,6.83333333333333,6.79313301909433,exercise,not_applicable
