Slot,Time_s,UEID,FromCell,ToCell,FromRSRP_dBm,ToRSRP_dBm,Reason
9,0.004,40,4,1,-91.1630052276069,-77.2871233887786,rsrp_best_cell
9,0.004,34,3,4,-111.310457165936,-99.7300761439735,rsrp_best_cell
9,0.004,8,5,4,-121.205300582754,-108.273322286926,rsrp_best_cell
9,0.004,7,1,5,-108.35284346343,-106.068516935764,rsrp_best_cell
9,0.004,27,1,5,-115.486893938181,-86.7903296039824,rsrp_best_cell
