run_id,chart_name,cell_id,slot,rb_index,occupancy_value,source_table_logical_path
1,PUCCH map,5,11,28,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,11,35,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,11,38,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,11,44,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,11,48,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,11,52,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,11,55,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,11,57,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,11,58,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,11,63,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,11,66,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,11,73,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,11,75,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,12,57,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,12,73,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,12,28,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,12,35,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,12,38,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,12,44,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,12,48,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,12,52,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,12,55,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,12,58,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,12,63,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,12,66,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,12,75,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,13,57,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,13,66,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,13,34,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,13,73,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,13,54,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,13,38,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,13,28,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,13,44,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,13,48,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,13,52,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,13,55,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,13,58,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,13,63,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,13,75,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,13,28,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,13,34,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,13,38,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,13,44,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,13,48,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,13,52,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,13,54,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,13,55,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,13,57,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,13,58,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,13,63,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,13,66,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,14,34,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,14,38,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,14,52,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,14,54,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,14,55,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,14,57,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,14,58,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,14,63,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,14,48,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,14,28,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,14,44,1.0,packet_flow/csv/live_pucch_grants.csv
1,PUCCH map,5,14,66,1.0,packet_flow/csv/live_pucch_grants.csv
