CategoryCode,CategoryKey,CategoryName,MetricKey,MetricName,Entity,Statistic,Availability,CountsTowardCoverage,ValueNumeric,ValueText,Unit,SourceArtifact,Notes
B,basic_phy_performance_outputs,Basic PHY performance outputs,cbg_bler,CBG BLER,UL,numerator_sum,observed,1,78,78,count,air_interface/csv/ul_pusch_trials.csv,Derived from TB-equivalent grouping when explicit CBG mode is disabled.
B,basic_phy_performance_outputs,Basic PHY performance outputs,cbg_bler,CBG BLER,UL,denominator_sum,observed,1,96,96,count,air_interface/csv/ul_pusch_trials.csv,Derived from TB-equivalent grouping when explicit CBG mode is disabled.
B,basic_phy_performance_outputs,Basic PHY performance outputs,throughput,throughput,DL,min,observed,1,10.6024533333333,10.6024533333333,Mbps,air_interface/csv/lls_snr_sweep.csv,
B,basic_phy_performance_outputs,Basic PHY performance outputs,throughput,throughput,DL,mean,observed,1,10.6024533333333,10.6024533333333,Mbps,air_interface/csv/lls_snr_sweep.csv,
B,basic_phy_performance_outputs,Basic PHY performance outputs,throughput,throughput,DL,max,observed,1,10.6024533333333,10.6024533333333,Mbps,air_interface/csv/lls_snr_sweep.csv,
B,basic_phy_performance_outputs,Basic PHY performance outputs,throughput,throughput,UL,min,observed,1,21.7615,21.7615,Mbps,air_interface/csv/lls_snr_sweep.csv,
B,basic_phy_performance_outputs,Basic PHY performance outputs,throughput,throughput,UL,mean,observed,1,21.7615,21.7615,Mbps,air_interface/csv/lls_snr_sweep.csv,
B,basic_phy_performance_outputs,Basic PHY performance outputs,throughput,throughput,UL,max,observed,1,21.7615,21.7615,Mbps,air_interface/csv/lls_snr_sweep.csv,
B,basic_phy_performance_outputs,Basic PHY performance outputs,goodput,goodput,DL,min,observed,1,3.20789333333333,3.20789333333333,Mbps,air_interface/csv/lls_snr_sweep.csv,
B,basic_phy_performance_outputs,Basic PHY performance outputs,goodput,goodput,DL,mean,observed,1,3.20789333333333,3.20789333333333,Mbps,air_interface/csv/lls_snr_sweep.csv,
