ScenarioID,ConfigHash,RunTag,RunnerProfile,Direction,FieldName,ObservedValue,SourceArtifact,ValueSource,ValueRole,ValueStatus,ValueDefinition,FinalizedFlag,PlaceholderFlag,FallbackFlag,NAReason,ConsistencyStatus
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,DL,ConfiguredTrafficTargetRate_Mbps,200,reports/csv/runtime_operating_mode.csv,resolved_traffic_target_rate,configured,OK,Configured target traffic rate in Mbps used by the active runtime traffic generator.,1,0,0,none,observed
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,DL,TrafficFlowSource,traffic.flows,reports/csv/runtime_operating_mode.csv,traffic_flow_ownership_source,configured_or_derived,OK,Traffic-flow ownership source: explicit traffic.flows or resolver-derived from scalar traffic config.,1,1,0,none,observed
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,DL,TrafficFlowDerivationMode,explicit_yaml_or_browser,reports/csv/runtime_operating_mode.csv,traffic_flow_ownership_source,configured_or_derived,OK,"Traffic-flow derivation mode used by buildInternalConfig; explicit flows remain explicit, scalar-derived flows are labeled.",1,1,0,none,observed
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,DL,TrafficFlowResolvedFlag,1,reports/csv/runtime_operating_mode.csv,traffic_flow_ownership_source,derived,OK,Boolean proof that the active runtime received a resolved traffic-flow object before traffic generation.,1,1,0,none,observed
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,DL,EffectiveWorkers,0,reports/csv/runtime_operating_mode.csv,parallel_runtime_execution_state,applied,OK,Effective worker count actually used by the runtime execution path.,1,0,0,none,observed
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,DL,ParallelExecutionActive,0,reports/csv/runtime_operating_mode.csv,parallel_runtime_execution_state,runtime_state_derived,OK,Whether runtime parallel execution was actually active.,1,0,0,none,observed
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,DL,ControlIntegrationMode,runtime_control_access_tracking_state_gated,reports/csv/runtime_operating_mode.csv,runtime_control_integration_state,runtime_state_derived,OK,Runtime control-integration mode token describing whether control sidecars were gating the receiver path.,1,0,0,none,observed
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,DL,PBCHGatingActive,1,reports/csv/live_control_gating_summary.csv,resolved_control_gating_config_applied_to_coupled_runtime,resolved,OK,Resolved PBCH gating requirement as applied by the coupled runtime control gate.,1,0,0,none,observed
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,DL,PRACHGatingActive,1,reports/csv/live_control_gating_summary.csv,resolved_control_gating_config_applied_to_coupled_runtime,resolved,OK,Resolved PRACH gating requirement as applied by the coupled runtime control gate.,1,0,0,none,observed
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,DL,PDCCHGatingActive,1,reports/csv/live_control_gating_summary.csv,resolved_control_gating_config_applied_to_coupled_runtime,resolved,OK,Resolved PDCCH gating requirement as applied by the coupled runtime control gate.,1,0,0,none,observed
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,DL,SRSGatingActive,1,reports/csv/live_control_gating_summary.csv,resolved_control_gating_config_applied_to_coupled_runtime,resolved,OK,Resolved SRS gating requirement as applied by the coupled runtime control gate.,1,0,0,none,observed
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,DL,TRSGatingActive,1,reports/csv/live_control_gating_summary.csv,resolved_control_gating_config_applied_to_coupled_runtime,resolved,OK,Resolved TRS gating requirement as applied by the coupled runtime control gate.,1,0,0,none,observed
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,DL,PBCHMode,runtime_cell_search_gate,reports/csv/runtime_operating_mode.csv,runtime_control_signal_mode,runtime_state_derived,OK,Runtime PBCH control mode token.,1,0,0,none,observed
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,DL,PRACHMode,runtime_prach_success_gate_simplified_ra,reports/csv/runtime_operating_mode.csv,runtime_control_signal_mode,runtime_state_derived,OK,Runtime PRACH control mode token.,1,0,0,none,observed
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,DL,PDCCHMode,grant_coupled_pdcch_dci_gating,reports/csv/runtime_operating_mode.csv,runtime_control_signal_mode,runtime_state_derived,OK,Runtime PDCCH control mode token.,1,0,0,none,observed
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,DL,PUCCHMode,runtime_coupled_pucch_grant_waveform_execution,reports/csv/runtime_operating_mode.csv,runtime_control_signal_mode,runtime_state_derived,OK,Runtime PUCCH control mode token.,1,0,0,none,observed
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,DL,SRSMode,srs_freshness_csi_gate,reports/csv/runtime_operating_mode.csv,runtime_control_signal_mode,runtime_state_derived,OK,Runtime SRS control mode token.,1,0,0,none,observed
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,DL,TRSMode,runtime_shared_receiver_tracking_state_gate,reports/csv/runtime_operating_mode.csv,runtime_control_signal_mode,runtime_state_derived,OK,Runtime TRS control mode token.,1,0,0,none,observed
