run_id,chart_name,cell_id,slot,rb_index,occupancy_value,source_table_logical_path
1,PUSCH map,2,10,0,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,1,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,10,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,100,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,101,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,102,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,103,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,104,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,105,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,106,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,107,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,108,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,109,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,11,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,110,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,111,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,112,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,113,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,114,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,115,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,116,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,117,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,118,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,119,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,12,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,120,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,121,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,122,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,123,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,124,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,125,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,126,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,127,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,128,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,129,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,13,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,130,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,131,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,132,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,133,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,134,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,135,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,136,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,137,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,138,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,139,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,14,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,140,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,141,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,142,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,143,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,144,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,145,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,146,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,147,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,148,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,149,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,15,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,150,1.0,reports/csv/ul_resource_grid_heatmap.csv
1,PUSCH map,2,10,151,1.0,reports/csv/ul_resource_grid_heatmap.csv
