Entity,EntityType,EntityID,Domain,Direction,Frame,Slot,Symbol,TimestampSim_ms,UEID,CellID,BaseStationID,RNTI,PRBCount,ActiveBWFraction,ActiveRank,ActiveTxRUCount,ControlMonitoringLoad,TxPower_dBm,RxPowerEst_dBm,State,Duration_s,Power_W,Energy_J,SuccessfulBits,RFChainCount,BBProcessingEnergy_J,SourceArtifact,Status
gNB,cell,1,DL_data,DL,7,7,not_applicable,63,3,1,1,3,27,0.0989010989010989,2,2,1,46,NaN,active_tx,0.0005,319.327323454845,0.159663661727423,2024,2,0.00279120879120879,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,3,DL_data,DL,7,7,not_applicable,63,3,1,1,3,27,0.0989010989010989,2,0,0,NaN,-77.5756,active_rx,0.0005,1.5,0.00075,2024,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,1,DL_data,DL,7,7,not_applicable,63,5,1,1,5,27,0.0989010989010989,2,2,1,46,NaN,active_tx,0.0005,319.327323454845,0.159663661727423,2024,2,0.00279120879120879,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,5,DL_data,DL,7,7,not_applicable,63,5,1,1,5,27,0.0989010989010989,2,0,0,NaN,-96.4942,active_rx,0.0005,1.5,0.00075,2024,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,1,DL_data,DL,7,7,not_applicable,63,7,1,1,7,27,0.0989010989010989,2,2,1,46,NaN,active_tx,0.0005,319.327323454845,0.159663661727423,2024,2,0.00279120879120879,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,7,DL_data,DL,7,7,not_applicable,63,7,1,1,7,27,0.0989010989010989,2,0,0,NaN,-92.8605,active_rx,0.0005,1.5,0.00075,2024,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,1,DL_data,DL,7,7,not_applicable,63,9,1,1,9,27,0.0989010989010989,2,2,1,46,NaN,active_tx,0.0005,319.327323454845,0.159663661727423,2024,2,0.00279120879120879,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,9,DL_data,DL,7,7,not_applicable,63,9,1,1,9,27,0.0989010989010989,2,0,0,NaN,-104.8529,active_rx,0.0005,1.5,0.00075,2024,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,1,DL_data,DL,7,7,not_applicable,63,14,1,1,14,27,0.0989010989010989,2,2,1,46,NaN,active_tx,0.0005,319.327323454845,0.159663661727423,2024,2,0.00279120879120879,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,14,DL_data,DL,7,7,not_applicable,63,14,1,1,14,27,0.0989010989010989,2,0,0,NaN,-107.5467,active_rx,0.0005,1.5,0.00075,2024,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,1,DL_data,DL,7,7,not_applicable,63,19,1,1,19,27,0.0989010989010989,2,2,1,46,NaN,active_tx,0.0005,319.327323454845,0.159663661727423,2024,2,0.00279120879120879,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,19,DL_data,DL,7,7,not_applicable,63,19,1,1,19,27,0.0989010989010989,2,0,0,NaN,-86.4347,active_rx,0.0005,1.5,0.00075,2024,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,1,DL_data,DL,7,7,not_applicable,63,26,1,1,26,27,0.0989010989010989,2,2,1,46,NaN,active_tx,0.0005,319.327323454845,0.159663661727423,2024,2,0.00279120879120879,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,26,DL_data,DL,7,7,not_applicable,63,26,1,1,26,27,0.0989010989010989,2,0,0,NaN,-88.8894,active_rx,0.0005,1.5,0.00075,2024,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,1,DL_data,DL,7,7,not_applicable,63,27,1,1,27,27,0.0989010989010989,2,2,1,46,NaN,active_tx,0.0005,319.327323454845,0.159663661727423,2024,2,0.00279120879120879,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,27,DL_data,DL,7,7,not_applicable,63,27,1,1,27,27,0.0989010989010989,2,0,0,NaN,-109.6388,active_rx,0.0005,1.5,0.00075,2024,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,1,DL_data,DL,7,7,not_applicable,63,43,1,1,43,27,0.0989010989010989,2,2,1,46,NaN,active_tx,0.0005,319.327323454845,0.159663661727423,2024,2,0.00279120879120879,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,43,DL_data,DL,7,7,not_applicable,63,43,1,1,43,27,0.0989010989010989,2,0,0,NaN,-87.3194,active_rx,0.0005,1.5,0.00075,2024,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,1,DL_data,DL,7,7,not_applicable,63,47,1,1,47,27,0.0989010989010989,2,2,1,46,NaN,active_tx,0.0005,319.327323454845,0.159663661727423,2024,2,0.00279120879120879,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,47,DL_data,DL,7,7,not_applicable,63,47,1,1,47,27,0.0989010989010989,2,0,0,NaN,-63.5841,active_rx,0.0005,1.5,0.00075,2024,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,2,DL_data,DL,7,7,not_applicable,63,4,2,2,4,34,0.124542124542125,2,2,1,46,NaN,active_tx,0.0005,319.737579865102,0.159868789932551,2472,2,0.002996336996337,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,4,DL_data,DL,7,7,not_applicable,63,4,2,2,4,34,0.124542124542125,2,0,0,NaN,-85.2685,active_rx,0.0005,1.5,0.00075,2472,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,2,DL_data,DL,7,7,not_applicable,63,6,2,2,6,34,0.124542124542125,2,2,1,46,NaN,active_tx,0.0005,319.737579865102,0.159868789932551,2472,2,0.002996336996337,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,6,DL_data,DL,7,7,not_applicable,63,6,2,2,6,34,0.124542124542125,2,0,0,NaN,-98.348,active_rx,0.0005,1.5,0.00075,2472,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,2,DL_data,DL,7,7,not_applicable,63,10,2,2,10,34,0.124542124542125,2,2,1,46,NaN,active_tx,0.0005,319.737579865102,0.159868789932551,2472,2,0.002996336996337,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,10,DL_data,DL,7,7,not_applicable,63,10,2,2,10,34,0.124542124542125,2,0,0,NaN,-76.7546,active_rx,0.0005,1.5,0.00075,2472,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,2,DL_data,DL,7,7,not_applicable,63,29,2,2,29,34,0.124542124542125,2,2,1,46,NaN,active_tx,0.0005,319.737579865102,0.159868789932551,2472,2,0.002996336996337,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,29,DL_data,DL,7,7,not_applicable,63,29,2,2,29,34,0.124542124542125,2,0,0,NaN,-88.3022,active_rx,0.0005,1.5,0.00075,2472,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,2,DL_data,DL,7,7,not_applicable,63,35,2,2,35,34,0.124542124542125,2,2,1,46,NaN,active_tx,0.0005,319.737579865102,0.159868789932551,2472,2,0.002996336996337,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,35,DL_data,DL,7,7,not_applicable,63,35,2,2,35,34,0.124542124542125,2,0,0,NaN,-90.0565,active_rx,0.0005,1.5,0.00075,2472,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,2,DL_data,DL,7,7,not_applicable,63,41,2,2,41,34,0.124542124542125,2,2,1,46,NaN,active_tx,0.0005,319.737579865102,0.159868789932551,2472,2,0.002996336996337,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,41,DL_data,DL,7,7,not_applicable,63,41,2,2,41,34,0.124542124542125,2,0,0,NaN,-82.5761,active_rx,0.0005,1.5,0.00075,2472,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,2,DL_data,DL,7,7,not_applicable,63,45,2,2,45,34,0.124542124542125,2,2,1,46,NaN,active_tx,0.0005,319.737579865102,0.159868789932551,2472,2,0.002996336996337,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,45,DL_data,DL,7,7,not_applicable,63,45,2,2,45,34,0.124542124542125,2,0,0,NaN,-97.4026,active_rx,0.0005,1.5,0.00075,2472,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,2,DL_data,DL,7,7,not_applicable,63,50,2,2,50,34,0.124542124542125,2,2,1,46,NaN,active_tx,0.0005,319.737579865102,0.159868789932551,2472,2,0.002996336996337,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,50,DL_data,DL,7,7,not_applicable,63,50,2,2,50,34,0.124542124542125,2,0,0,NaN,-77.0633,active_rx,0.0005,1.5,0.00075,2472,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,3,DL_data,DL,7,7,not_applicable,63,2,3,3,2,27,0.0989010989010989,2,2,1,46,NaN,active_tx,0.0005,319.327323454845,0.159663661727423,2024,2,0.00279120879120879,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,2,DL_data,DL,7,7,not_applicable,63,2,3,3,2,27,0.0989010989010989,2,0,0,NaN,-82.6823,active_rx,0.0005,1.5,0.00075,2024,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,3,DL_data,DL,7,7,not_applicable,63,12,3,3,12,27,0.0989010989010989,2,2,1,46,NaN,active_tx,0.0005,319.327323454845,0.159663661727423,2024,2,0.00279120879120879,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,12,DL_data,DL,7,7,not_applicable,63,12,3,3,12,27,0.0989010989010989,2,0,0,NaN,-54.5359,active_rx,0.0005,1.5,0.00075,2024,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
