ScenarioID,ConfigHash,RunTag,RunnerProfile,Category,ParameterName,BrowserSubmittedValue,BrowserSubmittedValueSource,BrowserSubmittedValueRole,RuntimeOverlayValue,RuntimeOverlayValueSource,RuntimeOverlayValueRole,ResolvedMATLABValue,ResolvedMATLABValueSource,ResolvedMATLABValueRole,RuntimeConsumer,DBSnapshotValue,DBSnapshotValueSource,DBSnapshotValueRole,ExportedCSVValue,ExportedCSVValueSource,ExportedCSVValueRole,BrowserDisplayedValue,BrowserDisplayedValueSource,BrowserDisplayedValueRole,ConsistencyStatus,ConsistencyNotes,ResolvedMATLABPath,RuntimeEvidenceArtifact,RuntimeEvidenceField,RuntimeEvidenceValue,RuntimeEvidenceValueSource,RuntimeEvidenceValueRole,DerivedValue,DerivedValueSource,DerivedValueRole,DBSnapshotSource,BrowserPayloadField,BrowserExposed,YAMLExposed,RuntimeDerived,Definition
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,radio_timing,frequency.duplex_mode,TDD,yaml_frequency.duplex_mode,submitted,TDD,browser_runtime_overlay,submitted,TDD,phy.duplex.mode,resolved,buildInternalConfig -> cfg.phy.duplex.mode,TDD,sim_runs.config_json,db_snapshot,TDD,reports/csv/config_roundtrip_verification.csv,resolved,TDD,browser_runtime_context.roundtrip_artifacts,browser_displayed,consistent,,phy.duplex.mode,reports/csv/config_roundtrip_verification.csv,,,no_runtime_evidence_column_registered,unavailable,,not_emitted_by_active_config_roundtrip_verification_runtime,not_available,sim_runs.config_json,runtime_context.roundtrip_artifacts.config_roundtrip_verification,0,1,0,Duplex mode is YAML-owned and resolves into runtime duplex semantics.
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,radio_timing,frame.cp_type,normal,yaml_frame.cp_type,submitted,normal,browser_runtime_overlay,submitted,normal,phy.carrier.CyclicPrefix,resolved,buildInternalConfig -> cfg.phy.carrier.CyclicPrefix,normal,sim_runs.config_json,db_snapshot,normal,reports/csv/config_roundtrip_verification.csv,resolved,normal,browser_runtime_context.roundtrip_artifacts,browser_displayed,consistent,,phy.carrier.CyclicPrefix,reports/csv/config_roundtrip_verification.csv,,,no_runtime_evidence_column_registered,unavailable,,not_emitted_by_active_config_roundtrip_verification_runtime,not_available,sim_runs.config_json,runtime_context.roundtrip_artifacts.config_roundtrip_verification,0,1,0,Cyclic-prefix selection is YAML-owned and reaches the runtime carrier object.
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,radio_timing,frame.tdd_pattern,DDDSU,yaml_frame.tdd_pattern,submitted,DDDSU,browser_runtime_overlay,submitted,DDDSU,phy.duplex.tddPattern,resolved,buildInternalConfig -> cfg.phy.duplex.tddPattern,DDDSU,sim_runs.config_json,db_snapshot,DDDSU,reports/csv/config_roundtrip_verification.csv,resolved,DDDSU,browser_runtime_context.roundtrip_artifacts,browser_displayed,consistent,,phy.duplex.tddPattern,reports/csv/config_roundtrip_verification.csv,,,no_runtime_evidence_column_registered,unavailable,,not_emitted_by_active_config_roundtrip_verification_runtime,not_available,sim_runs.config_json,runtime_context.roundtrip_artifacts.config_roundtrip_verification,0,1,0,TDD pattern stays YAML-owned and resolves into runtime duplex scheduling semantics.
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,mobility,mobility.ue_speed_kmh,3,browser_or_yaml_mobility.ue_speed_kmh,submitted,3,browser_runtime_overlay,submitted,3,@mobility_speed_kmh,resolved,buildInternalConfig -> cfg.scenario.mobility.speed_kmh,3,sim_runs.config_json,db_snapshot,3,reports/csv/config_roundtrip_verification.csv,resolved,3,browser_runtime_context.roundtrip_artifacts,browser_displayed,consistent,,@mobility_speed_kmh,reports/csv/runtime_operating_mode.csv,MobilitySpeed_kmh,3,reports/csv/runtime_operating_mode.csv:MobilitySpeed_kmh,runtime_state_derived,,not_emitted_by_active_config_roundtrip_verification_runtime,not_available,sim_runs.config_json,runtime_context.roundtrip_artifacts.config_roundtrip_verification,1,1,0,"UE speed is a mobility input, not Doppler; Doppler is derived later from speed and carrier frequency."
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,mobility,mobility.trajectory_model,randomWaypoint,browser_or_yaml_mobility.trajectory_model,submitted,randomWaypoint,browser_runtime_overlay,submitted,randomWaypoint,scenario.mobility.model,resolved,buildInternalConfig -> cfg.scenario.mobility.model,randomWaypoint,sim_runs.config_json,db_snapshot,randomWaypoint,reports/csv/config_roundtrip_verification.csv,resolved,randomWaypoint,browser_runtime_context.roundtrip_artifacts,browser_displayed,consistent,,scenario.mobility.model,reports/csv/deployment_layout_reference.csv,MobilityModel,randomWaypoint,reports/csv/deployment_layout_reference.csv:MobilityModel,resolved,,not_emitted_by_active_config_roundtrip_verification_runtime,not_available,sim_runs.config_json,runtime_context.roundtrip_artifacts.config_roundtrip_verification,1,1,0,Mobility model is resolved directly into the runtime mobility controller.
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,mobility,mobility.update_period_s,0.0005,yaml_mobility.update_period_s,submitted,0.0005,browser_runtime_overlay,submitted,0.0005,scenario.mobility.updatePeriod_s,resolved,buildInternalConfig -> cfg.scenario.mobility.updatePeriod_s,0.0005,sim_runs.config_json,db_snapshot,0.0005,reports/csv/config_roundtrip_verification.csv,resolved,0.0005,browser_runtime_context.roundtrip_artifacts,browser_displayed,consistent,,scenario.mobility.updatePeriod_s,reports/csv/config_roundtrip_verification.csv,,,no_runtime_evidence_column_registered,unavailable,,not_emitted_by_active_config_roundtrip_verification_runtime,not_available,sim_runs.config_json,runtime_context.roundtrip_artifacts.config_roundtrip_verification,0,1,0,Mobility update period is YAML-owned and feeds the runtime mobility controller.
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,mobility,mobility.zigzag_segment_duration_s,0.0025,yaml_mobility.zigzag_segment_duration_s,submitted,0.0025,browser_runtime_overlay,submitted,0.0025,scenario.mobility.zigzagSegmentDuration_s,resolved,buildInternalConfig -> cfg.scenario.mobility.zigzagSegmentDuration_s,0.0025,sim_runs.config_json,db_snapshot,0.0025,reports/csv/config_roundtrip_verification.csv,resolved,0.0025,browser_runtime_context.roundtrip_artifacts,browser_displayed,consistent,,scenario.mobility.zigzagSegmentDuration_s,reports/csv/config_roundtrip_verification.csv,,,no_runtime_evidence_column_registered,unavailable,,not_emitted_by_active_config_roundtrip_verification_runtime,not_available,sim_runs.config_json,runtime_context.roundtrip_artifacts.config_roundtrip_verification,0,1,0,Zigzag segment duration is YAML-owned and feeds the runtime mobility controller.
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,mobility,mobility.zigzag_turn_angle_deg,35,yaml_mobility.zigzag_turn_angle_deg,submitted,35,browser_runtime_overlay,submitted,35,scenario.mobility.zigzagTurnAngle_deg,resolved,buildInternalConfig -> cfg.scenario.mobility.zigzagTurnAngle_deg,35,sim_runs.config_json,db_snapshot,35,reports/csv/config_roundtrip_verification.csv,resolved,35,browser_runtime_context.roundtrip_artifacts,browser_displayed,consistent,,scenario.mobility.zigzagTurnAngle_deg,reports/csv/config_roundtrip_verification.csv,,,no_runtime_evidence_column_registered,unavailable,,not_emitted_by_active_config_roundtrip_verification_runtime,not_available,sim_runs.config_json,runtime_context.roundtrip_artifacts.config_roundtrip_verification,0,1,0,Zigzag turn angle is YAML-owned and feeds the runtime mobility controller.
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,antenna,mimo.n_tx_ant,64,yaml_mimo.n_tx_ant,submitted,64,browser_runtime_overlay,submitted,64,scenario.bs.nTxAnt,resolved,buildInternalConfig -> cfg.scenario.bs.nTxAnt,64,sim_runs.config_json,db_snapshot,64,reports/csv/config_roundtrip_verification.csv,resolved,64,browser_runtime_context.roundtrip_artifacts,browser_displayed,consistent,,scenario.bs.nTxAnt,reports/csv/config_roundtrip_verification.csv,,,no_runtime_evidence_column_registered,unavailable,,not_emitted_by_active_config_roundtrip_verification_runtime,not_available,sim_runs.config_json,runtime_context.roundtrip_artifacts.config_roundtrip_verification,0,1,0,Configured BS Tx-chain count is YAML-owned and reaches the runtime scenario and PHY configuration.
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,antenna,mimo.n_rx_ant,4,yaml_mimo.n_rx_ant,submitted,4,browser_runtime_overlay,submitted,4,scenario.ue.nRxAnt,resolved,buildInternalConfig -> cfg.scenario.ue.nRxAnt,4,sim_runs.config_json,db_snapshot,4,reports/csv/config_roundtrip_verification.csv,resolved,4,browser_runtime_context.roundtrip_artifacts,browser_displayed,consistent,,scenario.ue.nRxAnt,reports/csv/config_roundtrip_verification.csv,,,no_runtime_evidence_column_registered,unavailable,,not_emitted_by_active_config_roundtrip_verification_runtime,not_available,sim_runs.config_json,runtime_context.roundtrip_artifacts.config_roundtrip_verification,0,1,0,Configured UE Rx-chain count is YAML-owned and reaches the runtime scenario and PHY configuration.
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,antenna,mimo.n_layers,2,yaml_mimo.n_layers,submitted,2,browser_runtime_overlay,submitted,2,phy.pdsch.nLayers,resolved,buildInternalConfig -> cfg.phy.pdsch.nLayers / cfg.phy.pusch.nLayers,2,sim_runs.config_json,db_snapshot,2,reports/csv/config_roundtrip_verification.csv,resolved,2,browser_runtime_context.roundtrip_artifacts,browser_displayed,consistent,,phy.pdsch.nLayers,air_interface/csv/dl_pdsch_trials.csv,Layers,2,air_interface/csv/dl_pdsch_trials.csv:Layers,runtime_state_derived,,not_emitted_by_active_config_roundtrip_verification_runtime,not_available,sim_runs.config_json,runtime_context.roundtrip_artifacts.config_roundtrip_verification,0,1,0,Configured layer count reaches the active DL/UL waveform chain and raw trial tables.
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,antenna,antenna_and_array.bs_array_geometry,ura,browser_or_yaml_antenna_and_array.bs_array_geometry,submitted,ura,browser_runtime_overlay,submitted,ura,antenna.bs.geometry,resolved,buildInternalConfig.localApplyRuntimeAntennaConfig -> BS runtime array geometry,ura,sim_runs.config_json,db_snapshot,ura,reports/csv/config_roundtrip_verification.csv,resolved,ura,browser_runtime_context.roundtrip_artifacts,browser_displayed,consistent,,antenna.bs.geometry,air_interface/csv/dl_pdsch_trials.csv,BSAntennaArrayType,ura,air_interface/csv/dl_pdsch_trials.csv:BSAntennaArrayType,runtime_state_derived,,not_emitted_by_active_config_roundtrip_verification_runtime,not_available,sim_runs.config_json,runtime_context.roundtrip_artifacts.config_roundtrip_verification,1,1,0,BS array geometry reaches the runtime array object used by beam/precoding and raw trial exports.
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,antenna,antenna_and_array.ue_array_geometry,ula,browser_or_yaml_antenna_and_array.ue_array_geometry,submitted,ula,browser_runtime_overlay,submitted,ula,antenna.ue.geometry,resolved,buildInternalConfig.localApplyRuntimeAntennaConfig -> UE runtime array geometry,ula,sim_runs.config_json,db_snapshot,ula,reports/csv/config_roundtrip_verification.csv,resolved,ula,browser_runtime_context.roundtrip_artifacts,browser_displayed,consistent,,antenna.ue.geometry,air_interface/csv/ul_pusch_trials.csv,UEAntennaArrayType,ula,air_interface/csv/ul_pusch_trials.csv:UEAntennaArrayType,runtime_state_derived,,not_emitted_by_active_config_roundtrip_verification_runtime,not_available,sim_runs.config_json,runtime_context.roundtrip_artifacts.config_roundtrip_verification,1,1,0,UE array geometry reaches the runtime array object used by raw UL trials.
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,antenna,antenna_and_array.bs_num_antenna_elements,64,browser_or_yaml_antenna_and_array.bs_num_antenna_elements,submitted,64,browser_runtime_overlay,submitted,64,antenna.bs.numElements,resolved,buildInternalConfig.localApplyRuntimeAntennaConfig -> BS runtime array element count,64,sim_runs.config_json,db_snapshot,64,reports/csv/config_roundtrip_verification.csv,resolved,64,browser_runtime_context.roundtrip_artifacts,browser_displayed,consistent,,antenna.bs.numElements,air_interface/csv/dl_pdsch_trials.csv,BSAntennaElements,64,air_interface/csv/dl_pdsch_trials.csv:BSAntennaElements,runtime_state_derived,,not_emitted_by_active_config_roundtrip_verification_runtime,not_available,sim_runs.config_json,runtime_context.roundtrip_artifacts.config_roundtrip_verification,1,1,0,BS antenna element count is preserved in runtime cfg and raw trial antenna evidence.
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,antenna,antenna_and_array.ue_num_antenna_elements,4,browser_or_yaml_antenna_and_array.ue_num_antenna_elements,submitted,4,browser_runtime_overlay,submitted,4,antenna.ue.numElements,resolved,buildInternalConfig.localApplyRuntimeAntennaConfig -> UE runtime array element count,4,sim_runs.config_json,db_snapshot,4,reports/csv/config_roundtrip_verification.csv,resolved,4,browser_runtime_context.roundtrip_artifacts,browser_displayed,consistent,,antenna.ue.numElements,air_interface/csv/ul_pusch_trials.csv,UEAntennaElements,4,air_interface/csv/ul_pusch_trials.csv:UEAntennaElements,runtime_state_derived,,not_emitted_by_active_config_roundtrip_verification_runtime,not_available,sim_runs.config_json,runtime_context.roundtrip_artifacts.config_roundtrip_verification,1,1,0,UE antenna element count is preserved in runtime cfg and raw trial antenna evidence.
