Direction,TraceSource,SNR_dB,Metric,MeanValue,P05Value,P95Value,SampleCount
DL,dl_pdsch_trials,12,ReceiverHestSINR_dB,20.3604736597367,-11.3618643123924,48.1762485885198,150
DL,dl_pdsch_trials,12,DecoderTruthProxySINR_dB,4.54638987884969,-11.4892338178302,33.7125354008069,150
DL,dl_pdsch_trials,12,LargeScaleSINR_dB,22.9920433690766,1.59860768702454,52.6276401583129,150
DL,dl_pdsch_trials,12,NMSE_dB,-8.23389863827617,-33.8572344187527,15.8223436501112,150
DL,dl_pdsch_trials,12,ChannelGain_dB,-125.666066642863,-161.185987169841,-90.4792128330268,150
DL,dl_pdsch_trials,12,ConditionNumber_dB,24.8482486346722,0,43.1544196757168,150
DL,dl_pdsch_trials,12,TimingOffset_samples,30.5666666666667,0,85.4999999999995,150
DL,dl_pdsch_trials,12,EstimatedDopplerHz,-0.824461562247623,0,0,120
DL,dl_pdsch_trials,12,PhaseTrackingError_deg,4.85333704175043e-15,0,5.08888749034163e-14,150
UL,ul_pusch_trials,12,ReceiverHestSINR_dB,30.9785701263823,14.9066510594597,51.3838542848448,96
UL,ul_pusch_trials,12,DecoderTruthProxySINR_dB,13.5302338250566,-23.0358357113719,34.427134384631,96
UL,ul_pusch_trials,12,LargeScaleSINR_dB,23.6528567170117,0.304453717580627,53.4289811770562,96
UL,ul_pusch_trials,12,NMSE_dB,-31.6418413257722,-35.3650845122989,-26.6451350813015,96
UL,ul_pusch_trials,12,ChannelGain_dB,-132.111375016136,-147.821049360611,-113.265251658639,96
UL,ul_pusch_trials,12,ConditionNumber_dB,0,0,0,96
UL,ul_pusch_trials,12,TimingOffset_samples,0.0208333333333333,0,0,96
UL,ul_pusch_trials,12,EstimatedDopplerHz,2.684414122605,0,0,90
UL,ul_pusch_trials,12,PhaseTrackingError_deg,2.24451410994821e-15,0,1.45705625524586e-14,96
SRS,srs_trials,12,NMSE_dB,-27.2655854370409,-29.5872052634225,-25.7739527400202,37
SRS,srs_trials,12,QCLAccuracy,0.999025634899072,0.998679572283251,0.999450533989375,37
SRS,srs_trials,12,TrackingFailureProbability,0,0,0,37
TRS,trs_trials,12,NMSE_dB,25.1947269758921,24.00834622651,25.5441218985496,15
TRS,trs_trials,12,EstimatedDopplerHz,14.4936836849466,1.39441508903952,23.3221195593726,15
TRS,trs_trials,12,DopplerError_Hz,3.37488051167489,-9.72438808423221,12.2033163861009,15
TRS,trs_trials,12,PhaseTrackingError_deg,-137.621198699969,-143.651801228531,-128.682093915906,15
TRS,trs_trials,12,QCLAccuracy,0.0533473819424109,0.0527459451345765,0.0537914329396995,15
