ue_id,cell_id,direction,cqi_input,mcs_selected,code_rate,tbs_bits,harq_state,scheduler_reason,run_id,run_tag,scenario_id,scenario_variant_id,config_hash,code_commit,seed,beam_id,block_id,pipeline_id,producer_module,status_code,status_classification,source_artifact_ref,source_tensor_ref,derived_flag,active_flag
3,1,DL,15,0,0.1171875,2024,new_data,new_data_pf,1,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,2756cfb,104729,not_recorded_by_active_table_mcs_tbs_evolution_runtime,not_applicable,not_applicable,sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildMCSTBSEvolutionTable,implemented,derived_from_scheduler_grants,packet_flow/csv/live_dl_scheduler_grants.csv,not_applicable,1,1
5,1,DL,15,0,0.1171875,2024,new_data,new_data_pf,1,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,2756cfb,104729,not_recorded_by_active_table_mcs_tbs_evolution_runtime,not_applicable,not_applicable,sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildMCSTBSEvolutionTable,implemented,derived_from_scheduler_grants,packet_flow/csv/live_dl_scheduler_grants.csv,not_applicable,1,1
7,1,DL,15,0,0.1171875,2024,new_data,new_data_pf,1,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,2756cfb,104729,not_recorded_by_active_table_mcs_tbs_evolution_runtime,not_applicable,not_applicable,sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildMCSTBSEvolutionTable,implemented,derived_from_scheduler_grants,packet_flow/csv/live_dl_scheduler_grants.csv,not_applicable,1,1
9,1,DL,15,0,0.1171875,2024,new_data,new_data_pf,1,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,2756cfb,104729,not_recorded_by_active_table_mcs_tbs_evolution_runtime,not_applicable,not_applicable,sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildMCSTBSEvolutionTable,implemented,derived_from_scheduler_grants,packet_flow/csv/live_dl_scheduler_grants.csv,not_applicable,1,1
14,1,DL,15,0,0.1171875,2024,new_data,new_data_pf,1,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,2756cfb,104729,not_recorded_by_active_table_mcs_tbs_evolution_runtime,not_applicable,not_applicable,sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildMCSTBSEvolutionTable,implemented,derived_from_scheduler_grants,packet_flow/csv/live_dl_scheduler_grants.csv,not_applicable,1,1
19,1,DL,15,0,0.1171875,2024,new_data,new_data_pf,1,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,2756cfb,104729,not_recorded_by_active_table_mcs_tbs_evolution_runtime,not_applicable,not_applicable,sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildMCSTBSEvolutionTable,implemented,derived_from_scheduler_grants,packet_flow/csv/live_dl_scheduler_grants.csv,not_applicable,1,1
26,1,DL,15,0,0.1171875,2024,new_data,new_data_pf,1,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,2756cfb,104729,not_recorded_by_active_table_mcs_tbs_evolution_runtime,not_applicable,not_applicable,sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildMCSTBSEvolutionTable,implemented,derived_from_scheduler_grants,packet_flow/csv/live_dl_scheduler_grants.csv,not_applicable,1,1
27,1,DL,15,0,0.1171875,2024,new_data,new_data_pf,1,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,2756cfb,104729,not_recorded_by_active_table_mcs_tbs_evolution_runtime,not_applicable,not_applicable,sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildMCSTBSEvolutionTable,implemented,derived_from_scheduler_grants,packet_flow/csv/live_dl_scheduler_grants.csv,not_applicable,1,1
43,1,DL,15,0,0.1171875,2024,new_data,new_data_pf,1,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,2756cfb,104729,not_recorded_by_active_table_mcs_tbs_evolution_runtime,not_applicable,not_applicable,sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildMCSTBSEvolutionTable,implemented,derived_from_scheduler_grants,packet_flow/csv/live_dl_scheduler_grants.csv,not_applicable,1,1
47,1,DL,15,0,0.1171875,2024,new_data,new_data_pf,1,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,2756cfb,104729,not_recorded_by_active_table_mcs_tbs_evolution_runtime,not_applicable,not_applicable,sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildMCSTBSEvolutionTable,implemented,derived_from_scheduler_grants,packet_flow/csv/live_dl_scheduler_grants.csv,not_applicable,1,1
