Policy,NoiseOnlyTrials,FalseDetections,FalseACKBits,DTXToACKBitProbability,QualificationStatus
previous_0.2,64,60,34,0.53125,not_qualified_component_sample_only
configured_0.42,64,3,3,0.046875,not_qualified_component_sample_only
