authority_path,mirror_path,field,authority_value,mirror_value,match,status
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,ScenarioID,lls_causal_access_to_data_wiring_tdd,lls_causal_access_to_data_wiring_tdd,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,RunTag,phase96_tdd_csirs_spatial_truth_20260831_01,phase96_tdd_csirs_spatial_truth_20260831_01,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,ConfigHash,d56aba5d0e74b6607cf765109a3dad94e8fba1cc5c4f5a7f68ef095daf0c95a0,d56aba5d0e74b6607cf765109a3dad94e8fba1cc5c4f5a7f68ef095daf0c95a0,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,TruthContractVersion,truth_contract_v1,truth_contract_v1,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,StatusAuthority,sixgr.truth.evaluateLLSRuntimeTruthContract,sixgr.truth.evaluateLLSRuntimeTruthContract,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,ContractApplicability,applicable,applicable,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,RuntimeTruthContractOk,0,0,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,ResultOk,0,0,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,StrictTruthFailureCount,2,2,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,StrictProxyGuardFailureCount,0,0,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,CanonicalArtifactGapCount,0,0,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,RoundtripMismatchCount,0,0,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,RequiredRuntimeEvidenceMissingCount,1,1,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,NoProxyPHYOk,1,1,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,SyntheticBLERFallbackOk,1,1,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,RawLifecycleOk,1,1,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,ScenarioObjectiveOk,1,1,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,ClaimProfile,nr_baseline_study,nr_baseline_study,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,ClaimStatus,claim_allowed,claim_allowed,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,ClaimAllowed,1,1,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,StandardsConformanceOk,1,1,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,ConfiguredEffectiveOk,0,0,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,MandatorySubsystemsOk,1,1,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,ActiveIssueGateOk,1,1,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,StrictAnchorEligible,1,1,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,StrictAnchorPass,0,0,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,ResultStatusReason,runtime_truth_contract_failed; visual_artifact_gate_failed,runtime_truth_contract_failed; visual_artifact_gate_failed,True,PASS
