RunRoot,ImageFile,Width,Height,Mode,FileBytes,PixelStdDev,NonBlankFraction,SHA256,Status,Reason
tmp_geom_cfg_export_manual/run,image/system_ue_throughput_by_traffic_class.png,706,586,RGB,20615,25.634160,0.035717739,bf5fed2e0b491815f67c7eeb8a6aea4b48620d50f84cc12698a24f6bc15fbd38,PASS,
tmp_geom_cfg_export_manual/run,image/system_ue_trajectories.png,711,588,RGB,16174,25.034582,0.036728475,cbf443bc79ad2f59739f3b6f7274762f33dadfef27471cea95257a13e2d53910,PASS,
tmp_geom_cfg_export_manual/run,maps/attachment_map.png,728,540,RGB,19422,33.988664,0.073672161,16d0e552ef7a933442308a7bd6d334408fb9f23413f5043a5ff0149ec1f7ec3c,PASS,
tmp_geom_cfg_export_manual/run,maps/handover_boundaries.png,714,591,RGB,17366,26.045202,0.037947836,da15b7ff41c80f56bdfa29c633fcfd2063da9d3bcbeaf38506fe8b1795ea5792,PASS,
tmp_geom_cfg_export_manual/run,maps/serving_beam_map.png,723,541,RGB,20349,34.447296,0.074722033,0a8a7d04fad5073b75b611e8846815ce0f00bd598003c0e2aeecf1b358088f03,PASS,
tmp_geom_cfg_export_manual/run,maps/site_layout.png,711,592,RGB,20890,28.592506,0.041269909,2ccd4cb28d153635d85f4a0f154ebb8e606bfb71fcc309e3cc8df006e9e9e504,PASS,
tmp_geom_cfg_export_manual/run,plots/system_center_edge_sinr_cdf.png,718,590,RGB,23067,27.865242,0.047856570,93318e75e8e7cf22fa29bd81a9e8022145e75a575702973329c5687a59a2f6c7,PASS,
tmp_geom_cfg_export_manual/run,plots/system_ebno_sinr_vs_time.png,706,590,RGB,20538,30.929448,0.039443991,09886ca79f47cfa8d25f8f6158f7b96b256038827017c772f9bcabe7e11e9523,PASS,
tmp_geom_cfg_export_manual/run,plots/system_queue_vs_time.png,712,592,RGB,23417,30.313327,0.042507307,ab87acaf6c986e334d4227f2bd8da0e9eb1ea29748f698f28f3b74eae37d9952,PASS,
tmp_geom_cfg_export_manual/run,plots/system_rsrp_vs_sinr.png,721,590,RGB,16723,22.659266,0.032960342,aeeefb4b7cf7882351776fba3b98f450f2990b47b0e57e980a74ea30a78b4b75,PASS,
tmp_geom_cfg_export_manual/run,plots/system_sinr_cdf.png,710,590,RGB,17863,28.039365,0.046070661,fd8004b4e6ce21e6d33b63eb95e0f40454086d1a7236e3e344b89cf062e8e0a1,PASS,
tmp_geom_cfg_export_manual/run,plots/system_throughput_vs_time.png,717,590,RGB,18735,28.322083,0.032848734,7f9c9523f88db0a9ead1a03671cdf7ba9bdc918d571bc4708747ba0565e9ac4a,PASS,
tmp_geom_cfg_export_manual/run,plots/system_ue_throughput_by_traffic_class.png,706,586,RGB,20615,25.634160,0.035717739,bf5fed2e0b491815f67c7eeb8a6aea4b48620d50f84cc12698a24f6bc15fbd38,PASS,
tmp_geom_cfg_export_manual/run,plots/system_ue_trajectories.png,711,588,RGB,16174,25.034582,0.036728475,cbf443bc79ad2f59739f3b6f7274762f33dadfef27471cea95257a13e2d53910,PASS,
