RunID,ExperimentID,TrialID,FamilyID,PairID,Variant,Seed,Packets,Delivered,Dropped,DuplicateDelivered,Latency_ms,Goodput_Mbps,ControlBytes,Runtime_ms,Status
"PROTOCOL-IMPACT-20260727-071740","F01_01_B","TRIAL-1","F01","F01_P01","baseline","11","1","1","0","0","0.1","6","7","135.7748","PASS"
"PROTOCOL-IMPACT-20260727-071740","F01_01_T","TRIAL-2","F01","F01_P01","treatment","11","1","1","0","0","0.1","6","7","41.3949","PASS"
"PROTOCOL-IMPACT-20260727-071740","F01_02_B","TRIAL-3","F01","F01_P02","baseline","23","1","1","0","0","0.1","6.96","7","28.8992","PASS"
"PROTOCOL-IMPACT-20260727-071740","F01_02_T","TRIAL-4","F01","F01_P02","treatment","23","1","1","0","0","0.1","6.96","7","28.1159","PASS"
"PROTOCOL-IMPACT-20260727-071740","F01_03_B","TRIAL-5","F01","F01_P03","baseline","47","1","1","0","0","0.1","6.32","7","93.1653","PASS"
"PROTOCOL-IMPACT-20260727-071740","F01_03_T","TRIAL-6","F01","F01_P03","treatment","47","1","1","0","0","0.1","6.32","7","7.3493","PASS"
"PROTOCOL-IMPACT-20260727-071740","F01_04_B","TRIAL-7","F01","F01_P04","baseline","89","1","1","0","0","0.1","7.12","7","7.4676","PASS"
"PROTOCOL-IMPACT-20260727-071740","F01_04_T","TRIAL-8","F01","F01_P04","treatment","89","1","1","0","0","0.1","7.12","7","8.4597","PASS"
"PROTOCOL-IMPACT-20260727-071740","F01_05_B","TRIAL-9","F01","F01_P05","baseline","131","1","1","0","0","0.1","5.36","7","11.4309","PASS"
"PROTOCOL-IMPACT-20260727-071740","F01_05_T","TRIAL-10","F01","F01_P05","treatment","131","1","1","0","0","0.1","5.36","7","9.4938","PASS"
"PROTOCOL-IMPACT-20260727-071740","F01_06_B","TRIAL-11","F01","F01_P06","baseline","197","1","1","0","0","0.1","5.52","7","7.549","PASS"
"PROTOCOL-IMPACT-20260727-071740","F01_06_T","TRIAL-12","F01","F01_P06","treatment","197","1","1","0","0","0.1","5.52","7","7.263","PASS"
"PROTOCOL-IMPACT-20260727-071740","F02_01_B","TRIAL-13","F02","F02_P01","baseline","11","1","1","0","0","0.1","6","7","7.9311","PASS"
"PROTOCOL-IMPACT-20260727-071740","F02_01_T","TRIAL-14","F02","F02_P01","treatment","11","1","1","0","0","0.1","6","7","7.6149","PASS"
