RunID,ExperimentID,FamilyID,PairID,Variant,Trials,Packets,Errors,Incomplete,StopReason,DeliveryRate,CILower,CIUpper,MeanLatency_ms,P95Latency_ms,MeanGoodput_Mbps,MeanRuntime_ms,Status
"PROTOCOL-IMPACT-20260727-071740","F01_01_B","F01","F01_P01","baseline","1","64","0","false","criteria_met","1","0.9434","1","0.1","0.1","6","135.7748","PASS"
"PROTOCOL-IMPACT-20260727-071740","F01_01_T","F01","F01_P01","treatment","1","64","0","false","criteria_met","1","0.9434","1","0.1","0.1","6","41.3949","PASS"
"PROTOCOL-IMPACT-20260727-071740","F01_02_B","F01","F01_P02","baseline","1","64","0","false","criteria_met","1","0.9434","1","0.1","0.1","6.96","28.8992","PASS"
"PROTOCOL-IMPACT-20260727-071740","F01_02_T","F01","F01_P02","treatment","1","64","0","false","criteria_met","1","0.9434","1","0.1","0.1","6.96","28.1159","PASS"
"PROTOCOL-IMPACT-20260727-071740","F01_03_B","F01","F01_P03","baseline","1","64","0","false","criteria_met","1","0.9434","1","0.1","0.1","6.32","93.1653","PASS"
"PROTOCOL-IMPACT-20260727-071740","F01_03_T","F01","F01_P03","treatment","1","64","0","false","criteria_met","1","0.9434","1","0.1","0.1","6.32","7.3493","PASS"
"PROTOCOL-IMPACT-20260727-071740","F01_04_B","F01","F01_P04","baseline","1","64","0","false","criteria_met","1","0.9434","1","0.1","0.1","7.12","7.4676","PASS"
"PROTOCOL-IMPACT-20260727-071740","F01_04_T","F01","F01_P04","treatment","1","64","0","false","criteria_met","1","0.9434","1","0.1","0.1","7.12","8.4597","PASS"
"PROTOCOL-IMPACT-20260727-071740","F01_05_B","F01","F01_P05","baseline","1","64","0","false","criteria_met","1","0.9434","1","0.1","0.1","5.36","11.4309","PASS"
"PROTOCOL-IMPACT-20260727-071740","F01_05_T","F01","F01_P05","treatment","1","64","0","false","criteria_met","1","0.9434","1","0.1","0.1","5.36","9.4938","PASS"
"PROTOCOL-IMPACT-20260727-071740","F01_06_B","F01","F01_P06","baseline","1","64","0","false","criteria_met","1","0.9434","1","0.1","0.1","5.52","7.549","PASS"
"PROTOCOL-IMPACT-20260727-071740","F01_06_T","F01","F01_P06","treatment","1","64","0","false","criteria_met","1","0.9434","1","0.1","0.1","5.52","7.263","PASS"
"PROTOCOL-IMPACT-20260727-071740","F02_01_B","F02","F02_P01","baseline","1","64","0","false","criteria_met","1","0.9434","1","0.1","0.1","6","7.9311","PASS"
"PROTOCOL-IMPACT-20260727-071740","F02_01_T","F02","F02_P01","treatment","1","64","0","false","criteria_met","1","0.9434","1","0.1","0.1","6","7.6149","PASS"
"PROTOCOL-IMPACT-20260727-071740","F02_02_B","F02","F02_P02","baseline","1","64","0","false","criteria_met","1","0.9434","1","0.1","0.1","6.96","6.3881","PASS"
"PROTOCOL-IMPACT-20260727-071740","F02_02_T","F02","F02_P02","treatment","1","64","0","false","criteria_met","1","0.9434","1","0.1","0.1","6.96","7.8938","PASS"
"PROTOCOL-IMPACT-20260727-071740","F02_03_B","F02","F02_P03","baseline","1","64","0","false","criteria_met","1","0.9434","1","0.1","0.1","6.32","6.1054","PASS"
"PROTOCOL-IMPACT-20260727-071740","F02_03_T","F02","F02_P03","treatment","1","64","0","false","criteria_met","1","0.9434","1","0.1","0.1","6.32","7.1474","PASS"
"PROTOCOL-IMPACT-20260727-071740","F02_04_B","F02","F02_P04","baseline","1","64","0","false","criteria_met","1","0.9434","1","0.1","0.1","7.12","5.7312","PASS"
"PROTOCOL-IMPACT-20260727-071740","F02_04_T","F02","F02_P04","treatment","1","64","0","false","criteria_met","1","0.9434","1","0.1","0.1","7.12","5.3012","PASS"
"PROTOCOL-IMPACT-20260727-071740","F02_05_B","F02","F02_P05","baseline","1","64","0","false","criteria_met","1","0.9434","1","0.1","0.1","5.36","5.0396","PASS"
"PROTOCOL-IMPACT-20260727-071740","F02_05_T","F02","F02_P05","treatment","1","64","0","false","criteria_met","1","0.9434","1","0.1","0.1","5.36","6.9205","PASS"
