RunID,PairID,FamilyID,Metric,BaselineMean,TreatmentMean,Effect,CILower,CIUpper,PValue,AdjustedPValue,EffectSize,Conclusion,Status,EvidenceRows,EvidenceClass
"PROTOCOL-IMPACT-20260727-071740","F01_P01","F01","Goodput_Mbps","6","6","0","0","0","1","1","0","no_observed_paired_difference","PASS","2","paired_executed_protocol_component"
"PROTOCOL-IMPACT-20260727-071740","F01_P02","F01","Goodput_Mbps","6.96","6.96","0","0","0","1","1","0","no_observed_paired_difference","PASS","2","paired_executed_protocol_component"
"PROTOCOL-IMPACT-20260727-071740","F01_P03","F01","Goodput_Mbps","6.32","6.32","0","0","0","1","1","0","no_observed_paired_difference","PASS","2","paired_executed_protocol_component"
"PROTOCOL-IMPACT-20260727-071740","F01_P04","F01","Goodput_Mbps","7.12","7.12","0","0","0","1","1","0","no_observed_paired_difference","PASS","2","paired_executed_protocol_component"
"PROTOCOL-IMPACT-20260727-071740","F01_P05","F01","Goodput_Mbps","5.36","5.36","0","0","0","1","1","0","no_observed_paired_difference","PASS","2","paired_executed_protocol_component"
"PROTOCOL-IMPACT-20260727-071740","F01_P06","F01","Goodput_Mbps","5.52","5.52","0","0","0","1","1","0","no_observed_paired_difference","PASS","2","paired_executed_protocol_component"
"PROTOCOL-IMPACT-20260727-071740","F02_P01","F02","Goodput_Mbps","6","6","0","0","0","1","1","0","no_observed_paired_difference","PASS","2","paired_executed_protocol_component"
"PROTOCOL-IMPACT-20260727-071740","F02_P02","F02","Goodput_Mbps","6.96","6.96","0","0","0","1","1","0","no_observed_paired_difference","PASS","2","paired_executed_protocol_component"
"PROTOCOL-IMPACT-20260727-071740","F02_P03","F02","Goodput_Mbps","6.32","6.32","0","0","0","1","1","0","no_observed_paired_difference","PASS","2","paired_executed_protocol_component"
"PROTOCOL-IMPACT-20260727-071740","F02_P04","F02","Goodput_Mbps","7.12","7.12","0","0","0","1","1","0","no_observed_paired_difference","PASS","2","paired_executed_protocol_component"
"PROTOCOL-IMPACT-20260727-071740","F02_P05","F02","Goodput_Mbps","5.36","5.36","0","0","0","1","1","0","no_observed_paired_difference","PASS","2","paired_executed_protocol_component"
"PROTOCOL-IMPACT-20260727-071740","F02_P06","F02","Goodput_Mbps","5.52","5.52","0","0","0","1","1","0","no_observed_paired_difference","PASS","2","paired_executed_protocol_component"
"PROTOCOL-IMPACT-20260727-071740","F03_P01","F03","Goodput_Mbps","6","6","0","0","0","1","1","0","no_observed_paired_difference","PASS","2","paired_executed_protocol_component"
"PROTOCOL-IMPACT-20260727-071740","F03_P02","F03","Goodput_Mbps","6.96","6.96","0","0","0","1","1","0","no_observed_paired_difference","PASS","2","paired_executed_protocol_component"
"PROTOCOL-IMPACT-20260727-071740","F03_P03","F03","Goodput_Mbps","6.32","6.32","0","0","0","1","1","0","no_observed_paired_difference","PASS","2","paired_executed_protocol_component"
"PROTOCOL-IMPACT-20260727-071740","F03_P04","F03","Goodput_Mbps","7.12","7.12","0","0","0","1","1","0","no_observed_paired_difference","PASS","2","paired_executed_protocol_component"
"PROTOCOL-IMPACT-20260727-071740","F03_P05","F03","Goodput_Mbps","5.36","5.36","0","0","0","1","1","0","no_observed_paired_difference","PASS","2","paired_executed_protocol_component"
"PROTOCOL-IMPACT-20260727-071740","F03_P06","F03","Goodput_Mbps","5.52","5.52","0","0","0","1","1","0","no_observed_paired_difference","PASS","2","paired_executed_protocol_component"
