RunID,ImageFile,SourceCSV,SourceCSV_SHA256,PNG_SHA256,Width,Height,AxesCount,SeriesCount,FinitePointCount,ActualTitle,ActualXLabel,ActualYLabel,Status,PlotBackend,EvidenceClass
"PROTOCOL-IMPACT-20260727-071740","protocol_impact_rlc_sn_overhead.png","protocol_impact_rlc.csv","fe250c9543288dc74f3802d24c9f424cbbb0abe3c998f1f3887bb5f88e53fd5e","7ae01e13391e39238877e0efc7242278d9fdd79bb48cb76d55b9c78be5f06f1f","1000","700","1","4","120","RLC SN overhead","SN bits","Header overhead","PASS","matlab_print","executed_protocol_evidence"
"PROTOCOL-IMPACT-20260727-071740","protocol_impact_rlc_polling.png","protocol_impact_rlc.csv","fe250c9543288dc74f3802d24c9f424cbbb0abe3c998f1f3887bb5f88e53fd5e","658001b7899c6d1022905a03d8fbe5f280e1d27b0515bc0270a54e97f45d790c","1000","700","1","4","120","RLC polling","Polling configuration","Recovery and overhead","PASS","matlab_print","executed_protocol_evidence"
"PROTOCOL-IMPACT-20260727-071740","protocol_impact_rlc_timers.png","protocol_impact_rlc.csv","fe250c9543288dc74f3802d24c9f424cbbb0abe3c998f1f3887bb5f88e53fd5e","e1de5e1ec6815b4a76bbcae5e9052fa6d11e87b811c4f8a8832f3c9cc3348477","1000","700","1","4","120","RLC timers","Timer value","Latency and discard","PASS","matlab_print","executed_protocol_evidence"
"PROTOCOL-IMPACT-20260727-071740","protocol_impact_rlc_status.png","protocol_impact_rlc.csv","fe250c9543288dc74f3802d24c9f424cbbb0abe3c998f1f3887bb5f88e53fd5e","66e0c0e8073a300b4954e8f8762d0ce3994bc5e6cbff6899bee24909b83d12e1","1000","700","1","4","120","RLC STATUS","Loss pattern","STATUS and retransmission bytes","PASS","matlab_print","executed_protocol_evidence"
"PROTOCOL-IMPACT-20260727-071740","protocol_impact_pdcp_sn_count.png","protocol_impact_pdcp.csv","f45db54a925db353972b2791cb86cac62bd355d1d9b76911a7cc351640f86aa3","bcfe5b8f229a93087e3063fde3bfa67472a10a1fa3aae070a2b7b4310358bcae","1000","700","1","4","120","PDCP SN and COUNT","SN bits","Overhead and wrap","PASS","matlab_print","executed_protocol_evidence"
"PROTOCOL-IMPACT-20260727-071740","protocol_impact_pdcp_reordering.png","protocol_impact_pdcp.csv","f45db54a925db353972b2791cb86cac62bd355d1d9b76911a7cc351640f86aa3","47ea6754b0ef9218b63650c9002b913c6fbd21f482cab9bbdfe028176a49a820","1000","700","1","4","120","PDCP reordering","Timer value","Delay and discard","PASS","matlab_print","executed_protocol_evidence"
"PROTOCOL-IMPACT-20260727-071740","protocol_impact_pdcp_security.png","protocol_impact_pdcp.csv","f45db54a925db353972b2791cb86cac62bd355d1d9b76911a7cc351640f86aa3","25840a49405b9f71bec5fed75ba390da8885f739b8669e65448d024a4ffafbe8","1000","700","1","4","120","PDCP security","Algorithm","Runtime and failures","PASS","matlab_print","executed_protocol_evidence"
"PROTOCOL-IMPACT-20260727-071740","protocol_impact_pdcp_duplication.png","protocol_impact_pdcp.csv","f45db54a925db353972b2791cb86cac62bd355d1d9b76911a7cc351640f86aa3","ec308ac140b1d52858724d51481f0ab57d34ff73281f1671030cd442fd24501f","1000","700","1","4","120","PDCP duplication","Path profile","Reliability and overhead","PASS","matlab_print","executed_protocol_evidence"
"PROTOCOL-IMPACT-20260727-071740","protocol_impact_sdap_mapping.png","protocol_impact_sdap.csv","f7ea33ae098c22a46cd4bb8af4bab11f7113bfd294f295300d756d69ecfeab06","86e39c0639fc4f829671030284d3377c65f079b9e4aecc96c9ba1bc31ee6cbec","1000","700","1","4","120","SDAP mapping","QFI","DRB and errors","PASS","matlab_print","executed_protocol_evidence"
"PROTOCOL-IMPACT-20260727-071740","protocol_impact_sdap_end_marker.png","protocol_impact_sdap.csv","f7ea33ae098c22a46cd4bb8af4bab11f7113bfd294f295300d756d69ecfeab06","791e57464416370070d33fc363dd56a31e62b2819df6de88efc1ebb58859f6f0","1000","700","1","4","120","SDAP end marker","Mapping transition","Completion state","PASS","matlab_print","executed_protocol_evidence"
"PROTOCOL-IMPACT-20260727-071740","protocol_impact_rrc_codec.png","protocol_impact_rrc.csv","f3b10560666340fd7812465167d8bd75de4b11e2498dd5b4b567484687da0524","7cf34c16efd169f0bf2a0467da2a1e9f56173d76bc2de9c5c6b7989a9dab7021","1000","700","1","4","120","RRC codec","Message type","Encoded bits","PASS","matlab_print","executed_protocol_evidence"
