Slot1,ControlSlot0,DataSlot0,HARQProcess,ReceivedAssignmentSHA256,CRCPass,DecodeAvailableAtSample
3,2,2,0,"41e4585089f3ed28158b025f6be8ea235eb98111d2c4b0f5c16e83339c6ee48a",1,23047
6,5,5,1,"fab49a9f3e87f485999bd551ae165571585f499b50c84b4de85a3b77182b1290",0,46087
