Direction,Availability,RowCount,ConfiguredRowCount,AppliedRowCount,MeasuredRowCount,MeanConfiguredIQGainImbalance_dB,MeanConfiguredIQPhaseImbalance_deg,MeanMirrorPowerRatio_dB,P05MirrorPowerRatio_dB,P95MirrorPowerRatio_dB,MeanImageRejection_dB,MinImageRejection_dB,P05ImageRejection_dB,P95ImageRejection_dB,MaxImageRejection_dB,MeanIQPowerRatio_dB,MeanAbsIQCorrelation,MeanEstimatedAlphaAbs,MeanEstimatedBetaAbs,ModelSet,MeasurementSourceSet,MeasurementStatusSet,SourceArtifact,Note
"DL","measured_runtime_iq_imbalance",2,0,0,2,0,0,-361.765957049555,-371.530342294252,-352.001571804858,361.765957049555,350.916640111003,352.001571804858,371.530342294252,372.615273988108,0.00910783659345424,0.000775131325996131,0.00126499076332339,2.29383386260893e-21,"widely_linear_alpha_beta","sample_domain_widely_linear_fit_after_iq_stage","measured","air_interface/csv/dl_pdsch_trials.csv","Summary aggregates sample-domain IQ-imbalance measurements emitted by the active waveform TX/RX impairment chain."
"ALL","measured_runtime_iq_imbalance",2,0,0,2,0,0,-361.765957049555,-371.530342294252,-352.001571804858,361.765957049555,350.916640111003,352.001571804858,371.530342294252,372.615273988108,0.00910783659345424,0.000775131325996131,0.00126499076332339,2.29383386260893e-21,"widely_linear_alpha_beta","sample_domain_widely_linear_fit_after_iq_stage","measured","air_interface/csv/dl_pdsch_trials.csv","Summary aggregates sample-domain IQ-imbalance measurements emitted by the active waveform TX/RX impairment chain."
