AbsoluteSymbolIndex,Slot,SymbolInSlot,SymbolStartTime_s,SymbolDuration_s,ScheduledDLBits,ScheduledULBits,ScheduledTotalBits,GoodDLBits,GoodULBits,GoodTotalBits,DLThroughput_Mbps,ULThroughput_Mbps,TotalScheduledThroughput_Mbps,DLGoodput_Mbps,ULGoodput_Mbps,TotalGoodput_Mbps,DLGrantCount,ULGrantCount,TotalGrantCount,MaxDLMCS,MeanDLCQI,ValueSource,ValueRole,ValueStatus
43,3,1,0.00153571428571429,3.57142857142857e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,"configured_symbol_time_axis_no_grant","symbol_throughput_from_actual_grant_symbol_allocation","OK"
44,3,2,0.00157142857142857,3.57142857142857e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,"configured_symbol_time_axis_no_grant","symbol_throughput_from_actual_grant_symbol_allocation","OK"
45,3,3,0.00160714285714286,3.57142857142857e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,"configured_symbol_time_axis_no_grant","symbol_throughput_from_actual_grant_symbol_allocation","OK"
46,3,4,0.00164285714285714,3.57142857142857e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,"configured_symbol_time_axis_no_grant","symbol_throughput_from_actual_grant_symbol_allocation","OK"
47,3,5,0.00167857142857143,3.57142857142857e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,"configured_symbol_time_axis_no_grant","symbol_throughput_from_actual_grant_symbol_allocation","OK"
48,3,6,0.00171428571428571,3.57142857142857e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,"configured_symbol_time_axis_no_grant","symbol_throughput_from_actual_grant_symbol_allocation","OK"
49,3,7,0.00175,3.57142857142857e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,"configured_symbol_time_axis_no_grant","symbol_throughput_from_actual_grant_symbol_allocation","OK"
50,3,8,0.00178571428571429,3.57142857142857e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,"configured_symbol_time_axis_no_grant","symbol_throughput_from_actual_grant_symbol_allocation","OK"
51,3,9,0.00182142857142857,3.57142857142857e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,"configured_symbol_time_axis_no_grant","symbol_throughput_from_actual_grant_symbol_allocation","OK"
52,3,10,0.00185714285714286,3.57142857142857e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,"configured_symbol_time_axis_no_grant","symbol_throughput_from_actual_grant_symbol_allocation","OK"
