TrialID,BCHCRC,PBCHBitErrors,MIBBits23,SystemFrameNumberMSB6,SubCarrierSpacingCommon,SSBSubcarrierOffset,DMRSTypeAPosition,PDCCHConfigSIB1,CellBarred,IntraFreqReselection,IndependentMismatchCount,Status
MIB-001,1,0,00000000000000010001100,0,scs15or60,0,2,17,notbarred,allowed,0,PASS
MIB-002,1,0,00000000001100100010100,0,scs15or60,1,3,34,notbarred,allowed,0,PASS
MIB-003,1,0,00000000111000110011110,0,scs15or60,7,2,51,notbarred,notallowed,0,PASS
MIB-004,1,0,00000001111101000100100,0,scs15or60,15,3,68,notbarred,allowed,0,PASS
MIB-005,1,0,00000010000001010101100,0,scs30or120,0,2,85,notbarred,allowed,0,PASS
MIB-006,1,0,00000010001101100110110,0,scs30or120,1,3,102,notbarred,notallowed,0,PASS
MIB-007,1,0,00000010111001110111000,0,scs30or120,7,2,119,barred,allowed,0,PASS
MIB-008,1,0,00000011111110001000100,0,scs30or120,15,3,136,notbarred,allowed,0,PASS
MIB-009,1,0,00000100000010011001110,1,scs15or60,0,2,153,notbarred,notallowed,0,PASS
MIB-010,1,0,00000100001110101010100,1,scs15or60,1,3,170,notbarred,allowed,0,PASS
MIB-011,1,0,00000100111010111011100,1,scs15or60,7,2,187,notbarred,allowed,0,PASS
MIB-012,1,0,00000101111111001100110,1,scs15or60,15,3,204,notbarred,notallowed,0,PASS
MIB-013,1,0,00000110000011011101100,1,scs30or120,0,2,221,notbarred,allowed,0,PASS
MIB-014,1,0,00000110001111101110000,1,scs30or120,1,3,238,barred,allowed,0,PASS
MIB-015,1,0,00000110111011111111110,1,scs30or120,7,2,255,notbarred,notallowed,0,PASS
MIB-016,1,0,00000111111100010000100,1,scs30or120,15,3,16,notbarred,allowed,0,PASS
MIB-017,1,0,01000100000000100001100,17,scs15or60,0,2,33,notbarred,allowed,0,PASS
MIB-018,1,0,01000100001100110010110,17,scs15or60,1,3,50,notbarred,notallowed,0,PASS
MIB-019,1,0,01000100111001000011100,17,scs15or60,7,2,67,notbarred,allowed,0,PASS
MIB-020,1,0,01000101111101010100100,17,scs15or60,15,3,84,notbarred,allowed,0,PASS
