TrialID,HypothesisID,NID2,TimingOffset_samples,CFO_Hz,NID1,NCellID,SSBIndex0,HalfFrame,Lmax,Metric,BCHCRC,Selected,OracleFieldUsed,Status
SSB-BLIND-11,NID1-0,1,2192,0,0,1,0,0,8,1,1,1,0,PASS
SSB-BLIND-11,NID1-210,1,2192,0,210,631,0,0,8,0.133858267716536,0,0,0,PASS
SSB-BLIND-11,NID1-135,1,2192,0,135,406,0,0,8,0.133858267716535,0,0,0,PASS
SSB-BLIND-11,NID1-163,1,2192,0,163,490,0,0,8,0.133858267716535,0,0,0,PASS
SSB-BLIND-11,NID1-221,1,2192,0,221,664,0,0,8,0.133858267716535,0,0,0,PASS
SSB-BLIND-11,NID1-234,1,2192,0,234,703,0,0,8,0.133858267716535,0,0,0,PASS
SSB-BLIND-11,NID1-244,1,2192,0,244,733,0,0,8,0.133858267716535,0,0,0,PASS
SSB-BLIND-11,NID1-254,1,2192,0,254,763,0,0,8,0.133858267716535,0,0,0,PASS
SSB-BLIND-11,NID1-272,1,2192,0,272,817,0,0,8,0.133858267716535,0,0,0,PASS
SSB-BLIND-11,NID1-309,1,2192,0,309,928,0,0,8,0.133858267716535,0,0,0,PASS
SSB-BLIND-11,NID1-331,1,2192,0,331,994,0,0,8,0.133858267716535,0,0,0,PASS
SSB-BLIND-11,NID1-120,1,2192,0,120,361,0,0,8,0.133858267716535,0,0,0,PASS
SSB-BLIND-11,NID1-122,1,2192,0,122,367,0,0,8,0.133858267716535,0,0,0,PASS
SSB-BLIND-11,NID1-123,1,2192,0,123,370,0,0,8,0.133858267716535,0,0,0,PASS
SSB-BLIND-11,NID1-130,1,2192,0,130,391,0,0,8,0.133858267716535,0,0,0,PASS
SSB-BLIND-11,NID1-131,1,2192,0,131,394,0,0,8,0.133858267716535,0,0,0,PASS
SSB-BLIND-11,NID1-138,1,2192,0,138,415,0,0,8,0.133858267716535,0,0,0,PASS
SSB-BLIND-11,NID1-144,1,2192,0,144,433,0,0,8,0.133858267716535,0,0,0,PASS
SSB-BLIND-11,NID1-161,1,2192,0,161,484,0,0,8,0.133858267716535,0,0,0,PASS
SSB-BLIND-11,NID1-169,1,2192,0,169,508,0,0,8,0.133858267716535,0,0,0,PASS
SSB-BLIND-11,NID1-174,1,2192,0,174,523,0,0,8,0.133858267716535,0,0,0,PASS
SSB-BLIND-11,NID1-175,1,2192,0,175,526,0,0,8,0.133858267716535,0,0,0,PASS
SSB-BLIND-11,NID1-181,1,2192,0,181,544,0,0,8,0.133858267716535,0,0,0,PASS
SSB-BLIND-11,NID1-191,1,2192,0,191,574,0,0,8,0.133858267716535,0,0,0,PASS
