TrialID,OccasionID,PreambleIndexTx,PreambleIndexDetected,Detected,PeakMetric,Threshold,TimingEstimate_samples,TimingError_samples,FrequencyEstimate_Hz,FalseAlarm,MissedDetection,Ambiguous,Status
PRACH-DETECT-0001,RO-0001,7,7,1,0.999981064973354,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0002,RO-0002,7,7,1,0.999981161719565,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0003,RO-0003,7,7,1,0.999981967546576,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0004,RO-0004,7,7,1,0.999981784008522,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0005,RO-0005,7,7,1,0.999981605535625,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0006,RO-0006,7,7,1,0.999981110152752,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0007,RO-0007,7,7,1,0.99998108483426,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0008,RO-0008,7,7,1,0.999981357873836,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0009,RO-0009,7,7,1,0.999982598050899,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0010,RO-0010,7,7,1,0.99998251540016,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0011,RO-0011,7,7,1,0.99998158786647,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0012,RO-0012,7,7,1,0.999981018637488,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0013,RO-0013,7,7,1,0.999980525057292,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0014,RO-0014,7,7,1,0.999981164458949,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0015,RO-0015,7,7,1,0.999981297373092,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0016,RO-0016,7,7,1,0.999981418593763,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0017,RO-0017,7,7,1,0.999980358622371,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0018,RO-0018,7,7,1,0.999980897981556,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0019,RO-0019,7,7,1,0.999982531493211,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0020,RO-0020,7,7,1,0.999982078871375,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0021,RO-0021,7,7,1,0.999980915425591,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0022,RO-0022,7,7,1,0.999981209516976,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0023,RO-0023,7,7,1,0.999981071609943,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0024,RO-0024,7,7,1,0.999981542785954,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0025,RO-0025,7,7,1,0.99998075821909,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0026,RO-0026,7,7,1,0.999981382659631,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0027,RO-0027,7,7,1,0.999981289923751,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0028,RO-0028,7,7,1,0.999981690006326,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0029,RO-0029,7,7,1,0.999981766611538,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0030,RO-0030,7,7,1,0.999980825747382,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0031,RO-0031,7,7,1,0.999981150213858,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0032,RO-0032,7,7,1,0.999980873850877,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0033,RO-0033,7,7,1,0.999980091145853,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0034,RO-0034,7,7,1,0.999981169913264,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0035,RO-0035,7,7,1,0.999980450378965,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0036,RO-0036,7,7,1,0.999980873682131,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0037,RO-0037,7,7,1,0.999981646627572,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0038,RO-0038,7,7,1,0.999981120714827,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0039,RO-0039,7,7,1,0.999982113424415,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0040,RO-0040,7,7,1,0.999982019784733,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0041,RO-0041,7,7,1,0.999982262097585,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0042,RO-0042,7,7,1,0.999983019082713,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0043,RO-0043,7,7,1,0.999981861309716,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0044,RO-0044,7,7,1,0.999981476436155,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0045,RO-0045,7,7,1,0.999980894117661,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0046,RO-0046,7,7,1,0.99998015745403,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0047,RO-0047,7,7,1,0.999982470277991,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0048,RO-0048,7,7,1,0.99998173763873,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0049,RO-0049,7,7,1,0.999982690845734,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0050,RO-0050,7,7,1,0.999980906804255,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0051,RO-0051,7,7,1,0.999981329052389,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0052,RO-0052,7,7,1,0.999980150344551,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0053,RO-0053,7,7,1,0.99998074959272,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0054,RO-0054,7,7,1,0.999981381199102,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0055,RO-0055,7,7,1,0.999982505087499,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0056,RO-0056,7,7,1,0.999980983466475,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0057,RO-0057,7,7,1,0.999981743127109,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0058,RO-0058,7,7,1,0.999980356735057,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0059,RO-0059,7,7,1,0.999981233900153,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0060,RO-0060,7,7,1,0.999981264367676,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0061,RO-0061,7,7,1,0.999981358964727,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0062,RO-0062,7,7,1,0.999980884908259,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0063,RO-0063,7,7,1,0.999981012411615,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0064,RO-0064,7,7,1,0.999980989246474,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0065,RO-0065,7,7,1,0.999981420899689,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0066,RO-0066,7,7,1,0.999981929802789,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0067,RO-0067,7,7,1,0.999980975741358,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0068,RO-0068,7,7,1,0.999981685573752,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0069,RO-0069,7,7,1,0.999982461458716,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0070,RO-0070,7,7,1,0.99998042947455,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0071,RO-0071,7,7,1,0.999981991296744,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0072,RO-0072,7,7,1,0.999982248090419,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0073,RO-0073,7,7,1,0.999981789871853,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0074,RO-0074,7,7,1,0.999980829321351,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0075,RO-0075,7,7,1,0.999981651364415,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0076,RO-0076,7,7,1,0.999981786126013,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0077,RO-0077,7,7,1,0.999980919743553,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0078,RO-0078,7,7,1,0.99998178100044,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0079,RO-0079,7,7,1,0.99998155543893,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0080,RO-0080,7,7,1,0.999981378989578,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0081,RO-0081,7,7,1,0.999981096538964,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0082,RO-0082,7,7,1,0.999982364278563,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0083,RO-0083,7,7,1,0.999981875999183,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0084,RO-0084,7,7,1,0.999980409695966,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0085,RO-0085,7,7,1,0.999982366889961,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0086,RO-0086,7,7,1,0.99998190435454,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0087,RO-0087,7,7,1,0.999982276383061,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0088,RO-0088,7,7,1,0.999981319823546,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0089,RO-0089,7,7,1,0.999981500478944,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0090,RO-0090,7,7,1,0.999981699167852,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0091,RO-0091,7,7,1,0.999982590252735,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0092,RO-0092,7,7,1,0.999981402526051,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0093,RO-0093,7,7,1,0.999980798217837,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0094,RO-0094,7,7,1,0.999981547291126,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0095,RO-0095,7,7,1,0.999981051563508,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0096,RO-0096,7,7,1,0.999980939561187,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0097,RO-0097,7,7,1,0.999981081439007,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0098,RO-0098,7,7,1,0.999981894978834,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0099,RO-0099,7,7,1,0.999981714114231,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
PRACH-DETECT-0100,RO-0100,7,7,1,0.999982261580112,0.02,0.0286054827174667,0.0286054827174667,0,0,0,0,PASS
