CaseID,HalfFrame,SSBIndex0,CandidateSymbol0,AbsoluteFrame,AbsoluteSlot,AbsoluteSymbol0,Active,BeamID,PrecodingSHA256,Power_dBm,MIBSHA256,Status
SSBCASE-001,0,0,2,0,0,2,1,identity,7c1783168d6025f5a2895987dee17e50ce9a54ae7345a4eb17e8bbab7205b21d,0,1bc31b3ba5e5939b69d88e4722b0496b233e4f61ec681405893c018a89149850,PASS
SSBCASE-001,0,1,8,0,0,8,1,identity,7c1783168d6025f5a2895987dee17e50ce9a54ae7345a4eb17e8bbab7205b21d,0,1bc31b3ba5e5939b69d88e4722b0496b233e4f61ec681405893c018a89149850,PASS
SSBCASE-001,0,2,16,0,1,16,1,identity,7c1783168d6025f5a2895987dee17e50ce9a54ae7345a4eb17e8bbab7205b21d,0,1bc31b3ba5e5939b69d88e4722b0496b233e4f61ec681405893c018a89149850,PASS
SSBCASE-001,0,3,22,0,1,22,1,identity,7c1783168d6025f5a2895987dee17e50ce9a54ae7345a4eb17e8bbab7205b21d,0,1bc31b3ba5e5939b69d88e4722b0496b233e4f61ec681405893c018a89149850,PASS
SSBCASE-002,0,0,2,0,0,2,1,identity,7c1783168d6025f5a2895987dee17e50ce9a54ae7345a4eb17e8bbab7205b21d,0,1bc31b3ba5e5939b69d88e4722b0496b233e4f61ec681405893c018a89149850,PASS
SSBCASE-002,0,1,8,0,0,8,0,identity,7c1783168d6025f5a2895987dee17e50ce9a54ae7345a4eb17e8bbab7205b21d,0,1bc31b3ba5e5939b69d88e4722b0496b233e4f61ec681405893c018a89149850,PASS
SSBCASE-002,0,2,16,0,1,16,1,identity,7c1783168d6025f5a2895987dee17e50ce9a54ae7345a4eb17e8bbab7205b21d,0,1bc31b3ba5e5939b69d88e4722b0496b233e4f61ec681405893c018a89149850,PASS
SSBCASE-002,0,3,22,0,1,22,0,identity,7c1783168d6025f5a2895987dee17e50ce9a54ae7345a4eb17e8bbab7205b21d,0,1bc31b3ba5e5939b69d88e4722b0496b233e4f61ec681405893c018a89149850,PASS
SSBCASE-003,0,0,2,0,0,2,1,identity,7c1783168d6025f5a2895987dee17e50ce9a54ae7345a4eb17e8bbab7205b21d,0,1bc31b3ba5e5939b69d88e4722b0496b233e4f61ec681405893c018a89149850,PASS
SSBCASE-003,0,1,8,0,0,8,1,identity,7c1783168d6025f5a2895987dee17e50ce9a54ae7345a4eb17e8bbab7205b21d,0,1bc31b3ba5e5939b69d88e4722b0496b233e4f61ec681405893c018a89149850,PASS
SSBCASE-003,0,2,16,0,1,16,1,identity,7c1783168d6025f5a2895987dee17e50ce9a54ae7345a4eb17e8bbab7205b21d,0,1bc31b3ba5e5939b69d88e4722b0496b233e4f61ec681405893c018a89149850,PASS
SSBCASE-003,0,3,22,0,1,22,1,identity,7c1783168d6025f5a2895987dee17e50ce9a54ae7345a4eb17e8bbab7205b21d,0,1bc31b3ba5e5939b69d88e4722b0496b233e4f61ec681405893c018a89149850,PASS
SSBCASE-004,0,0,2,0,0,2,1,identity,7c1783168d6025f5a2895987dee17e50ce9a54ae7345a4eb17e8bbab7205b21d,0,1bc31b3ba5e5939b69d88e4722b0496b233e4f61ec681405893c018a89149850,PASS
SSBCASE-004,0,1,8,0,0,8,0,identity,7c1783168d6025f5a2895987dee17e50ce9a54ae7345a4eb17e8bbab7205b21d,0,1bc31b3ba5e5939b69d88e4722b0496b233e4f61ec681405893c018a89149850,PASS
SSBCASE-004,0,2,16,0,1,16,1,identity,7c1783168d6025f5a2895987dee17e50ce9a54ae7345a4eb17e8bbab7205b21d,0,1bc31b3ba5e5939b69d88e4722b0496b233e4f61ec681405893c018a89149850,PASS
SSBCASE-004,0,3,22,0,1,22,0,identity,7c1783168d6025f5a2895987dee17e50ce9a54ae7345a4eb17e8bbab7205b21d,0,1bc31b3ba5e5939b69d88e4722b0496b233e4f61ec681405893c018a89149850,PASS
SSBCASE-005,0,0,2,0,0,2,1,identity,7c1783168d6025f5a2895987dee17e50ce9a54ae7345a4eb17e8bbab7205b21d,0,1bc31b3ba5e5939b69d88e4722b0496b233e4f61ec681405893c018a89149850,PASS
SSBCASE-005,0,1,8,0,0,8,1,identity,7c1783168d6025f5a2895987dee17e50ce9a54ae7345a4eb17e8bbab7205b21d,0,1bc31b3ba5e5939b69d88e4722b0496b233e4f61ec681405893c018a89149850,PASS
SSBCASE-005,0,2,16,0,1,16,1,identity,7c1783168d6025f5a2895987dee17e50ce9a54ae7345a4eb17e8bbab7205b21d,0,1bc31b3ba5e5939b69d88e4722b0496b233e4f61ec681405893c018a89149850,PASS
SSBCASE-005,0,3,22,0,1,22,1,identity,7c1783168d6025f5a2895987dee17e50ce9a54ae7345a4eb17e8bbab7205b21d,0,1bc31b3ba5e5939b69d88e4722b0496b233e4f61ec681405893c018a89149850,PASS
SSBCASE-006,0,0,2,0,0,2,1,identity,7c1783168d6025f5a2895987dee17e50ce9a54ae7345a4eb17e8bbab7205b21d,0,1bc31b3ba5e5939b69d88e4722b0496b233e4f61ec681405893c018a89149850,PASS
SSBCASE-006,0,1,8,0,0,8,0,identity,7c1783168d6025f5a2895987dee17e50ce9a54ae7345a4eb17e8bbab7205b21d,0,1bc31b3ba5e5939b69d88e4722b0496b233e4f61ec681405893c018a89149850,PASS
SSBCASE-006,0,2,16,0,1,16,1,identity,7c1783168d6025f5a2895987dee17e50ce9a54ae7345a4eb17e8bbab7205b21d,0,1bc31b3ba5e5939b69d88e4722b0496b233e4f61ec681405893c018a89149850,PASS
SSBCASE-006,0,3,22,0,1,22,0,identity,7c1783168d6025f5a2895987dee17e50ce9a54ae7345a4eb17e8bbab7205b21d,0,1bc31b3ba5e5939b69d88e4722b0496b233e4f61ec681405893c018a89149850,PASS
SSBCASE-007,0,0,2,0,0,2,1,identity,7c1783168d6025f5a2895987dee17e50ce9a54ae7345a4eb17e8bbab7205b21d,0,1bc31b3ba5e5939b69d88e4722b0496b233e4f61ec681405893c018a89149850,PASS
SSBCASE-007,0,1,8,0,0,8,1,identity,7c1783168d6025f5a2895987dee17e50ce9a54ae7345a4eb17e8bbab7205b21d,0,1bc31b3ba5e5939b69d88e4722b0496b233e4f61ec681405893c018a89149850,PASS
SSBCASE-007,0,2,16,0,1,16,1,identity,7c1783168d6025f5a2895987dee17e50ce9a54ae7345a4eb17e8bbab7205b21d,0,1bc31b3ba5e5939b69d88e4722b0496b233e4f61ec681405893c018a89149850,PASS
