CaseID,MIBPDCCHConfigSIB1,CORESET0Index,SearchSpace0Index,MultiplexingPattern,NumRB,NumSymbols,RBOffset,PDCCHSCS_kHz,SSBSCS_kHz,TableRowID,IndependentMismatchCount,Reserved,Status
T000001,0,0,0,1,12,2,0,15,15,13-0:0,0,0,PASS
T000002,16,1,0,1,12,3,0,15,15,13-0:1,0,0,PASS
T000003,32,2,0,1,24,2,0,15,15,13-0:2,0,0,PASS
T000004,48,3,0,1,24,2,2,15,15,13-0:3,0,0,PASS
T000005,64,4,0,1,24,3,0,15,15,13-0:4,0,0,PASS
T000006,80,5,0,1,24,3,2,15,15,13-0:5,0,0,PASS
T000007,96,6,0,1,24,2,0,15,15,13-0:6,0,0,PASS
T000008,112,7,0,1,24,2,2,15,15,13-0:7,0,0,PASS
T000009,128,8,0,1,24,3,0,15,15,13-0:8,0,0,PASS
T000010,144,9,0,1,24,3,2,15,15,13-0:9,0,0,PASS
T000011,160,10,0,1,24,2,0,15,15,13-0:10,0,0,PASS
T000012,176,11,0,1,24,3,0,15,15,13-0:11,0,0,PASS
T000017,0,0,0,1,24,2,0,15,15,13-1:0,0,0,PASS
T000018,16,1,0,1,24,2,2,15,15,13-1:1,0,0,PASS
T000019,32,2,0,1,24,2,4,15,15,13-1:2,0,0,PASS
T000020,48,3,0,1,24,3,0,15,15,13-1:3,0,0,PASS
T000021,64,4,0,1,24,3,2,15,15,13-1:4,0,0,PASS
T000022,80,5,0,1,24,3,4,15,15,13-1:5,0,0,PASS
T000023,96,6,0,1,48,1,12,15,15,13-1:6,0,0,PASS
T000024,112,7,0,1,48,1,16,15,15,13-1:7,0,0,PASS
T000025,128,8,0,1,48,2,12,15,15,13-1:8,0,0,PASS
T000026,144,9,0,1,48,2,16,15,15,13-1:9,0,0,PASS
T000027,160,10,0,1,48,3,12,15,15,13-1:10,0,0,PASS
T000028,176,11,0,1,48,3,16,15,15,13-1:11,0,0,PASS
T000029,192,12,0,1,96,1,38,15,15,13-1:12,0,0,PASS
T000030,208,13,0,1,96,2,38,15,15,13-1:13,0,0,PASS
T000031,224,14,0,1,96,3,38,15,15,13-1:14,0,0,PASS
T000033,0,0,0,1,96,1,10,15,15,13-1A:0,0,0,PASS
T000034,16,1,0,1,96,1,12,15,15,13-1A:1,0,0,PASS
T000035,32,2,0,1,96,1,14,15,15,13-1A:2,0,0,PASS
T000036,48,3,0,1,96,1,16,15,15,13-1A:3,0,0,PASS
T000037,64,4,0,1,96,2,10,15,15,13-1A:4,0,0,PASS
T000038,80,5,0,1,96,2,12,15,15,13-1A:5,0,0,PASS
T000039,96,6,0,1,96,2,14,15,15,13-1A:6,0,0,PASS
T000040,112,7,0,1,96,2,16,15,15,13-1A:7,0,0,PASS
T000049,0,0,0,1,24,2,5,30,15,13-2:0,0,0,PASS
T000050,16,1,0,1,24,2,6,30,15,13-2:1,0,0,PASS
T000051,32,2,0,1,24,2,7,30,15,13-2:2,0,0,PASS
T000052,48,3,0,1,24,2,8,30,15,13-2:3,0,0,PASS
T000053,64,4,0,1,24,3,5,30,15,13-2:4,0,0,PASS
T000054,80,5,0,1,24,3,6,30,15,13-2:5,0,0,PASS
T000055,96,6,0,1,24,3,7,30,15,13-2:6,0,0,PASS
T000056,112,7,0,1,24,3,8,30,15,13-2:7,0,0,PASS
T000057,128,8,0,1,48,1,18,30,15,13-2:8,0,0,PASS
T000058,144,9,0,1,48,1,20,30,15,13-2:9,0,0,PASS
T000059,160,10,0,1,48,2,18,30,15,13-2:10,0,0,PASS
T000060,176,11,0,1,48,2,20,30,15,13-2:11,0,0,PASS
T000061,192,12,0,1,48,3,18,30,15,13-2:12,0,0,PASS
T000062,208,13,0,1,48,3,20,30,15,13-2:13,0,0,PASS
T000065,0,0,0,1,48,1,2,15,30,13-3:0,0,0,PASS
