TrialID,SSBIndex0,BeamID,RSRP_dBm,SINR_dB,MeasurementAge_slots,Selected,Blocked,ReferenceSignalID,MeasurementSHA256,Status
SSB-BEAM-001,0,identity,-48.5338143401918,156.535597745705,0,1,0,ca72cc5fa2da95ea534c756bbb7de6989a88fa2f99df1ad4d90a314e258ca030,90e6c20471f48491416dc2adc63b617f290b5e02b4f2095ce9284f4274f62db3,PASS
SSB-BEAM-002,1,identity,-48.5338143401918,156.535597745705,1,0,0,ca72cc5fa2da95ea534c756bbb7de6989a88fa2f99df1ad4d90a314e258ca030,0c5074c68fca162cb74457502d8897659331cd41cc76a832028131094b144ab4,PASS
SSB-BEAM-003,2,identity,-48.5338143401918,156.535597745705,2,0,0,ca72cc5fa2da95ea534c756bbb7de6989a88fa2f99df1ad4d90a314e258ca030,5a5681b25a75e9c64375c95fac05396e4ff0ac7a192ec82d27ec50836cf0afde,PASS
SSB-BEAM-004,3,identity,-48.5338143401918,156.535597745705,3,0,0,ca72cc5fa2da95ea534c756bbb7de6989a88fa2f99df1ad4d90a314e258ca030,132c29d86a2f33c99229306b53e6b21f52af62539d9aaf9402ec5b293fce8f7a,PASS
SSB-BEAM-005,0,identity,-48.5338143401918,156.535597745705,4,1,0,ca72cc5fa2da95ea534c756bbb7de6989a88fa2f99df1ad4d90a314e258ca030,90e6c20471f48491416dc2adc63b617f290b5e02b4f2095ce9284f4274f62db3,PASS
SSB-BEAM-006,1,identity,-48.5338143401918,156.535597745705,5,0,0,ca72cc5fa2da95ea534c756bbb7de6989a88fa2f99df1ad4d90a314e258ca030,0c5074c68fca162cb74457502d8897659331cd41cc76a832028131094b144ab4,PASS
SSB-BEAM-007,2,identity,-48.5338143401918,156.535597745705,6,0,0,ca72cc5fa2da95ea534c756bbb7de6989a88fa2f99df1ad4d90a314e258ca030,5a5681b25a75e9c64375c95fac05396e4ff0ac7a192ec82d27ec50836cf0afde,PASS
SSB-BEAM-008,3,identity,-48.5338143401918,156.535597745705,7,0,0,ca72cc5fa2da95ea534c756bbb7de6989a88fa2f99df1ad4d90a314e258ca030,132c29d86a2f33c99229306b53e6b21f52af62539d9aaf9402ec5b293fce8f7a,PASS
SSB-BEAM-009,0,identity,-48.5338143401918,156.535597745705,8,1,0,ca72cc5fa2da95ea534c756bbb7de6989a88fa2f99df1ad4d90a314e258ca030,90e6c20471f48491416dc2adc63b617f290b5e02b4f2095ce9284f4274f62db3,PASS
SSB-BEAM-010,1,identity,-48.5338143401918,156.535597745705,9,0,0,ca72cc5fa2da95ea534c756bbb7de6989a88fa2f99df1ad4d90a314e258ca030,0c5074c68fca162cb74457502d8897659331cd41cc76a832028131094b144ab4,PASS
SSB-BEAM-011,2,identity,-48.5338143401918,156.535597745705,10,0,0,ca72cc5fa2da95ea534c756bbb7de6989a88fa2f99df1ad4d90a314e258ca030,5a5681b25a75e9c64375c95fac05396e4ff0ac7a192ec82d27ec50836cf0afde,PASS
SSB-BEAM-012,3,identity,-48.5338143401918,156.535597745705,11,0,0,ca72cc5fa2da95ea534c756bbb7de6989a88fa2f99df1ad4d90a314e258ca030,132c29d86a2f33c99229306b53e6b21f52af62539d9aaf9402ec5b293fce8f7a,PASS
SSB-BEAM-013,4,identity,-48.5338143401918,156.535597745705,12,0,0,ca72cc5fa2da95ea534c756bbb7de6989a88fa2f99df1ad4d90a314e258ca030,2493f0b69bd527487d9615feaffb8c06c03e47cbc87b7d40d23f5f66dfb8250c,PASS
SSB-BEAM-014,5,identity,-48.5338143401918,156.535597745705,13,0,0,ca72cc5fa2da95ea534c756bbb7de6989a88fa2f99df1ad4d90a314e258ca030,a7d9de03af19101a8cb79392e64ed27ab856ef96fba9ac2a4065eddcd6df212a,PASS
SSB-BEAM-015,6,identity,-48.5338143401918,156.535597745705,14,0,0,ca72cc5fa2da95ea534c756bbb7de6989a88fa2f99df1ad4d90a314e258ca030,6e44a0651b42bd3f7f4eb3c4afa957ed0c1a196afdc0c00f12598d042caf7be0,PASS
SSB-BEAM-016,7,identity,-48.5338143401918,156.535597745705,15,0,0,ca72cc5fa2da95ea534c756bbb7de6989a88fa2f99df1ad4d90a314e258ca030,0ae8563c33b190237fd637a59e0ed9b4b1649fa710327e15aaa1e25742bc059b,PASS
SSB-BEAM-017,0,identity,-48.5338143401918,156.535597745705,16,1,0,ca72cc5fa2da95ea534c756bbb7de6989a88fa2f99df1ad4d90a314e258ca030,90e6c20471f48491416dc2adc63b617f290b5e02b4f2095ce9284f4274f62db3,PASS
SSB-BEAM-018,1,identity,-48.5338143401918,156.535597745705,17,0,0,ca72cc5fa2da95ea534c756bbb7de6989a88fa2f99df1ad4d90a314e258ca030,0c5074c68fca162cb74457502d8897659331cd41cc76a832028131094b144ab4,PASS
SSB-BEAM-019,2,identity,-48.5338143401918,156.535597745705,18,0,0,ca72cc5fa2da95ea534c756bbb7de6989a88fa2f99df1ad4d90a314e258ca030,5a5681b25a75e9c64375c95fac05396e4ff0ac7a192ec82d27ec50836cf0afde,PASS
SSB-BEAM-020,3,identity,-48.5338143401918,156.535597745705,19,0,0,ca72cc5fa2da95ea534c756bbb7de6989a88fa2f99df1ad4d90a314e258ca030,132c29d86a2f33c99229306b53e6b21f52af62539d9aaf9402ec5b293fce8f7a,PASS
