TrialID,MonitoringOccasionID,SFN,Slot,FirstSymbol,CORESET0Index,SearchSpace0Index,AggregationLevel,CandidateIndex,FirstCCE,RNTI,DCIFormat,PayloadBits,CRCResult,Selected,Status
T000001,type0_sfn0_slot0_sym0,0,0,0,0,0,4,0,0,65535,1_0,44,1,1,PASS
T000002,type0_sfn0_slot0_sym0,0,0,0,1,0,4,0,0,65535,1_0,44,1,1,PASS
T000003,type0_sfn0_slot0_sym0,0,0,0,2,0,4,0,0,65535,1_0,44,1,1,PASS
T000003,type0_sfn0_slot0_sym0,0,0,0,2,0,4,1,4,65535,1_0,44,1,0,PASS
T000004,type0_sfn0_slot0_sym0,0,0,0,3,0,4,0,0,65535,1_0,44,1,1,PASS
T000004,type0_sfn0_slot0_sym0,0,0,0,3,0,4,1,4,65535,1_0,44,1,0,PASS
T000005,type0_sfn0_slot0_sym0,0,0,0,4,0,4,0,0,65535,1_0,44,1,1,PASS
T000005,type0_sfn0_slot0_sym0,0,0,0,4,0,4,1,4,65535,1_0,44,1,0,PASS
T000006,type0_sfn0_slot0_sym0,0,0,0,5,0,4,0,0,65535,1_0,44,1,1,PASS
T000006,type0_sfn0_slot0_sym0,0,0,0,5,0,4,1,4,65535,1_0,44,1,0,PASS
T000007,type0_sfn0_slot0_sym0,0,0,0,6,0,4,0,0,65535,1_0,44,1,1,PASS
T000007,type0_sfn0_slot0_sym0,0,0,0,6,0,4,1,4,65535,1_0,44,1,0,PASS
T000008,type0_sfn0_slot0_sym0,0,0,0,7,0,4,0,0,65535,1_0,44,1,1,PASS
T000008,type0_sfn0_slot0_sym0,0,0,0,7,0,4,1,4,65535,1_0,44,1,0,PASS
T000009,type0_sfn0_slot0_sym0,0,0,0,8,0,4,0,0,65535,1_0,44,1,1,PASS
T000009,type0_sfn0_slot0_sym0,0,0,0,8,0,4,1,4,65535,1_0,44,1,0,PASS
T000010,type0_sfn0_slot0_sym0,0,0,0,9,0,4,0,0,65535,1_0,44,1,1,PASS
T000010,type0_sfn0_slot0_sym0,0,0,0,9,0,4,1,4,65535,1_0,44,1,0,PASS
T000011,type0_sfn0_slot0_sym0,0,0,0,10,0,4,0,0,65535,1_0,44,1,1,PASS
T000011,type0_sfn0_slot0_sym0,0,0,0,10,0,4,1,4,65535,1_0,44,1,0,PASS
T000012,type0_sfn0_slot0_sym0,0,0,0,11,0,4,0,0,65535,1_0,44,1,1,PASS
T000012,type0_sfn0_slot0_sym0,0,0,0,11,0,4,1,4,65535,1_0,44,1,0,PASS
T000017,type0_sfn0_slot0_sym0,0,0,0,0,0,4,0,0,65535,1_0,44,1,1,PASS
T000017,type0_sfn0_slot0_sym0,0,0,0,0,0,4,1,4,65535,1_0,44,1,0,PASS
T000018,type0_sfn0_slot0_sym0,0,0,0,1,0,4,0,0,65535,1_0,44,1,1,PASS
T000018,type0_sfn0_slot0_sym0,0,0,0,1,0,4,1,4,65535,1_0,44,1,0,PASS
T000019,type0_sfn0_slot0_sym0,0,0,0,2,0,4,0,0,65535,1_0,44,1,1,PASS
T000019,type0_sfn0_slot0_sym0,0,0,0,2,0,4,1,4,65535,1_0,44,1,0,PASS
