TrialID,Symbol0,PRB0,SubcarrierInPRB0,Owner,DMRSPort,RateMatchReason,Collision,IndexSHA256,Status
SIB1-WAVEFORM-001,0,3,0,PDCCH_DATA,0,decoded_si_rnti_assignment_resource_plan,0,4c7acc8a2e3bdf474359eb7100dd897fc4286cf4eea79f8f0801e3727527cdea,PASS
SIB1-WAVEFORM-001,0,3,2,PDCCH_DATA,0,decoded_si_rnti_assignment_resource_plan,0,dd6e5409747edbcae0e4f078ec76bd076877267a56d16cd9d4464ea08f632070,PASS
SIB1-WAVEFORM-001,0,3,3,PDCCH_DATA,0,decoded_si_rnti_assignment_resource_plan,0,2de90e3207e75c02c874de8e763e38fe180ca725c798f75d813581d4cad349f6,PASS
SIB1-WAVEFORM-001,0,3,4,PDCCH_DATA,0,decoded_si_rnti_assignment_resource_plan,0,1e2082b0c19c70b84fc3c917dce92aa27c23f08aa5ac7de90f3f0f31ac11a28c,PASS
SIB1-WAVEFORM-001,0,3,6,PDCCH_DATA,0,decoded_si_rnti_assignment_resource_plan,0,c945c76c5097962bbf56586e56b5a591306a2c71ae9967849efbaa84678731a5,PASS
SIB1-WAVEFORM-001,0,3,7,PDCCH_DATA,0,decoded_si_rnti_assignment_resource_plan,0,2478f16e5aafc08f1455d4a796a422274c4a7dac9b56540d9e3b07ee3e018aa6,PASS
SIB1-WAVEFORM-001,0,3,8,PDCCH_DATA,0,decoded_si_rnti_assignment_resource_plan,0,f08c2b611df258ee1b2fa17a21fd30790d759e219de30205141e7438f2793427,PASS
SIB1-WAVEFORM-001,0,3,10,PDCCH_DATA,0,decoded_si_rnti_assignment_resource_plan,0,8cd2d9a2df5b19f174eb9f91e5b1a95b0fac7ae81977eb0e5245c15601d88d33,PASS
SIB1-WAVEFORM-001,0,3,11,PDCCH_DATA,0,decoded_si_rnti_assignment_resource_plan,0,6fe57c6a97f09fa2faad1ef25fb269efd08bf6fa5a687c66b3fffea9fd38ccd0,PASS
SIB1-WAVEFORM-001,0,4,0,PDCCH_DATA,0,decoded_si_rnti_assignment_resource_plan,0,c1a1c37bddde0c7e2c57709ab9fa10385db2e0bde779b4fdcfc87d558c5a8920,PASS
SIB1-WAVEFORM-001,0,4,2,PDCCH_DATA,0,decoded_si_rnti_assignment_resource_plan,0,2e4a6cffb9950aaf42677fbb7ccc0c2302334a48e2efd2707176ac5ca73049d8,PASS
SIB1-WAVEFORM-001,0,4,3,PDCCH_DATA,0,decoded_si_rnti_assignment_resource_plan,0,2eff55a5a30db0dc77c1956cb1c14c70ee123824fe14de406c0085dabda7aa4e,PASS
SIB1-WAVEFORM-001,0,4,4,PDCCH_DATA,0,decoded_si_rnti_assignment_resource_plan,0,805020c9c720f4012e448a745d4c0562ab7cbad8ef461dde2cfd5aa2f54d46ae,PASS
SIB1-WAVEFORM-001,0,4,6,PDCCH_DATA,0,decoded_si_rnti_assignment_resource_plan,0,d4f5100d3e651bbd727c1a5ade0b260f5b6c97316338fa28db35805c682cf32a,PASS
SIB1-WAVEFORM-001,0,4,7,PDCCH_DATA,0,decoded_si_rnti_assignment_resource_plan,0,c6fbc4f816a61dc2181cb53cf6d21ee1ebc04ae5ede1391092c538e51e516946,PASS
SIB1-WAVEFORM-001,0,4,8,PDCCH_DATA,0,decoded_si_rnti_assignment_resource_plan,0,017720402024b2faf21c5c2d6fb19b9d883f23aeab53146df7eae60ddea4f424,PASS
SIB1-WAVEFORM-001,0,4,10,PDCCH_DATA,0,decoded_si_rnti_assignment_resource_plan,0,9b7bfeff3f138972e9a4fa3601ea393685e875f54af483fe11c7c39a2ab7ebf0,PASS
SIB1-WAVEFORM-001,0,4,11,PDCCH_DATA,0,decoded_si_rnti_assignment_resource_plan,0,b72c9a4232ab50cd95b144d8b2b02e78ea0f1f50ba783de946dcd5828173c95c,PASS
SIB1-WAVEFORM-001,0,5,0,PDCCH_DATA,0,decoded_si_rnti_assignment_resource_plan,0,40dbad502ea9c4757efdbcbb0aba4375373c9c8f2eead824ca3071158be92da8,PASS
SIB1-WAVEFORM-001,0,5,2,PDCCH_DATA,0,decoded_si_rnti_assignment_resource_plan,0,40f6b1bab6e0fc6e8c6d184b4977a1d674bce6dc33a4423a2507e3b49fe66b81,PASS
SIB1-WAVEFORM-001,0,5,3,PDCCH_DATA,0,decoded_si_rnti_assignment_resource_plan,0,24e0264085ba9f7bb193c181ff8cdb71e1fd1990c9416bd6fccfe00e0fd4e03d,PASS
SIB1-WAVEFORM-001,0,5,4,PDCCH_DATA,0,decoded_si_rnti_assignment_resource_plan,0,feea004911588f4ecc68a3fc6379b493856ee373bcd020a403ba883a440af1ea,PASS
SIB1-WAVEFORM-001,0,5,6,PDCCH_DATA,0,decoded_si_rnti_assignment_resource_plan,0,a7fa0a692430e4a041b3ce19ec53af578d896cdf6a78c5d7bccc3419c49e0f20,PASS
SIB1-WAVEFORM-001,0,5,7,PDCCH_DATA,0,decoded_si_rnti_assignment_resource_plan,0,36b7c1e626f903e9a740727531e6fc895051b0a0dc37d228ce06eb6efbc2d137,PASS
SIB1-WAVEFORM-001,0,5,8,PDCCH_DATA,0,decoded_si_rnti_assignment_resource_plan,0,b787f9b6610869a267f340841ebaf0d0f571acc34d108c2922a397ad1fbbe475,PASS
SIB1-WAVEFORM-001,0,5,10,PDCCH_DATA,0,decoded_si_rnti_assignment_resource_plan,0,271b04f632902c615e216d3dc406ebc98e3c63a5a40c9007b2cf6bf1074bf527,PASS
SIB1-WAVEFORM-001,0,5,11,PDCCH_DATA,0,decoded_si_rnti_assignment_resource_plan,0,ad75bb2a827e7d01b93c8c3c4c09f8ba710d74f8c74a3e69a0971f5cf2dca495,PASS
SIB1-WAVEFORM-001,0,6,0,PDCCH_DATA,0,decoded_si_rnti_assignment_resource_plan,0,c338b9d6d97a2d2b485d141428fdc4df3c2f92596555c3abbd429e43d64c5b4c,PASS
SIB1-WAVEFORM-001,0,6,2,PDCCH_DATA,0,decoded_si_rnti_assignment_resource_plan,0,02913512e29e7e73ee705b33ba8e86d8744de926481d46c030f59513ed6cc509,PASS
SIB1-WAVEFORM-001,0,6,3,PDCCH_DATA,0,decoded_si_rnti_assignment_resource_plan,0,d9f343b67a731ea2a6aaec9d39ca6b747a8edfc2a35d63826d0bd7d0ec59625c,PASS
