AttemptID,HARQProcess,HARQRound,NDI,RV,TBIdentitySHA256,RRCSetupRequestSHA256,CRC,SoftBufferSHA256,Combined,CompletionSlot,Status
MSG3-HARQ-001,0,0,1,0,ce2921274ac2592df6b324bf39b0ccd3152f3d3da3114a96d2b18f6d03b1c13b,d5e6d4f41a57cdf7359e760af51a5783b07715c24f03e66819446d934f76cd96,1,3be33ca9c491317e3eee57ab8d2c04e43599324cb85955c525045ac9e6437637,0,2,PASS
MSG3-HARQ-001,0,1,1,0,ce2921274ac2592df6b324bf39b0ccd3152f3d3da3114a96d2b18f6d03b1c13b,d5e6d4f41a57cdf7359e760af51a5783b07715c24f03e66819446d934f76cd96,1,bdf713b86ecd8f5a2546ae49922d641c9ed031d3540c0393e6ebf4cead116034,1,3,PASS
MSG3-HARQ-001,0,2,1,0,ce2921274ac2592df6b324bf39b0ccd3152f3d3da3114a96d2b18f6d03b1c13b,d5e6d4f41a57cdf7359e760af51a5783b07715c24f03e66819446d934f76cd96,1,b16945d630c99ffcbbf780af2916fbe08f55bc1c18c104bd568ba7a91658e5fb,1,4,PASS
MSG3-HARQ-001,0,3,1,0,ce2921274ac2592df6b324bf39b0ccd3152f3d3da3114a96d2b18f6d03b1c13b,d5e6d4f41a57cdf7359e760af51a5783b07715c24f03e66819446d934f76cd96,1,81fd15fc5a807e11e87d89e3ccd9615184a1beef9d12cdcea7dfabfb55ff07af,1,5,PASS
MSG3-HARQ-001,0,4,1,0,ce2921274ac2592df6b324bf39b0ccd3152f3d3da3114a96d2b18f6d03b1c13b,d5e6d4f41a57cdf7359e760af51a5783b07715c24f03e66819446d934f76cd96,1,4c221abbf97d351cb21db99ebd9f1be1a989c4797d764772e31d7ce8ea746105,1,6,PASS
MSG3-HARQ-001,0,5,1,0,ce2921274ac2592df6b324bf39b0ccd3152f3d3da3114a96d2b18f6d03b1c13b,d5e6d4f41a57cdf7359e760af51a5783b07715c24f03e66819446d934f76cd96,1,e5295f6a434b90646dad5e21ba27a13b29d491dc5dce632ca2e0071de7b8ccd5,1,7,PASS
MSG3-HARQ-001,0,6,1,0,ce2921274ac2592df6b324bf39b0ccd3152f3d3da3114a96d2b18f6d03b1c13b,d5e6d4f41a57cdf7359e760af51a5783b07715c24f03e66819446d934f76cd96,1,e44942e400216b7be2619db927074a9a2f061121517e56974b147ea57cde6470,1,8,PASS
MSG3-HARQ-001,0,7,1,0,ce2921274ac2592df6b324bf39b0ccd3152f3d3da3114a96d2b18f6d03b1c13b,d5e6d4f41a57cdf7359e760af51a5783b07715c24f03e66819446d934f76cd96,1,d5314ac99ff9d23a078b81c7ff8ee6be59bfa14e5b46dd0f4426f32ac8224c41,1,9,PASS
MSG3-HARQ-001,0,8,1,0,ce2921274ac2592df6b324bf39b0ccd3152f3d3da3114a96d2b18f6d03b1c13b,d5e6d4f41a57cdf7359e760af51a5783b07715c24f03e66819446d934f76cd96,1,3bd6b7cafeffdda41b9b27e8f8099cf126841a2bc60624a772260a440d55e12d,1,10,PASS
MSG3-HARQ-001,0,9,1,0,ce2921274ac2592df6b324bf39b0ccd3152f3d3da3114a96d2b18f6d03b1c13b,d5e6d4f41a57cdf7359e760af51a5783b07715c24f03e66819446d934f76cd96,1,6746c4901ea82896eba9cae90472c1e6d38f8e1b6f7a7b87f4fe97e8e0a46908,1,11,PASS
MSG3-HARQ-001,0,10,1,0,ce2921274ac2592df6b324bf39b0ccd3152f3d3da3114a96d2b18f6d03b1c13b,d5e6d4f41a57cdf7359e760af51a5783b07715c24f03e66819446d934f76cd96,1,5760e06de28808981c3793ef2945d665b8f7e8c99fd499ea44957232364f25e8,1,12,PASS
MSG3-HARQ-001,0,11,1,0,ce2921274ac2592df6b324bf39b0ccd3152f3d3da3114a96d2b18f6d03b1c13b,d5e6d4f41a57cdf7359e760af51a5783b07715c24f03e66819446d934f76cd96,1,9d913e94e9bb48a53370a8e2e362cad31341d0bad6a4227f044bc2e079e3d9b1,1,13,PASS
