CaseID,SSBIndex0,Symbol0,Subcarrier0,Owner,LogicalPort,SequenceIndex,ExpectedOwner,Mismatch,Status
SSBRE-v1,0,0,0,ZERO,0,0,ZERO,0,PASS
SSBRE-v1,0,0,1,ZERO,0,1,ZERO,0,PASS
SSBRE-v1,0,0,2,ZERO,0,2,ZERO,0,PASS
SSBRE-v1,0,0,3,ZERO,0,3,ZERO,0,PASS
SSBRE-v1,0,0,4,ZERO,0,4,ZERO,0,PASS
SSBRE-v1,0,0,5,ZERO,0,5,ZERO,0,PASS
SSBRE-v1,0,0,6,ZERO,0,6,ZERO,0,PASS
SSBRE-v1,0,0,7,ZERO,0,7,ZERO,0,PASS
SSBRE-v1,0,0,8,ZERO,0,8,ZERO,0,PASS
SSBRE-v1,0,0,9,ZERO,0,9,ZERO,0,PASS
SSBRE-v1,0,0,10,ZERO,0,10,ZERO,0,PASS
SSBRE-v1,0,0,11,ZERO,0,11,ZERO,0,PASS
SSBRE-v1,0,0,12,ZERO,0,12,ZERO,0,PASS
SSBRE-v1,0,0,13,ZERO,0,13,ZERO,0,PASS
SSBRE-v1,0,0,14,ZERO,0,14,ZERO,0,PASS
SSBRE-v1,0,0,15,ZERO,0,15,ZERO,0,PASS
SSBRE-v1,0,0,16,ZERO,0,16,ZERO,0,PASS
SSBRE-v1,0,0,17,ZERO,0,17,ZERO,0,PASS
SSBRE-v1,0,0,18,ZERO,0,18,ZERO,0,PASS
SSBRE-v1,0,0,19,ZERO,0,19,ZERO,0,PASS
SSBRE-v1,0,0,20,ZERO,0,20,ZERO,0,PASS
SSBRE-v1,0,0,21,ZERO,0,21,ZERO,0,PASS
SSBRE-v1,0,0,22,ZERO,0,22,ZERO,0,PASS
SSBRE-v1,0,0,23,ZERO,0,23,ZERO,0,PASS
SSBRE-v1,0,0,24,ZERO,0,24,ZERO,0,PASS
SSBRE-v1,0,0,25,ZERO,0,25,ZERO,0,PASS
SSBRE-v1,0,0,26,ZERO,0,26,ZERO,0,PASS
SSBRE-v1,0,0,27,ZERO,0,27,ZERO,0,PASS
SSBRE-v1,0,0,28,ZERO,0,28,ZERO,0,PASS
SSBRE-v1,0,0,29,ZERO,0,29,ZERO,0,PASS
SSBRE-v1,0,0,30,ZERO,0,30,ZERO,0,PASS
SSBRE-v1,0,0,31,ZERO,0,31,ZERO,0,PASS
SSBRE-v1,0,0,32,ZERO,0,32,ZERO,0,PASS
SSBRE-v1,0,0,33,ZERO,0,33,ZERO,0,PASS
SSBRE-v1,0,0,34,ZERO,0,34,ZERO,0,PASS
SSBRE-v1,0,0,35,ZERO,0,35,ZERO,0,PASS
SSBRE-v1,0,0,36,ZERO,0,36,ZERO,0,PASS
SSBRE-v1,0,0,37,ZERO,0,37,ZERO,0,PASS
SSBRE-v1,0,0,38,ZERO,0,38,ZERO,0,PASS
SSBRE-v1,0,0,39,ZERO,0,39,ZERO,0,PASS
SSBRE-v1,0,0,40,ZERO,0,40,ZERO,0,PASS
SSBRE-v1,0,0,41,ZERO,0,41,ZERO,0,PASS
SSBRE-v1,0,0,42,ZERO,0,42,ZERO,0,PASS
SSBRE-v1,0,0,43,ZERO,0,43,ZERO,0,PASS
SSBRE-v1,0,0,44,ZERO,0,44,ZERO,0,PASS
SSBRE-v1,0,0,45,ZERO,0,45,ZERO,0,PASS
SSBRE-v1,0,0,46,ZERO,0,46,ZERO,0,PASS
SSBRE-v1,0,0,47,ZERO,0,47,ZERO,0,PASS
SSBRE-v1,0,0,48,ZERO,0,48,ZERO,0,PASS
SSBRE-v1,0,0,49,ZERO,0,49,ZERO,0,PASS
SSBRE-v1,0,0,50,ZERO,0,50,ZERO,0,PASS
SSBRE-v1,0,0,51,ZERO,0,51,ZERO,0,PASS
SSBRE-v1,0,0,52,ZERO,0,52,ZERO,0,PASS
SSBRE-v1,0,0,53,ZERO,0,53,ZERO,0,PASS
SSBRE-v1,0,0,54,ZERO,0,54,ZERO,0,PASS
SSBRE-v1,0,0,55,ZERO,0,55,ZERO,0,PASS
SSBRE-v1,0,0,56,PSS,0,56,PSS,0,PASS
SSBRE-v1,0,0,57,PSS,0,57,PSS,0,PASS
SSBRE-v1,0,0,58,PSS,0,58,PSS,0,PASS
SSBRE-v1,0,0,59,PSS,0,59,PSS,0,PASS
SSBRE-v1,0,0,60,PSS,0,60,PSS,0,PASS
SSBRE-v1,0,0,61,PSS,0,61,PSS,0,PASS
SSBRE-v1,0,0,62,PSS,0,62,PSS,0,PASS
SSBRE-v1,0,0,63,PSS,0,63,PSS,0,PASS
SSBRE-v1,0,0,64,PSS,0,64,PSS,0,PASS
SSBRE-v1,0,0,65,PSS,0,65,PSS,0,PASS
SSBRE-v1,0,0,66,PSS,0,66,PSS,0,PASS
SSBRE-v1,0,0,67,PSS,0,67,PSS,0,PASS
