TrialID,BCCHMessageType,SIB1PayloadBits,UPERHexSHA256,ASN1SchemaSHA256,IndependentCodec,IndependentVersion,SemanticSHA256,DecodeError,UnsupportedIECount,Status
SIB1-ASN-001,systemInformationBlockType1,464,e2d7f163b47e8b8aefcc59f060cb22572a100d05471287d88620badebaa86fca,29e55635561822bf625d9170f050552d65047c334a3c0a8a47797c8df1985db5,asn1tools,0.167.0,2b965c21729419a9f07cf730060d2dbbbf2233178c6a9da8a1863764ad7fd2ad,,0,PASS
SIB1-ASN-002,systemInformationBlockType1,464,ec0a0fa84a4aaff29951e73c1b1046fc32f9912762bd09b8709ac5e8cfa6fd1a,29e55635561822bf625d9170f050552d65047c334a3c0a8a47797c8df1985db5,asn1tools,0.167.0,be4fc13cae12e8a5722846bac920c932ff34e554c8aa1941c5ffc960a7bcfa47,,0,PASS
SIB1-ASN-003,systemInformationBlockType1,464,0a5ce71688b3ccb14cf411d27fc84a41d581c634dbe6e289c37038f15b94c369,29e55635561822bf625d9170f050552d65047c334a3c0a8a47797c8df1985db5,asn1tools,0.167.0,79801b7d42477039a06d82c47a94ca9c52cb8183c595370ce207c93e2400124c,,0,PASS
SIB1-ASN-004,systemInformationBlockType1,464,606f1c2249cf3260e9f41bbe30cbc1a2270d949cd7bad1dbfc98da8690ffeeb4,29e55635561822bf625d9170f050552d65047c334a3c0a8a47797c8df1985db5,asn1tools,0.167.0,48611d7256bca0d099e41101a93a597b0b2c4bb270a84212149aed67ce33cbd2,,0,PASS
SIB1-ASN-005,systemInformationBlockType1,472,a41cf749b0c165e3bb7c5812ace7f73369e836ae4eb5817410e26860db0c11ae,29e55635561822bf625d9170f050552d65047c334a3c0a8a47797c8df1985db5,asn1tools,0.167.0,b9bfe908b7ee14254c8801b7394d27b8fea60ef123e4c1c8ae005d4004c7c7b4,,0,PASS
SIB1-ASN-006,systemInformationBlockType1,464,e2d7f163b47e8b8aefcc59f060cb22572a100d05471287d88620badebaa86fca,29e55635561822bf625d9170f050552d65047c334a3c0a8a47797c8df1985db5,asn1tools,0.167.0,2b965c21729419a9f07cf730060d2dbbbf2233178c6a9da8a1863764ad7fd2ad,,0,PASS
SIB1-ASN-007,systemInformationBlockType1,464,ec0a0fa84a4aaff29951e73c1b1046fc32f9912762bd09b8709ac5e8cfa6fd1a,29e55635561822bf625d9170f050552d65047c334a3c0a8a47797c8df1985db5,asn1tools,0.167.0,be4fc13cae12e8a5722846bac920c932ff34e554c8aa1941c5ffc960a7bcfa47,,0,PASS
SIB1-ASN-008,systemInformationBlockType1,464,0a5ce71688b3ccb14cf411d27fc84a41d581c634dbe6e289c37038f15b94c369,29e55635561822bf625d9170f050552d65047c334a3c0a8a47797c8df1985db5,asn1tools,0.167.0,79801b7d42477039a06d82c47a94ca9c52cb8183c595370ce207c93e2400124c,,0,PASS
SIB1-ASN-009,systemInformationBlockType1,464,606f1c2249cf3260e9f41bbe30cbc1a2270d949cd7bad1dbfc98da8690ffeeb4,29e55635561822bf625d9170f050552d65047c334a3c0a8a47797c8df1985db5,asn1tools,0.167.0,48611d7256bca0d099e41101a93a597b0b2c4bb270a84212149aed67ce33cbd2,,0,PASS
SIB1-ASN-010,systemInformationBlockType1,472,a41cf749b0c165e3bb7c5812ace7f73369e836ae4eb5817410e26860db0c11ae,29e55635561822bf625d9170f050552d65047c334a3c0a8a47797c8df1985db5,asn1tools,0.167.0,b9bfe908b7ee14254c8801b7394d27b8fea60ef123e4c1c8ae005d4004c7c7b4,,0,PASS
