AttemptID,UEID,EventOrdinal,PreviousState,Event,NextState,AbsoluteFrame,AbsoluteSlot,OccasionID,RNTI,PreambleIndex,DecodedEvidenceID,FailureReason,Status
RA-WAVE-004,UE-4,6,WAIT_RRC_SETUP,RRC_SETUP_DECODED,WAIT_SETUP_COMPLETE,0,4,RO-0001,4660,7,19e40cc25cbb24bd96e8b6ec3f447ded0f6b2e360f66cff59a51e7840ddba5bd,,PASS
RA-WAVE-004,UE-4,7,WAIT_SETUP_COMPLETE,SETUP_COMPLETE_DECODED,CONNECTED,0,4,RO-0001,4660,7,184a539f06985cb41f4942444575b33c84c798001875fc1005c5553caa628520,,PASS
RA-WAVE-004,UE-4,8,CONNECTED,CONNECTED,CONNECTED,0,4,RO-0001,4660,7,184a539f06985cb41f4942444575b33c84c798001875fc1005c5553caa628520,,PASS
RA-WAVE-005,UE-5,1,IDLE,START,TRIGGERED,0,0,RO-0001,4660,7,,,PASS
RA-WAVE-005,UE-5,2,TRIGGERED,MSG1_DETECTED,WAIT_RAR,0,1,RO-0001,4660,7,7fc03e953d80703fc5c33ed56befa34e60b8e39d4de21974152ee37ffed11dd1,,PASS
RA-WAVE-005,UE-5,3,WAIT_RAR,RAR_DECODED,WAIT_MSG3,0,2,RO-0001,4660,7,47a935e7fb8b3d4ec21fabaccd8775d86eb19a866a85988274e5dc800fdc355e,,PASS
RA-WAVE-005,UE-5,4,WAIT_MSG3,MSG3_DECODED,WAIT_MSG4,0,3,RO-0001,4660,7,47a935e7fb8b3d4ec21fabaccd8775d86eb19a866a85988274e5dc800fdc355e,,PASS
RA-WAVE-005,UE-5,5,WAIT_MSG4,CONTENTION_RESOLVED,WAIT_RRC_SETUP,0,4,RO-0001,4660,7,f7aafa9764609cca49d472342404210269a58b6b646221a1429ba4c86df0b1cc,,PASS
RA-WAVE-005,UE-5,6,WAIT_RRC_SETUP,RRC_SETUP_DECODED,WAIT_SETUP_COMPLETE,0,4,RO-0001,4660,7,f7aafa9764609cca49d472342404210269a58b6b646221a1429ba4c86df0b1cc,,PASS
RA-WAVE-005,UE-5,7,WAIT_SETUP_COMPLETE,SETUP_COMPLETE_DECODED,CONNECTED,0,4,RO-0001,4660,7,7b7bf54ec55584a0810f0fa606a0b001f90e8f0fc3e769551f9adb568fb664e3,,PASS
RA-WAVE-005,UE-5,8,CONNECTED,CONNECTED,CONNECTED,0,4,RO-0001,4660,7,7b7bf54ec55584a0810f0fa606a0b001f90e8f0fc3e769551f9adb568fb664e3,,PASS
RA-WAVE-006,UE-6,1,IDLE,START,TRIGGERED,0,0,RO-0001,4660,7,,,PASS
RA-WAVE-006,UE-6,2,TRIGGERED,MSG1_DETECTED,WAIT_RAR,0,1,RO-0001,4660,7,7fc03e953d80703fc5c33ed56befa34e60b8e39d4de21974152ee37ffed11dd1,,PASS
RA-WAVE-006,UE-6,3,WAIT_RAR,RAR_DECODED,WAIT_MSG3,0,2,RO-0001,4660,7,0da3eab7a1d2b20ededcbf7466dd2793b78ab305a11cd077382b8b112aa7859c,,PASS
RA-WAVE-006,UE-6,4,WAIT_MSG3,MSG3_DECODED,WAIT_MSG4,0,3,RO-0001,4660,7,0da3eab7a1d2b20ededcbf7466dd2793b78ab305a11cd077382b8b112aa7859c,,PASS
RA-WAVE-006,UE-6,5,WAIT_MSG4,CONTENTION_RESOLVED,WAIT_RRC_SETUP,0,4,RO-0001,4660,7,14d3a0cc6e653b7efead72b5b683e74c90e5fa0cc380afa0b966bbbe00945533,,PASS
RA-WAVE-006,UE-6,6,WAIT_RRC_SETUP,RRC_SETUP_DECODED,WAIT_SETUP_COMPLETE,0,4,RO-0001,4660,7,14d3a0cc6e653b7efead72b5b683e74c90e5fa0cc380afa0b966bbbe00945533,,PASS
RA-WAVE-006,UE-6,7,WAIT_SETUP_COMPLETE,SETUP_COMPLETE_DECODED,CONNECTED,0,4,RO-0001,4660,7,bdacc56bf2e66dd209a8e24cbe3653b071ac61354eb97d7d62059286895b1298,,PASS
RA-WAVE-006,UE-6,8,CONNECTED,CONNECTED,CONNECTED,0,4,RO-0001,4660,7,bdacc56bf2e66dd209a8e24cbe3653b071ac61354eb97d7d62059286895b1298,,PASS
RA-WAVE-007,UE-7,1,IDLE,START,TRIGGERED,0,0,RO-0001,4660,7,,,PASS
RA-WAVE-007,UE-7,2,TRIGGERED,MSG1_DETECTED,WAIT_RAR,0,1,RO-0001,4660,7,7fc03e953d80703fc5c33ed56befa34e60b8e39d4de21974152ee37ffed11dd1,,PASS
RA-WAVE-007,UE-7,3,WAIT_RAR,RAR_DECODED,WAIT_MSG3,0,2,RO-0001,4660,7,ea25a1410c9913ef2f50579483b1efda31ddfac6139def5eb69ad8dd7c76fb5d,,PASS
RA-WAVE-007,UE-7,4,WAIT_MSG3,MSG3_DECODED,WAIT_MSG4,0,3,RO-0001,4660,7,ea25a1410c9913ef2f50579483b1efda31ddfac6139def5eb69ad8dd7c76fb5d,,PASS
RA-WAVE-007,UE-7,5,WAIT_MSG4,CONTENTION_RESOLVED,WAIT_RRC_SETUP,0,4,RO-0001,4660,7,e759aebcfa5ec7e8cc37d8c59e71876c0a919e854d3a3d0e1c8e49bb77fc1662,,PASS
RA-WAVE-007,UE-7,6,WAIT_RRC_SETUP,RRC_SETUP_DECODED,WAIT_SETUP_COMPLETE,0,4,RO-0001,4660,7,e759aebcfa5ec7e8cc37d8c59e71876c0a919e854d3a3d0e1c8e49bb77fc1662,,PASS
RA-WAVE-007,UE-7,7,WAIT_SETUP_COMPLETE,SETUP_COMPLETE_DECODED,CONNECTED,0,4,RO-0001,4660,7,66058c81518717876e052bad547fc7538a1d9c2718459af2f71756d754668ece,,PASS
RA-WAVE-007,UE-7,8,CONNECTED,CONNECTED,CONNECTED,0,4,RO-0001,4660,7,66058c81518717876e052bad547fc7538a1d9c2718459af2f71756d754668ece,,PASS
RA-WAVE-008,UE-8,1,IDLE,START,TRIGGERED,0,0,RO-0001,4660,7,,,PASS
RA-WAVE-008,UE-8,2,TRIGGERED,MSG1_DETECTED,WAIT_RAR,0,1,RO-0001,4660,7,7fc03e953d80703fc5c33ed56befa34e60b8e39d4de21974152ee37ffed11dd1,,PASS
RA-WAVE-008,UE-8,3,WAIT_RAR,RAR_DECODED,WAIT_MSG3,0,2,RO-0001,4660,7,e91e355426fc25d482a8f41b69547e0beefae03dd4a5fb888d62337ec65d6c1f,,PASS
RA-WAVE-008,UE-8,4,WAIT_MSG3,MSG3_DECODED,WAIT_MSG4,0,3,RO-0001,4660,7,e91e355426fc25d482a8f41b69547e0beefae03dd4a5fb888d62337ec65d6c1f,,PASS
RA-WAVE-008,UE-8,5,WAIT_MSG4,CONTENTION_RESOLVED,WAIT_RRC_SETUP,0,4,RO-0001,4660,7,19e40cc25cbb24bd96e8b6ec3f447ded0f6b2e360f66cff59a51e7840ddba5bd,,PASS
RA-WAVE-008,UE-8,6,WAIT_RRC_SETUP,RRC_SETUP_DECODED,WAIT_SETUP_COMPLETE,0,4,RO-0001,4660,7,19e40cc25cbb24bd96e8b6ec3f447ded0f6b2e360f66cff59a51e7840ddba5bd,,PASS
RA-WAVE-008,UE-8,7,WAIT_SETUP_COMPLETE,SETUP_COMPLETE_DECODED,CONNECTED,0,4,RO-0001,4660,7,794659d2fc8d3ea556a54fcdd5ebe2f9167cd013802c6865abb426290bd8310f,,PASS
RA-WAVE-008,UE-8,8,CONNECTED,CONNECTED,CONNECTED,0,4,RO-0001,4660,7,794659d2fc8d3ea556a54fcdd5ebe2f9167cd013802c6865abb426290bd8310f,,PASS
RA-WAVE-009,UE-9,1,IDLE,START,TRIGGERED,0,0,RO-0001,4660,7,,,PASS
RA-WAVE-009,UE-9,2,TRIGGERED,MSG1_DETECTED,WAIT_RAR,0,1,RO-0001,4660,7,7fc03e953d80703fc5c33ed56befa34e60b8e39d4de21974152ee37ffed11dd1,,PASS
RA-WAVE-009,UE-9,3,WAIT_RAR,RAR_DECODED,WAIT_MSG3,0,2,RO-0001,4660,7,c03a1866dface8aae022d772bf0dccb982b3266593c9fbdfe17aa59442734651,,PASS
RA-WAVE-009,UE-9,4,WAIT_MSG3,MSG3_DECODED,WAIT_MSG4,0,3,RO-0001,4660,7,c03a1866dface8aae022d772bf0dccb982b3266593c9fbdfe17aa59442734651,,PASS
RA-WAVE-009,UE-9,5,WAIT_MSG4,CONTENTION_RESOLVED,WAIT_RRC_SETUP,0,4,RO-0001,4660,7,f7aafa9764609cca49d472342404210269a58b6b646221a1429ba4c86df0b1cc,,PASS
RA-WAVE-009,UE-9,6,WAIT_RRC_SETUP,RRC_SETUP_DECODED,WAIT_SETUP_COMPLETE,0,4,RO-0001,4660,7,f7aafa9764609cca49d472342404210269a58b6b646221a1429ba4c86df0b1cc,,PASS
RA-WAVE-009,UE-9,7,WAIT_SETUP_COMPLETE,SETUP_COMPLETE_DECODED,CONNECTED,0,4,RO-0001,4660,7,19c53b06491101b40119a00530de2df5359aeedaea636caa62f1533668aaaec9,,PASS
RA-WAVE-009,UE-9,8,CONNECTED,CONNECTED,CONNECTED,0,4,RO-0001,4660,7,19c53b06491101b40119a00530de2df5359aeedaea636caa62f1533668aaaec9,,PASS
RA-WAVE-010,UE-10,1,IDLE,START,TRIGGERED,0,0,RO-0001,4660,7,,,PASS
RA-WAVE-010,UE-10,2,TRIGGERED,MSG1_DETECTED,WAIT_RAR,0,1,RO-0001,4660,7,7fc03e953d80703fc5c33ed56befa34e60b8e39d4de21974152ee37ffed11dd1,,PASS
RA-WAVE-010,UE-10,3,WAIT_RAR,RAR_DECODED,WAIT_MSG3,0,2,RO-0001,4660,7,9fbe66eafb982d8c35f0eeeb3d15b50827281c3076759566219e6034d7effc19,,PASS
RA-WAVE-010,UE-10,4,WAIT_MSG3,MSG3_DECODED,WAIT_MSG4,0,3,RO-0001,4660,7,9fbe66eafb982d8c35f0eeeb3d15b50827281c3076759566219e6034d7effc19,,PASS
RA-WAVE-010,UE-10,5,WAIT_MSG4,CONTENTION_RESOLVED,WAIT_RRC_SETUP,0,4,RO-0001,4660,7,14d3a0cc6e653b7efead72b5b683e74c90e5fa0cc380afa0b966bbbe00945533,,PASS
RA-WAVE-010,UE-10,6,WAIT_RRC_SETUP,RRC_SETUP_DECODED,WAIT_SETUP_COMPLETE,0,4,RO-0001,4660,7,14d3a0cc6e653b7efead72b5b683e74c90e5fa0cc380afa0b966bbbe00945533,,PASS
RA-WAVE-010,UE-10,7,WAIT_SETUP_COMPLETE,SETUP_COMPLETE_DECODED,CONNECTED,0,4,RO-0001,4660,7,57e40f21b8e8b1305437798d8fa55e98ba4569af135e32831d9cffa4dd2ee685,,PASS
RA-WAVE-010,UE-10,8,CONNECTED,CONNECTED,CONNECTED,0,4,RO-0001,4660,7,57e40f21b8e8b1305437798d8fa55e98ba4569af135e32831d9cffa4dd2ee685,,PASS
RA-WAVE-011,UE-11,1,IDLE,START,TRIGGERED,0,0,RO-0001,4660,7,,,PASS
RA-WAVE-011,UE-11,2,TRIGGERED,MSG1_DETECTED,WAIT_RAR,0,1,RO-0001,4660,7,7fc03e953d80703fc5c33ed56befa34e60b8e39d4de21974152ee37ffed11dd1,,PASS
RA-WAVE-011,UE-11,3,WAIT_RAR,RAR_DECODED,WAIT_MSG3,0,2,RO-0001,4660,7,346d94ae0ddd7bb81b2a01ebc28f45338a320e0b0bd73741490b69e5964d5e80,,PASS
RA-WAVE-011,UE-11,4,WAIT_MSG3,MSG3_DECODED,WAIT_MSG4,0,3,RO-0001,4660,7,346d94ae0ddd7bb81b2a01ebc28f45338a320e0b0bd73741490b69e5964d5e80,,PASS
RA-WAVE-011,UE-11,5,WAIT_MSG4,CONTENTION_RESOLVED,WAIT_RRC_SETUP,0,4,RO-0001,4660,7,e759aebcfa5ec7e8cc37d8c59e71876c0a919e854d3a3d0e1c8e49bb77fc1662,,PASS
RA-WAVE-011,UE-11,6,WAIT_RRC_SETUP,RRC_SETUP_DECODED,WAIT_SETUP_COMPLETE,0,4,RO-0001,4660,7,e759aebcfa5ec7e8cc37d8c59e71876c0a919e854d3a3d0e1c8e49bb77fc1662,,PASS
RA-WAVE-011,UE-11,7,WAIT_SETUP_COMPLETE,SETUP_COMPLETE_DECODED,CONNECTED,0,4,RO-0001,4660,7,6e226be4e5cfc33658d5e051d4984d5d06c18072da3b04585dad2a6e0187640a,,PASS
RA-WAVE-011,UE-11,8,CONNECTED,CONNECTED,CONNECTED,0,4,RO-0001,4660,7,6e226be4e5cfc33658d5e051d4984d5d06c18072da3b04585dad2a6e0187640a,,PASS
RA-WAVE-012,UE-12,1,IDLE,START,TRIGGERED,0,0,RO-0001,4660,7,,,PASS
