CaseID,PreambleIndex,Format,SequenceLength,RootSequenceIndex,CyclicShift,NCS,RestrictedSet,SequenceSHA256,IndexSHA256,IndependentMismatchCount,Status
PRACH-SEQUENCE-001,20,0,839,1,92,8,UnrestrictedSet,03b785175f2dc5fd68463bffc4f483f6439368c3e1e6626471acda8cfb28eef0,d3f83bb87fed1267cdcb74667719720a2bcef14b5f165e65fc3eb9c314adeaa8,0,PASS
PRACH-SEQUENCE-001,21,0,839,1,138,8,UnrestrictedSet,c7ed8fb85f7dd385237f09af2ff60b2049f156b2fe425a4a07e0d59f3f2959d9,d3f83bb87fed1267cdcb74667719720a2bcef14b5f165e65fc3eb9c314adeaa8,0,PASS
PRACH-SEQUENCE-001,22,0,839,1,184,8,UnrestrictedSet,445fcbe8828f9e721b52e0a4894663b02b4dd3579682ec9ea5d3246c58d2f200,d3f83bb87fed1267cdcb74667719720a2bcef14b5f165e65fc3eb9c314adeaa8,0,PASS
PRACH-SEQUENCE-001,23,0,839,1,230,8,UnrestrictedSet,751081a2b70e7dbda37e2b1ea87ff03c3ba1d12ec62426a1f1fe8cb510beaa49,d3f83bb87fed1267cdcb74667719720a2bcef14b5f165e65fc3eb9c314adeaa8,0,PASS
PRACH-SEQUENCE-001,24,0,839,1,276,8,UnrestrictedSet,1f1f3240e3bb7f583133a6ea0281141e8571d7c115f69c07760a755a1bf40c86,d3f83bb87fed1267cdcb74667719720a2bcef14b5f165e65fc3eb9c314adeaa8,0,PASS
PRACH-SEQUENCE-001,25,0,839,1,322,8,UnrestrictedSet,706712971dada72ca8961869824dcd60652a03e8b8042403aa92b6bc3181d7a0,d3f83bb87fed1267cdcb74667719720a2bcef14b5f165e65fc3eb9c314adeaa8,0,PASS
PRACH-SEQUENCE-001,26,0,839,1,368,8,UnrestrictedSet,8d9cb196553aee557941bd6a8443d0b42ce16d8e872720202990e505888740b2,d3f83bb87fed1267cdcb74667719720a2bcef14b5f165e65fc3eb9c314adeaa8,0,PASS
PRACH-SEQUENCE-001,27,0,839,1,414,8,UnrestrictedSet,ef661973f823c1066e4eb91a57f6bcc32ae2cfaa4995505344059bb87c1dec49,d3f83bb87fed1267cdcb74667719720a2bcef14b5f165e65fc3eb9c314adeaa8,0,PASS
PRACH-SEQUENCE-001,28,0,839,1,460,8,UnrestrictedSet,dc14c1f03fdcabe103884de66a20095d5e6dabcca96afa2578d08444efbed6dc,d3f83bb87fed1267cdcb74667719720a2bcef14b5f165e65fc3eb9c314adeaa8,0,PASS
PRACH-SEQUENCE-001,29,0,839,1,506,8,UnrestrictedSet,35d58a71a7683b271496acd9f255714f0dbcbd472a5314a5414d0cf4bbe2b0be,d3f83bb87fed1267cdcb74667719720a2bcef14b5f165e65fc3eb9c314adeaa8,0,PASS
PRACH-SEQUENCE-001,30,0,839,1,552,8,UnrestrictedSet,0d53d2648c7b95d1e3403d7200c0250ffa3261d0f2aae346f07a441e430a1e88,d3f83bb87fed1267cdcb74667719720a2bcef14b5f165e65fc3eb9c314adeaa8,0,PASS
PRACH-SEQUENCE-001,31,0,839,1,598,8,UnrestrictedSet,3d28b04ae65388a2f9f3445fb163deceb38518d714fc51baf83697e4951090ac,d3f83bb87fed1267cdcb74667719720a2bcef14b5f165e65fc3eb9c314adeaa8,0,PASS
PRACH-SEQUENCE-001,32,0,839,1,644,8,UnrestrictedSet,6f2f3f068249fde02c3e2394b23f01b5c9a06f738bced89345c8f5e0d15fa226,d3f83bb87fed1267cdcb74667719720a2bcef14b5f165e65fc3eb9c314adeaa8,0,PASS
PRACH-SEQUENCE-001,33,0,839,1,690,8,UnrestrictedSet,620ecc3b7ae79b2588e65c38f3ef00517b146ca2e272c579ba904ca3474f9852,d3f83bb87fed1267cdcb74667719720a2bcef14b5f165e65fc3eb9c314adeaa8,0,PASS
PRACH-SEQUENCE-001,34,0,839,1,736,8,UnrestrictedSet,690574b39a2fe6f8a4fe642ec200c7c8f54bf8357f4ac56a702bce3fe76acd69,d3f83bb87fed1267cdcb74667719720a2bcef14b5f165e65fc3eb9c314adeaa8,0,PASS
PRACH-SEQUENCE-001,35,0,839,1,782,8,UnrestrictedSet,ff4bff82c1d790a7684473d27e83fc9890a80feb94e5fb4073f129fa243045e6,d3f83bb87fed1267cdcb74667719720a2bcef14b5f165e65fc3eb9c314adeaa8,0,PASS
PRACH-SEQUENCE-001,36,0,839,1,0,8,UnrestrictedSet,81c24f9b8027e6e68ae2fe1521469f056d47f29fb14375c7f2116dd9d096b212,d3f83bb87fed1267cdcb74667719720a2bcef14b5f165e65fc3eb9c314adeaa8,0,PASS
PRACH-SEQUENCE-001,37,0,839,1,46,8,UnrestrictedSet,faa3d0fb7fa49577d817162c74709eb1129004033591d914b8b5549de9416f7e,d3f83bb87fed1267cdcb74667719720a2bcef14b5f165e65fc3eb9c314adeaa8,0,PASS
PRACH-SEQUENCE-001,38,0,839,1,92,8,UnrestrictedSet,9583a4ca28d2d9c8f1a029b435c950222d9e12f03a438392a54cfbff3601138b,d3f83bb87fed1267cdcb74667719720a2bcef14b5f165e65fc3eb9c314adeaa8,0,PASS
PRACH-SEQUENCE-001,39,0,839,1,138,8,UnrestrictedSet,d80afec7c60d5ffe96653bf429dc6cbf8e23bb294ef187a42953a3bb577f0b07,d3f83bb87fed1267cdcb74667719720a2bcef14b5f165e65fc3eb9c314adeaa8,0,PASS
PRACH-SEQUENCE-001,40,0,839,1,184,8,UnrestrictedSet,6e9f6860012e9690684d6d1dafc28049f788d82a7a5df4d42cad5559af648a9a,d3f83bb87fed1267cdcb74667719720a2bcef14b5f165e65fc3eb9c314adeaa8,0,PASS
