AttemptID,RARDCIEventID,RARNTIExpected,RARNTIDecoded,RAPIDExpected,RAPIDDecoded,TimingAdvance,ULGrantSHA256,TempCRNTI,InsideResponseWindow,PDCCHCRC,PDSCHCRC,Status
RA-WAVE-001,RA-SI-DCI-fdfea492a65c23fe75481d418fea96c9a451bc5bf5eaca86faa6c51f6e57f124,1,1,7,7,0,38d0511792a3ea1e8fbdaa473e3d95f5b5ab3cf1295e7d26851a0b9b1ce60a5f,4660,1,1,1,PASS
RA-WAVE-002,RA-SI-DCI-fdfea492a65c23fe75481d418fea96c9a451bc5bf5eaca86faa6c51f6e57f124,1,1,7,7,1,38d0511792a3ea1e8fbdaa473e3d95f5b5ab3cf1295e7d26851a0b9b1ce60a5f,4660,1,1,1,PASS
RA-WAVE-003,RA-SI-DCI-fdfea492a65c23fe75481d418fea96c9a451bc5bf5eaca86faa6c51f6e57f124,1,1,7,7,2,38d0511792a3ea1e8fbdaa473e3d95f5b5ab3cf1295e7d26851a0b9b1ce60a5f,4660,1,1,1,PASS
RA-WAVE-004,RA-SI-DCI-fdfea492a65c23fe75481d418fea96c9a451bc5bf5eaca86faa6c51f6e57f124,1,1,7,7,3,38d0511792a3ea1e8fbdaa473e3d95f5b5ab3cf1295e7d26851a0b9b1ce60a5f,4660,1,1,1,PASS
RA-WAVE-005,RA-SI-DCI-fdfea492a65c23fe75481d418fea96c9a451bc5bf5eaca86faa6c51f6e57f124,1,1,7,7,4,38d0511792a3ea1e8fbdaa473e3d95f5b5ab3cf1295e7d26851a0b9b1ce60a5f,4660,1,1,1,PASS
RA-WAVE-006,RA-SI-DCI-fdfea492a65c23fe75481d418fea96c9a451bc5bf5eaca86faa6c51f6e57f124,1,1,7,7,5,38d0511792a3ea1e8fbdaa473e3d95f5b5ab3cf1295e7d26851a0b9b1ce60a5f,4660,1,1,1,PASS
RA-WAVE-007,RA-SI-DCI-fdfea492a65c23fe75481d418fea96c9a451bc5bf5eaca86faa6c51f6e57f124,1,1,7,7,6,38d0511792a3ea1e8fbdaa473e3d95f5b5ab3cf1295e7d26851a0b9b1ce60a5f,4660,1,1,1,PASS
RA-WAVE-008,RA-SI-DCI-fdfea492a65c23fe75481d418fea96c9a451bc5bf5eaca86faa6c51f6e57f124,1,1,7,7,7,38d0511792a3ea1e8fbdaa473e3d95f5b5ab3cf1295e7d26851a0b9b1ce60a5f,4660,1,1,1,PASS
RA-WAVE-009,RA-SI-DCI-fdfea492a65c23fe75481d418fea96c9a451bc5bf5eaca86faa6c51f6e57f124,1,1,7,7,8,38d0511792a3ea1e8fbdaa473e3d95f5b5ab3cf1295e7d26851a0b9b1ce60a5f,4660,1,1,1,PASS
RA-WAVE-010,RA-SI-DCI-fdfea492a65c23fe75481d418fea96c9a451bc5bf5eaca86faa6c51f6e57f124,1,1,7,7,9,38d0511792a3ea1e8fbdaa473e3d95f5b5ab3cf1295e7d26851a0b9b1ce60a5f,4660,1,1,1,PASS
