TrialID,Stage,MeasuredSINR_dB,EVM_percent,CFOEstimate_Hz,ResidualCFO_Hz,TimingEstimate_samples,TimingError_samples,ChannelEstimateNMSE,DecoderIterations,OracleFieldCount,Status
RA-WAVE-014,RRC_SETUP_COMPLETE_PUSCH,31.8259847411602,2.56271766743296,0,0,0,0,0.000512505333561178,1,0,PASS
RA-WAVE-015,RAR_PDSCH,34.4719725991786,1.88973701585496,0,0,0,0,0.000356295184769588,1,0,PASS
RA-WAVE-015,MSG4_PDSCH,35.3160655516697,1.71473385479085,0,0,0,0,0.000294170609868218,1,0,PASS
RA-WAVE-015,RRC_SETUP_COMPLETE_PUSCH,33.9943210196003,1.9965672775088,0,0,0,0,0.000344289950493066,1,0,PASS
RA-WAVE-016,RAR_PDSCH,37.0297769928005,1.40770337019337,0,0,0,0,0.000198876866340612,1,0,PASS
RA-WAVE-016,MSG4_PDSCH,36.9631718637975,1.41853941293664,0,0,0,0,0.000201503011957565,1,0,PASS
RA-WAVE-016,RRC_SETUP_COMPLETE_PUSCH,36.111351858401,1.56470477204712,0,0,0,0,0.000195406671755542,1,0,PASS
RA-WAVE-017,RAR_PDSCH,38.7642519690095,1.15288875061699,0,0,0,0,0.000132860836198789,1,0,PASS
RA-WAVE-017,MSG4_PDSCH,38.8273755371971,1.14454065333456,0,0,0,0,0.000130987485759709,1,0,PASS
RA-WAVE-017,RRC_SETUP_COMPLETE_PUSCH,37.901741965326,1.27324770409319,0,0,0,0,0.000124799637528955,1,0,PASS
RA-WAVE-018,RAR_PDSCH,40.8731653222609,0.904360809435259,0,0,0,0,8.17136022433561e-05,1,0,PASS
RA-WAVE-018,MSG4_PDSCH,40.9959272259942,0.891668939622483,0,0,0,0,7.94611878395972e-05,1,0,PASS
RA-WAVE-018,RRC_SETUP_COMPLETE_PUSCH,39.8999633979111,1.01158371703559,0,0,0,0,7.38498264686788e-05,1,0,PASS
RA-WAVE-019,RAR_PDSCH,30.7999457371308,2.88404952043048,0,0,0,0,0.000832690791532016,1,0,PASS
RA-WAVE-019,MSG4_PDSCH,30.9538501368102,2.83339741377408,0,0,0,0,0.00080141979760246,1,0,PASS
RA-WAVE-019,RRC_SETUP_COMPLETE_PUSCH,30.026190051236,3.15275699143623,0,0,0,0,0.000827350272663574,1,0,PASS
RA-WAVE-020,RAR_PDSCH,33.1938418045434,2.18931327166381,0,0,0,0,0.000480624194309507,1,0,PASS
RA-WAVE-020,MSG4_PDSCH,32.7374214492165,2.30743208664037,0,0,0,0,0.000534050667267167,1,0,PASS
RA-WAVE-020,RRC_SETUP_COMPLETE_PUSCH,31.7621315809503,2.58162656281772,0,0,0,0,0.000548749843589989,1,0,PASS
