Direction,TransportBlocks,SuccessfulUniqueTBs,BLER,DeliveredUniqueBits,HorizonSeconds,GoodputBitsPerSecond,BER,Source,StandardNR
"DL",30,30,0,18682800,0.01,1868280000,0,"actual_coded_research_waveform",0
"UL",40,40,0,24910400,0.01,2491040000,0,"actual_coded_research_waveform",0
