EndpointID,Direction,CapturePoint,WaveformAuthority,SampleRateHz,CenterFrequencyHz,ConfigurationEpoch,CaptureStartSample,CaptureEndSampleExclusive,SampleCountPerPort,PortCount,SchedulerSlotCount,SegmentCount,Precision,BinaryLayout,PortFiles,PortFileSHA256,TotalFileBytes,PeakAbsComponent,ActiveSampleCount,ContinuousCoverage,AllSchedulerSamplesIncluded,CompositeTransmitterWaveform,IncludesIntentionalSilence,KeysightNormalizationRequired,Source,ApproximationMode,ProxyUsed,FallbackFlag,PlaceholderFlag,CaptureStatus
"gnb_1","DL","physical_antenna_output_after_composition_power_scaling_and_tx_rf_before_channel","exact_shared_physical_runtime_stream",7680000,2350000000,1,0,445440,445440,2,58,58,"double","per_port_interleaved_I0_Q0_I1_Q1_little_endian","waveform/raw/continuous_tx_iq_gnb_1_port1_cf64le.bin|waveform/raw/continuous_tx_iq_gnb_1_port2_cf64le.bin","dab4f6efafa41a8269ce9eef27107845563d74b1e3f6a7acd2781b32f3eb9f25|d15eae5e417e75731f9214a71f5ac6be2ec41e4350acf4593343b90350071f45",14254080,0.110796360723432,206238,1,1,1,1,1,"actual_shared_physical_transmitter_output","none",0,0,0,"PASS"
"ue_1","UL","physical_antenna_output_after_composition_power_scaling_and_tx_rf_before_channel","exact_shared_physical_runtime_stream",7680000,2350000000,1,0,445440,445440,2,58,58,"double","per_port_interleaved_I0_Q0_I1_Q1_little_endian","waveform/raw/continuous_tx_iq_ue_1_port1_cf64le.bin|waveform/raw/continuous_tx_iq_ue_1_port2_cf64le.bin","91636dc4ce12e26310ea39e0afe265f209a8f668e79cb6be0e1b1cf274363289|229761c0d1ce7f77847475a3210a6e41098efb1a380cc8f846502e9a8ba49d38",14254080,0.0690416745007312,62981,1,1,1,1,1,"actual_shared_physical_transmitter_output","none",0,0,0,"PASS"
