ScenarioID,ConfigHash,RunnerProfile,Block,Ok,Notes
"lls_causal_access_to_data_wiring_tdd_short_continuous_iq","93204f51f80ac8591d6f898ae7c340019cd2e7655b0711678990bcc9abfa1899","waveform_bundle","CellSearch_MIB_SIB1",1,"PBCH fixed-snr-sweep; measured_sinr_source=PostEqSINR_dB; measured_sinr_range_db=[6.82,21.3]"
"lls_causal_access_to_data_wiring_tdd_short_continuous_iq","93204f51f80ac8591d6f898ae7c340019cd2e7655b0711678990bcc9abfa1899","waveform_bundle","PRACH_Detection",1,"PRACH fixed-snr-sweep; measured_sinr_source=not_applicable_or_unavailable"
"lls_causal_access_to_data_wiring_tdd_short_continuous_iq","93204f51f80ac8591d6f898ae7c340019cd2e7655b0711678990bcc9abfa1899","waveform_bundle","DL_PDSCH_Throughput",1,"DL fixed-snr-sweep; operating_mode_authority=fixed_snr_sweep; measured_sinr_source=PostEqSINR_dB; measured_sinr_range_db=[19.7,20.2]; steady_state_warmup_rows_excluded=true"
"lls_causal_access_to_data_wiring_tdd_short_continuous_iq","93204f51f80ac8591d6f898ae7c340019cd2e7655b0711678990bcc9abfa1899","waveform_bundle","UL_PUSCH_Throughput",1,"UL fixed-snr-sweep; operating_mode_authority=fixed_snr_sweep; measured_sinr_source=PostEqSINR_dB; measured_sinr_range_db=[19.9,20.5]; steady_state_warmup_rows_excluded=true"
"lls_causal_access_to_data_wiring_tdd_short_continuous_iq","93204f51f80ac8591d6f898ae7c340019cd2e7655b0711678990bcc9abfa1899","waveform_bundle","UL_SRS_ChannelEst",1,"SRS runtime-measured; operating_mode_authority=fixed_snr_sweep; nmse_source=srs_trials.NMSE_dB; measured_sinr_source=MeasuredSINR_dB; measured_sinr_range_db=[1.21,1.24]"
"lls_causal_access_to_data_wiring_tdd_short_continuous_iq","93204f51f80ac8591d6f898ae7c340019cd2e7655b0711678990bcc9abfa1899","waveform_bundle","UL_LowPAPR",1,"UL low-PAPR runtime-measured; operating_mode_authority=fixed_snr_sweep; papr_source=ul_pusch_trials.PAPR_dB; measured_sinr_source=PostEqSINR_dB; measured_sinr_range_db=[19.9,20.5]; dfts_comparison_unavailable_without_transform_precoding_trials"
"lls_causal_access_to_data_wiring_tdd_short_continuous_iq","93204f51f80ac8591d6f898ae7c340019cd2e7655b0711678990bcc9abfa1899","waveform_bundle","strict_pdcch_waveform_control",1,"strict waveform-backed control evidence completed"
"lls_causal_access_to_data_wiring_tdd_short_continuous_iq","93204f51f80ac8591d6f898ae7c340019cd2e7655b0711678990bcc9abfa1899","waveform_bundle","PRACH_StrictValidation",1,"strict PRACH waveform validation completed"
"lls_causal_access_to_data_wiring_tdd_short_continuous_iq","93204f51f80ac8591d6f898ae7c340019cd2e7655b0711678990bcc9abfa1899","waveform_bundle","SRS_StrictValidation",1,"strict SRS waveform channel-sounding validation completed"
"lls_causal_access_to_data_wiring_tdd_short_continuous_iq","93204f51f80ac8591d6f898ae7c340019cd2e7655b0711678990bcc9abfa1899","waveform_bundle","TRS_StrictValidation",1,"strict TRS waveform tracking validation completed"
"lls_causal_access_to_data_wiring_tdd_short_continuous_iq","93204f51f80ac8591d6f898ae7c340019cd2e7655b0711678990bcc9abfa1899","waveform_bundle","SIB1_StrictMiniAnchor",1,"strict SIB1/PBCH waveform mini-anchor validation completed"
"lls_causal_access_to_data_wiring_tdd_short_continuous_iq","93204f51f80ac8591d6f898ae7c340019cd2e7655b0711678990bcc9abfa1899","waveform_bundle","ChannelRF_StrictValidation",1,"strict Channel/RF configured-vs-applied validation completed"
"lls_causal_access_to_data_wiring_tdd_short_continuous_iq","93204f51f80ac8591d6f898ae7c340019cd2e7655b0711678990bcc9abfa1899","waveform_bundle","MIMO_NominalEffectiveEvidence",0,"antenna_runtime_domain:directions=UL,details=runtime_antenna_domain_does_not_match_configured_execution_contract"
