UEID,Slot,Time_s,Lat,Lon,ServingCell,ServingSite,ServingSector,ConfiguredSNR_dB,ConfiguredSNRSource,ServingRSRP_dBm,RSRP_dBm,ReceiverHestSINR_dB,ReceiverHestSINRSource,DecoderTruthProxySINR_dB,DecoderTruthProxySINRSource,MeasuredTrialSINR_dB,EstimatedWidebandSINR_dB,ReceiverHestWidebandSINR_dB,DecoderTruthProxyWidebandSINR_dB,MeasuredWidebandSINR_dB,LargeScaleWidebandSINR_dB,LargeScaleSINR_dB,CSI_RSRP_dB,CSI_RSRPSource,AppliedLargeScaleGain_dB,RSRPSource,ServingRSRPSource,WidebandSINRSource,WidebandSINRValueRole,InterferenceMode,WidebandCQI,CQIDerivedMCS,CQIDerivedModulation,CQIDerivedTargetCodeRate,Pathloss_dB,CoverageScore
3,10,0.0045,19.1223993408529,73.000359000739,1,1,1,12,"configured_runtime_operating_point_reference",-69.6266624196228,-69.6266624196228,47.2058075139773,"receiver_hest_csi_feedback_wideband_effective_sinr",13.5336995154652,"post_equalization_evm_proxy",47.2058075139773,47.2058075139773,47.2058075139773,13.5336995154652,47.2058075139773,12.3719139070344,12.3719139070344,-108.367606503941,"received_reference_signal_power",-93.7306391662379,"large_scale_serving_reference_signal","large_scale_serving_reference_signal","receiver_hest_csi_feedback_wideband_effective_sinr","estimated","full_per_link_channel_waveform_sum",15,26,"64QAM",0.8525390625,93.7306391662379,0.996535271328157
5,10,0.0045,19.1209629712496,73.0010424631892,1,1,1,12,"configured_runtime_operating_point_reference",-64.5992905291109,-64.5992905291109,51.2099478303152,"receiver_hest_csi_feedback_wideband_effective_sinr",31.7723971673815,"post_equalization_evm_proxy",51.2099478303152,51.2099478303152,51.2099478303152,31.7723971673815,51.2099478303152,44.0161019437118,44.0161019437118,-104.23192047522,"received_reference_signal_power",-87.6707998481783,"large_scale_serving_reference_signal","large_scale_serving_reference_signal","receiver_hest_csi_feedback_wideband_effective_sinr","estimated","full_per_link_channel_waveform_sum",15,26,"64QAM",0.8525390625,87.6707998481783,0.998496007519078
7,10,0.0045,19.1212919053484,72.9995858551071,5,5,1,12,"configured_runtime_operating_point_reference",-106.068516935764,-106.068516935764,33.3941416291566,"receiver_hest_csi_feedback_wideband_effective_sinr",-25.6385255579357,"post_equalization_evm_proxy",33.3941416291566,33.3941416291566,33.3941416291566,-25.6385255579357,33.3941416291566,0.499520482475925,0.499520482475925,-119.556423400738,"received_reference_signal_power",-130.399894262962,"large_scale_serving_reference_signal","large_scale_serving_reference_signal","receiver_hest_csi_feedback_wideband_effective_sinr","estimated","full_per_link_channel_waveform_sum",15,26,"64QAM",0.8525390625,130.399894262962,0.596549429236964
9,10,0.0045,19.1194399762046,73.0024949219264,1,1,1,12,"configured_runtime_operating_point_reference",-113.653218174741,-113.653218174741,27.6720212243621,"receiver_hest_csi_feedback_wideband_effective_sinr",-24.8929554549376,"post_equalization_evm_proxy",27.6720212243621,27.6720212243621,27.6720212243621,-24.8929554549376,27.6720212243621,-1.02135697551728,-1.02135697551728,-127.923762470565,"received_reference_signal_power",-138.272956314428,"large_scale_serving_reference_signal","large_scale_serving_reference_signal","receiver_hest_csi_feedback_wideband_effective_sinr","estimated","full_per_link_channel_waveform_sum",15,26,"64QAM",0.8525390625,138.272956314428,0.500671974939632
14,10,0.0045,19.1214345960212,72.9994994432856,1,1,1,12,"configured_runtime_operating_point_reference",-94.6447759077962,-94.6447759077962,37.5317673920983,"receiver_hest_csi_feedback_wideband_effective_sinr",31.9021233727989,"post_equalization_evm_proxy",37.5317673920983,37.5317673920983,37.5317673920983,31.9021233727989,37.5317673920983,14.0454098631417,14.0454098631417,-106.116119487845,"received_reference_signal_power",-89.4913369769124,"large_scale_serving_reference_signal","large_scale_serving_reference_signal","receiver_hest_csi_feedback_wideband_effective_sinr","estimated","full_per_link_channel_waveform_sum",15,26,"64QAM",0.8525390625,89.4913369769124,0.84012881701654
19,10,0.0045,19.1227244711367,73.0002070049865,1,1,1,12,"configured_runtime_operating_point_reference",-81.460507756863,-81.460507756863,36.2615973731611,"receiver_hest_csi_feedback_wideband_effective_sinr",24.1533086952148,"post_equalization_evm_proxy",36.2615973731611,36.2615973731611,36.2615973731611,24.1533086952148,36.2615973731611,27.6651289813575,27.6651289813575,-119.302861049081,"received_reference_signal_power",-104.578664231212,"large_scale_serving_reference_signal","large_scale_serving_reference_signal","receiver_hest_csi_feedback_wideband_effective_sinr","estimated","full_per_link_channel_waveform_sum",15,26,"64QAM",0.8525390625,104.578664231212,0.975994379736566
26,10,0.0045,19.121124150581,73.0005424490204,1,1,1,12,"configured_runtime_operating_point_reference",-88.0365061972066,-88.0365061972066,29.697408450109,"receiver_hest_csi_feedback_wideband_effective_sinr",9.8185462807164,"post_equalization_evm_proxy",29.697408450109,29.697408450109,29.697408450109,9.8185462807164,29.697408450109,18.0261322112769,18.0261322112769,-125.884942453728,"received_reference_signal_power",-112.457971485048,"large_scale_serving_reference_signal","large_scale_serving_reference_signal","receiver_hest_csi_feedback_wideband_effective_sinr","estimated","full_per_link_channel_waveform_sum",15,26,"64QAM",0.8525390625,112.457971485048,0.933741799359765
27,10,0.0045,19.1234219424918,73.0052188051755,5,5,1,12,"configured_runtime_operating_point_reference",-86.7903296039824,-86.7903296039824,28.9191125464335,"receiver_hest_csi_feedback_wideband_effective_sinr",9.50077319940296,"post_equalization_evm_proxy",28.9191125464335,28.9191125464335,28.9191125464335,9.50077319940296,28.9191125464335,19.3449367329551,19.3449367329551,-124.109362405559,"received_reference_signal_power",-111.413259687912,"large_scale_serving_reference_signal","large_scale_serving_reference_signal","receiver_hest_csi_feedback_wideband_effective_sinr","estimated","full_per_link_channel_waveform_sum",15,26,"64QAM",0.8525390625,111.413259687912,0.944798443353898
43,10,0.0045,19.1220783296974,73.0005805940706,1,1,1,12,"configured_runtime_operating_point_reference",-85.6003339696813,-85.6003339696813,34.6555687936385,"receiver_hest_csi_feedback_wideband_effective_sinr",10.0258864876346,"post_equalization_evm_proxy",34.6555687936385,34.6555687936385,34.6555687936385,10.0258864876346,34.6555687936385,15.116502053995,15.116502053995,-120.961913630497,"received_reference_signal_power",-108.770713503753,"large_scale_serving_reference_signal","large_scale_serving_reference_signal","receiver_hest_csi_feedback_wideband_effective_sinr","estimated","full_per_link_channel_waveform_sum",15,26,"64QAM",0.8525390625,108.770713503753,0.954152910278519
47,10,0.0045,19.1224638119917,72.9998733200877,1,1,1,12,"configured_runtime_operating_point_reference",-78.5685028780786,-78.5685028780786,37.2484088086134,"receiver_hest_csi_feedback_wideband_effective_sinr",25.766546350891,"post_equalization_evm_proxy",37.2484088086134,37.2484088086134,37.2484088086134,25.766546350891,37.2484088086134,29.6017964649117,29.6017964649117,-118.36643962772,"received_reference_signal_power",-103.217086211369,"large_scale_serving_reference_signal","large_scale_serving_reference_signal","receiver_hest_csi_feedback_wideband_effective_sinr","estimated","full_per_link_channel_waveform_sum",15,26,"64QAM",0.8525390625,103.217086211369,0.984914214692837
