RelativePath,Extension,Bytes,ModifiedUTC,ArtifactClass,SemanticState,CountsTowardCoverage,MachineReadable,HumanReadable
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/channel_estimation_analytics.csv",".csv",2479,"2026-04-18T20:24:23Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/channel_quality_analytics.csv",".csv",43726,"2026-04-18T20:24:23Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/clipping_analytics.csv",".csv",12664,"2026-04-18T20:24:22Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/codeblock_analytics.csv",".csv",20048,"2026-04-18T20:24:23Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/compute_analytics.csv",".csv",25437,"2026-04-18T20:24:25Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/constellation_analytics.csv",".csv",1913841,"2026-04-18T20:24:22Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/contract__beamforming-precoding-mimo-analytics__beam-gain-gap-histogram.csv",".csv",2765,"2026-04-18T20:24:23Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/contract__beamforming-precoding-mimo-analytics__beam-hit-rate-top-k-hit-rate.csv",".csv",28060,"2026-04-18T20:24:23Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/contract__beamforming-precoding-mimo-analytics__beam-id-timeline.csv",".csv",4850,"2026-04-18T20:24:23Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/contract__beamforming-precoding-mimo-analytics__beam-pair-timeline.csv",".csv",26824,"2026-04-18T20:24:23Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/contract__beamforming-precoding-mimo-analytics__calibration-reciprocity-diagnostics-if-modeled.csv",".csv",27937,"2026-04-18T20:24:24Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/contract__beamforming-precoding-mimo-analytics__combiner-summary.csv",".csv",24641,"2026-04-18T20:24:23Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/contract__beamforming-precoding-mimo-analytics__condition-number-distribution.csv",".csv",2685,"2026-04-18T20:24:24Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/contract__beamforming-precoding-mimo-analytics__inter-user-leakage.csv",".csv",24847,"2026-04-18T20:24:24Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/contract__beamforming-precoding-mimo-analytics__mu-grouping-analytics.csv",".csv",25156,"2026-04-18T20:24:24Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/contract__beamforming-precoding-mimo-analytics__per-layer-sinr.csv",".csv",26143,"2026-04-18T20:24:24Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/contract__beamforming-precoding-mimo-analytics__precoder-mode-distribution.csv",".csv",2655,"2026-04-18T20:24:23Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/contract__beamforming-precoding-mimo-analytics__rank-distribution.csv",".csv",2565,"2026-04-18T20:24:23Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/contract__beamforming-precoding-mimo-analytics__selected-vs-best-beam-gap.csv",".csv",27545,"2026-04-18T20:24:23Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/contract__channel-estimation-propagation-analytics__angle-spread-chart.csv",".csv",7269,"2026-04-18T20:24:18Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/contract__channel-estimation-propagation-analytics__channel-magnitude-heatmap.csv",".csv",7451,"2026-04-18T20:24:18Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/contract__channel-estimation-propagation-analytics__channel-phase-heatmap.csv",".csv",7347,"2026-04-18T20:24:18Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/contract__channel-estimation-propagation-analytics__delay-spread-chart.csv",".csv",7269,"2026-04-18T20:24:18Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/contract__channel-estimation-propagation-analytics__estimated-hhat-f.csv",".csv",7243,"2026-04-18T20:24:18Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/contract__channel-estimation-propagation-analytics__estimated-hhat-tau.csv",".csv",45667,"2026-04-18T20:24:17Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/contract__channel-estimation-propagation-analytics__estimator-bias-variance-summaries.csv",".csv",7711,"2026-04-18T20:24:18Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/contract__channel-estimation-propagation-analytics__nmse-vs-snr-sinr.csv",".csv",7130,"2026-04-18T20:24:18Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/contract__channel-estimation-propagation-analytics__noise-variance-trend.csv",".csv",7321,"2026-04-18T20:24:18Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/contract__channel-estimation-propagation-analytics__o2i-distribution.csv",".csv",2677,"2026-04-18T20:24:18Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/contract__channel-estimation-propagation-analytics__pathloss-distribution.csv",".csv",2727,"2026-04-18T20:24:18Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/contract__channel-estimation-propagation-analytics__serving-vs-interferer-decomposition.csv",".csv",7711,"2026-04-18T20:24:18Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/contract__channel-estimation-propagation-analytics__shadowing-distribution.csv",".csv",2737,"2026-04-18T20:24:18Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/contract__channel-estimation-propagation-analytics__tap-power-profile.csv",".csv",7243,"2026-04-18T20:24:18Z","other_csv","observed",1,1,0
"C:/Anup/6gsimulation/sixgr_foundation_v2 (2)/tmp_rehydrate/run1/analytics/csv/contract__channel-estimation-propagation-analytics__true-h-f-if-available.csv",".csv",7373,"2026-04-18T20:24:18Z","other_csv","observed",1,1,0
