run_id,direction,ue_id,frame,slot,source_artifact,num_rx_antennas,condition_number_db,selected_beam_index,best_beam_index
1,DL,3,7,7,beamforming/csv/probe_beam_mimo.csv,4,25.5996646277488,2,7
1,DL,5,7,7,beamforming/csv/probe_beam_mimo.csv,4,36.1468778192712,1,28
1,DL,7,7,7,beamforming/csv/probe_beam_mimo.csv,4,39.6397214578325,2,3
1,DL,9,7,7,beamforming/csv/probe_beam_mimo.csv,4,32.2521890650161,2,5
1,DL,14,7,7,beamforming/csv/probe_beam_mimo.csv,4,42.3125278462671,2,9
1,DL,19,7,7,beamforming/csv/probe_beam_mimo.csv,4,25.5597674336453,1,19
1,DL,26,7,7,beamforming/csv/probe_beam_mimo.csv,4,36.7100478080138,1,1
1,DL,27,7,7,beamforming/csv/probe_beam_mimo.csv,4,43.431043229554,1,1
1,DL,43,7,7,beamforming/csv/probe_beam_mimo.csv,4,38.5510903386416,1,1
1,DL,47,7,7,beamforming/csv/probe_beam_mimo.csv,4,38.4071558190686,2,7
1,DL,4,7,7,beamforming/csv/probe_beam_mimo.csv,4,25.6263278631772,2,2
1,DL,6,7,7,beamforming/csv/probe_beam_mimo.csv,4,48.3700499334941,1,29
1,DL,10,7,7,beamforming/csv/probe_beam_mimo.csv,4,32.8357280526636,2,3
1,DL,29,7,7,beamforming/csv/probe_beam_mimo.csv,4,33.5477039287254,1,25
1,DL,35,7,7,beamforming/csv/probe_beam_mimo.csv,4,38.4490506877035,1,32
1,DL,41,7,7,beamforming/csv/probe_beam_mimo.csv,4,31.9372006967163,1,27
1,DL,45,7,7,beamforming/csv/probe_beam_mimo.csv,4,32.7658357249894,1,26
1,DL,50,7,7,beamforming/csv/probe_beam_mimo.csv,4,40.8110270223093,1,21
1,DL,2,7,7,beamforming/csv/probe_beam_mimo.csv,4,30.591952527681,2,8
1,DL,12,7,7,beamforming/csv/probe_beam_mimo.csv,4,31.1516691818791,1,32
1,DL,13,7,7,beamforming/csv/probe_beam_mimo.csv,4,46.5621000651508,2,3
1,DL,15,7,7,beamforming/csv/probe_beam_mimo.csv,4,34.6304940314005,2,12
1,DL,16,7,7,beamforming/csv/probe_beam_mimo.csv,4,27.4026070434529,1,27
1,DL,18,7,7,beamforming/csv/probe_beam_mimo.csv,4,38.8551907646724,2,15
1,DL,23,7,7,beamforming/csv/probe_beam_mimo.csv,4,33.7936029273634,1,1
1,DL,24,7,7,beamforming/csv/probe_beam_mimo.csv,4,32.4248700708007,2,3
1,DL,33,7,7,beamforming/csv/probe_beam_mimo.csv,4,35.4220250745147,1,25
1,DL,34,7,7,beamforming/csv/probe_beam_mimo.csv,4,40.6326396734709,2,9
1,DL,20,7,7,beamforming/csv/probe_beam_mimo.csv,4,32.3159815454042,1,22
1,DL,22,7,7,beamforming/csv/probe_beam_mimo.csv,4,36.6551267811115,2,3
