Direction,SFN,ConfiguredSNR_dB,ConfiguredSNRSource,SNRValueRole,SNR_dB,SystemLevelSINR_dB,SystemLevelSINRSource,SystemLevelSINRValueRole,SystemLevelSINRValueStatus,ReceiverHestSINR_dB,ReceiverHestSINRSource,ReceiverHestSINRValueRole,ReceiverHestSINRValueStatus,ReceiverHestSINRNAReason,DecoderTruthProxySINR_dB,DecoderTruthProxySINRSource,DecoderTruthProxySINRValueRole,DecoderTruthProxySINRValueStatus,DecoderTruthProxySINRNAReason,SINRValueRole,SINRSource,SINRValueStatus,SINRValueDefinition,MeasuredTrialSINR_dB,MeasuredTrialSINRSource,MeasuredTrialSINRValueRole,MeasuredTrialSINRValueStatus,MeasuredTrialSINRNAReason,DopplerHz,DopplerSourceMode,DopplerValueRole,UEID,UEIndex,RNTI,BaseStationID,Frame,Slot,AllocatedPRBCount,PRBStart,Modulation,MCS,MCSIndex,TargetCodeRate,Layers,Rank,WidebandCQI,CQIDerivedMCS,CQIDerivedModulation,CQIDerivedTargetCodeRate,MCSAuthority,ModulationAuthority,GrantOperatingPointSource,AppliedOperatingPointSource,BitErrors,BitsCompared,SymbolErrors,SymbolsCompared,SymbolErrorRate,EVM_rms,LLRMeanAbs,LLRStdAbs,LLRImbalance,Status,ConstellationSamples
DL,7,12,configured_runtime_operating_point_reference,configured_reference_metadata,12,not_applicable,not_applicable,not_applicable,not_applicable,33.0234301387492,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,none,1.90304062096467,post_equalization_evm_proxy,not_applicable,not_applicable,none,estimated,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,33.0234301387492,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,none,11.1188031732717,derive_from_ue_speed,scenario_resolved_metadata,4,4,4,2,7,7,34,0,QPSK,0,0,0.1171875,2,2,15,26,64QAM,0.8525390625,scheduler_grant,scheduler_grant,scheduler_grant,scheduler_grant,0,2472,1451,9792,0.148182189542484,0.803244885503764,22398894699.8207,12261899154.6891,0.00484750812898035,PASS,0
DL,7,12,configured_runtime_operating_point_reference,configured_reference_metadata,12,not_applicable,not_applicable,not_applicable,not_applicable,19.5545488825017,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,none,3.02116456816234,post_equalization_evm_proxy,not_applicable,not_applicable,none,estimated,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,19.5545488825017,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,none,11.1188031732717,derive_from_ue_speed,scenario_resolved_metadata,6,6,6,2,7,7,34,34,QPSK,0,0,0.1171875,2,1,13,24,64QAM,0.75390625,scheduler_grant,scheduler_grant,scheduler_grant,scheduler_grant,0,2472,858,9792,0.0876225490196078,0.706222860474467,26298683531.1645,15943923447.2689,0.00460915024500815,PASS,0
DL,7,12,configured_runtime_operating_point_reference,configured_reference_metadata,12,not_applicable,not_applicable,not_applicable,not_applicable,41.7013738927902,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,none,0.759482653540946,post_equalization_evm_proxy,not_applicable,not_applicable,none,estimated,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,41.7013738927902,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,none,11.1188031732717,derive_from_ue_speed,scenario_resolved_metadata,10,10,10,2,7,7,34,68,QPSK,0,0,0.1171875,2,2,15,26,64QAM,0.8525390625,scheduler_grant,scheduler_grant,scheduler_grant,scheduler_grant,0,2472,1198,9792,0.12234477124183,0.916275063408391,29910148312.5272,22388376449.4069,0.00693609751578324,PASS,0
DL,7,12,configured_runtime_operating_point_reference,configured_reference_metadata,12,not_applicable,not_applicable,not_applicable,not_applicable,29.8683033460894,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,none,2.21809657128827,post_equalization_evm_proxy,not_applicable,not_applicable,none,estimated,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,29.8683033460894,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,none,11.1188031732717,derive_from_ue_speed,scenario_resolved_metadata,29,29,29,2,7,7,34,102,QPSK,0,0,0.1171875,2,2,15,26,64QAM,0.8525390625,scheduler_grant,scheduler_grant,scheduler_grant,scheduler_grant,0,2472,1148,9792,0.117238562091503,0.774631532212727,25361350879.6425,15064448263.5395,0.00261365188122585,PASS,0
DL,7,12,configured_runtime_operating_point_reference,configured_reference_metadata,12,not_applicable,not_applicable,not_applicable,not_applicable,28.1420494366607,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,none,4.3592561064386,post_equalization_evm_proxy,not_applicable,not_applicable,none,estimated,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,28.1420494366607,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,none,11.1188031732717,derive_from_ue_speed,scenario_resolved_metadata,35,35,35,2,7,7,34,136,QPSK,0,0,0.1171875,2,2,15,26,64QAM,0.8525390625,scheduler_grant,scheduler_grant,scheduler_grant,scheduler_grant,0,2472,343,9792,0.0350285947712418,0.605392720734189,29759716023.9094,16725890500.3217,0.0017387457570927,PASS,0
DL,7,12,configured_runtime_operating_point_reference,configured_reference_metadata,12,not_applicable,not_applicable,not_applicable,not_applicable,35.3574129595148,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,none,2.06547886173221,post_equalization_evm_proxy,not_applicable,not_applicable,none,estimated,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,35.3574129595148,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,none,11.1188031732717,derive_from_ue_speed,scenario_resolved_metadata,41,41,41,2,7,7,34,170,QPSK,0,0,0.1171875,2,2,15,26,64QAM,0.8525390625,scheduler_grant,scheduler_grant,scheduler_grant,scheduler_grant,0,2472,1110,9792,0.113357843137255,0.788362679491902,28172852677.3827,19039099228.3502,0.0137668808591851,PASS,0
DL,7,12,configured_runtime_operating_point_reference,configured_reference_metadata,12,not_applicable,not_applicable,not_applicable,not_applicable,20.9533249125383,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,none,3.87350965775216,post_equalization_evm_proxy,not_applicable,not_applicable,none,estimated,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,20.9533249125383,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,none,11.1188031732717,derive_from_ue_speed,scenario_resolved_metadata,45,45,45,2,7,7,34,204,QPSK,0,0,0.1171875,2,1,14,26,64QAM,0.8525390625,scheduler_grant,scheduler_grant,scheduler_grant,scheduler_grant,0,2472,342,9792,0.0349264705882353,0.640213042076583,29382093081.4507,18373661519.7789,0.004210454255769,PASS,0
DL,7,12,configured_runtime_operating_point_reference,configured_reference_metadata,12,not_applicable,not_applicable,not_applicable,not_applicable,40.8969628889655,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,none,3.8944305742093,post_equalization_evm_proxy,not_applicable,not_applicable,none,estimated,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,40.8969628889655,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,none,11.1188031732717,derive_from_ue_speed,scenario_resolved_metadata,50,50,50,2,7,7,34,238,QPSK,0,0,0.1171875,2,2,15,26,64QAM,0.8525390625,scheduler_grant,scheduler_grant,scheduler_grant,scheduler_grant,0,2472,481,9792,0.0491217320261438,0.638672874425524,26519388539.5411,15718419382.176,0.00234900004182664,PASS,0
DL,7,12,configured_runtime_operating_point_reference,configured_reference_metadata,12,not_applicable,not_applicable,not_applicable,not_applicable,34.3141077701394,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,none,4.71030218559028,post_equalization_evm_proxy,not_applicable,not_applicable,none,estimated,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,34.3141077701394,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,none,11.1188031732717,derive_from_ue_speed,scenario_resolved_metadata,2,2,2,3,7,7,27,0,QPSK,0,0,0.1171875,2,2,15,26,64QAM,0.8525390625,scheduler_grant,scheduler_grant,scheduler_grant,scheduler_grant,0,2024,233,7776,0.0299639917695473,0.581413204357603,27275939096.5062,15572859654.9946,0.00104093058420821,PASS,0
DL,7,12,configured_runtime_operating_point_reference,configured_reference_metadata,12,not_applicable,not_applicable,not_applicable,not_applicable,62.7096763861151,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,none,-0.481992458059692,post_equalization_evm_proxy,not_applicable,not_applicable,none,estimated,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,62.7096763861151,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,none,11.1188031732717,derive_from_ue_speed,scenario_resolved_metadata,12,12,12,3,7,7,27,27,QPSK,0,0,0.1171875,2,2,15,26,64QAM,0.8525390625,scheduler_grant,scheduler_grant,scheduler_grant,scheduler_grant,0,2024,1318,7776,0.169495884773663,1.05705996061236,26304722660.2068,18670956050.6556,0.000843808479385617,PASS,0
