File,IssueCount,IssueTokens,Status,AllowedDisclosureCount,ScannedValueCount
C:\Users\Administrator\AppData\Local\Temp\2\sixgr_mysql_web_runs\lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot\webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900\reports\csv\runtime_operating_mode.csv,0,not_applicable,ok,0,193
C:\Users\Administrator\AppData\Local\Temp\2\sixgr_mysql_web_runs\lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot\webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900\reports\csv\live_channel_state_tti.csv,0,not_applicable,ok,246,38856
C:\Users\Administrator\AppData\Local\Temp\2\sixgr_mysql_web_runs\lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot\webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900\reports\csv\live_rsrp_serving_trace.csv,0,not_applicable,ok,246,11808
C:\Users\Administrator\AppData\Local\Temp\2\sixgr_mysql_web_runs\lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot\webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900\air_interface\csv\lls_kpi_summary.csv,0,not_applicable,ok,0,74
C:\Users\Administrator\AppData\Local\Temp\2\sixgr_mysql_web_runs\lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot\webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900\air_interface\csv\lls_snr_sweep.csv,0,not_applicable,ok,0,41
C:\Users\Administrator\AppData\Local\Temp\2\sixgr_mysql_web_runs\lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot\webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900\air_interface\csv\dl_pdsch_trials.csv,0,not_applicable,ok,150,48428
C:\Users\Administrator\AppData\Local\Temp\2\sixgr_mysql_web_runs\lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot\webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900\air_interface\csv\ul_pusch_trials.csv,0,not_applicable,ok,96,31535
C:\Users\Administrator\AppData\Local\Temp\2\sixgr_mysql_web_runs\lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot\webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900\air_interface\csv\pbch_trials.csv,0,not_applicable,ok,0,4250
C:\Users\Administrator\AppData\Local\Temp\2\sixgr_mysql_web_runs\lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot\webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900\air_interface\csv\prach_trials.csv,0,not_applicable,ok,0,3750
C:\Users\Administrator\AppData\Local\Temp\2\sixgr_mysql_web_runs\lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot\webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900\air_interface\csv\pdcch_trials.csv,0,not_applicable,ok,0,24302
