ue_id,throughput_mbps,mean_sinr_db,mean_bler,mean_queue_bits,analytics_scope,run_id,run_tag,scenario_id,scenario_variant_id,config_hash,code_commit,seed,drop_id,timestamp_sim_ms,frame,slot,symbol,site_id,sector_id,cell_id,direction,bwp_id,carrier_id,beam_id,layer_id,stream_id,harq_id,block_id,pipeline_id,producer_module,status_code,status_classification,source_artifact_ref,source_tensor_ref,derived_flag,active_flag
2,1.34933333333333,18.5573146313179,0.833333333333333,413252,"edge_zone_runtime_summary_from_waveform_coverage",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable",NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildCellEdgeAnalyticsTable","implemented","runtime_summary_slice","reports/csv/live_coverage_layer.csv|reports/csv/live_user_performance_snapshot.csv|air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv","not_applicable",1,1
7,2.69866666666667,33.3941416291566,0.666666666666667,425820,"edge_zone_runtime_summary_from_waveform_coverage",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable",NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildCellEdgeAnalyticsTable","implemented","runtime_summary_slice","reports/csv/live_coverage_layer.csv|reports/csv/live_user_performance_snapshot.csv|air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv","not_applicable",1,1
8,2.34666666666667,16.212839909176,0.5,427538.4,"edge_zone_runtime_summary_from_waveform_coverage",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable",NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildCellEdgeAnalyticsTable","implemented","runtime_summary_slice","reports/csv/live_coverage_layer.csv|reports/csv/live_user_performance_snapshot.csv|air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv","not_applicable",1,1
9,1.68533333333333,27.6720212243621,0.666666666666667,425479.2,"edge_zone_runtime_summary_from_waveform_coverage",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable",NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildCellEdgeAnalyticsTable","implemented","runtime_summary_slice","reports/csv/live_coverage_layer.csv|reports/csv/live_user_performance_snapshot.csv|air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv","not_applicable",1,1
11,2.05866666666667,27.0596444620701,0.666666666666667,426664.8,"edge_zone_runtime_summary_from_waveform_coverage",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable",NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildCellEdgeAnalyticsTable","implemented","runtime_summary_slice","reports/csv/live_coverage_layer.csv|reports/csv/live_user_performance_snapshot.csv|air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv","not_applicable",1,1
16,3.03466666666667,17.6226958083312,0.5,426759.2,"edge_zone_runtime_summary_from_waveform_coverage",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable",NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildCellEdgeAnalyticsTable","implemented","runtime_summary_slice","reports/csv/live_coverage_layer.csv|reports/csv/live_user_performance_snapshot.csv|air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv","not_applicable",1,1
17,2.05866666666667,23.1739759126112,0.666666666666667,427083.2,"edge_zone_runtime_summary_from_waveform_coverage",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable",NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildCellEdgeAnalyticsTable","implemented","runtime_summary_slice","reports/csv/live_coverage_layer.csv|reports/csv/live_user_performance_snapshot.csv|air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv","not_applicable",1,1
20,3.24266666666667,20.1438210780505,0.5,426654.4,"edge_zone_runtime_summary_from_waveform_coverage",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable",NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildCellEdgeAnalyticsTable","implemented","runtime_summary_slice","reports/csv/live_coverage_layer.csv|reports/csv/live_user_performance_snapshot.csv|air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv","not_applicable",1,1
33,3.03466666666667,18.5199039112123,0.5,426759.2,"edge_zone_runtime_summary_from_waveform_coverage",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable",NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildCellEdgeAnalyticsTable","implemented","runtime_summary_slice","reports/csv/live_coverage_layer.csv|reports/csv/live_user_performance_snapshot.csv|air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv","not_applicable",1,1
34,1.34933333333333,34.0617243114394,0.833333333333333,412603.2,"edge_zone_runtime_summary_from_waveform_coverage",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable",NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildCellEdgeAnalyticsTable","implemented","runtime_summary_slice","reports/csv/live_coverage_layer.csv|reports/csv/live_user_performance_snapshot.csv|air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv","not_applicable",1,1
