Frame,Slot,SNR_dB,DetectionMetric,ComputeLatency_ms,AirInterfaceObservation_ms,TimingError_samples,Status,Notes,SourceArtifact
1,7,12,1,20.7968,0.5,0.0575539568344539,"PASS","DetectedIdx=40; carrier_slot=6","air_interface/csv/prach_trials.csv"
1,7,12,1,29.7355,0.5,0.0719424460430673,"PASS","DetectedIdx=41; carrier_slot=6","air_interface/csv/prach_trials.csv"
1,7,12,1,21.7482,0.5,0.0863309352516808,"PASS","DetectedIdx=42; carrier_slot=6","air_interface/csv/prach_trials.csv"
1,7,12,1,20.0999,0.5,0.100719424460408,"PASS","DetectedIdx=43; carrier_slot=6","air_interface/csv/prach_trials.csv"
1,7,12,1,20.7019,0.5,0.115107913669021,"PASS","DetectedIdx=44; carrier_slot=6","air_interface/csv/prach_trials.csv"
1,7,12,1,19.8644,0.5,0,"PASS","DetectedIdx=45; carrier_slot=6","air_interface/csv/prach_trials.csv"
1,7,12,1,22.2829,0.5,0.0143884892086135,"PASS","DetectedIdx=46; carrier_slot=6","air_interface/csv/prach_trials.csv"
1,7,12,1,19.5751,0.5,0.0287769784172269,"PASS","DetectedIdx=47; carrier_slot=6","air_interface/csv/prach_trials.csv"
1,7,12,1,20.6845,0.5,0.0431654676258404,"PASS","DetectedIdx=48; carrier_slot=6","air_interface/csv/prach_trials.csv"
1,7,12,1,20.194,0.5,0.0575539568344539,"PASS","DetectedIdx=49; carrier_slot=6","air_interface/csv/prach_trials.csv"
