run_id,ue_id,dominant_state,state_sample_count,active_samples,sleep_samples,idle_samples,source_artifact
1,3,active_tx,26,0,0,0,rf/csv/energy_timeline_trace.csv
1,5,active_tx,24,0,0,0,rf/csv/energy_timeline_trace.csv
1,7,active_tx,26,0,0,0,rf/csv/energy_timeline_trace.csv
1,9,active_tx,24,0,0,0,rf/csv/energy_timeline_trace.csv
1,14,active_tx,26,0,0,0,rf/csv/energy_timeline_trace.csv
1,19,active_tx,26,0,0,0,rf/csv/energy_timeline_trace.csv
1,26,active_tx,26,0,0,0,rf/csv/energy_timeline_trace.csv
1,27,active_tx,26,0,0,0,rf/csv/energy_timeline_trace.csv
1,43,active_tx,26,0,0,0,rf/csv/energy_timeline_trace.csv
1,47,active_tx,26,0,0,0,rf/csv/energy_timeline_trace.csv
1,4,active_tx,26,0,0,0,rf/csv/energy_timeline_trace.csv
1,6,active_tx,26,0,0,0,rf/csv/energy_timeline_trace.csv
1,10,active_tx,26,0,0,0,rf/csv/energy_timeline_trace.csv
1,29,active_tx,24,0,0,0,rf/csv/energy_timeline_trace.csv
1,35,active_tx,26,0,0,0,rf/csv/energy_timeline_trace.csv
1,41,active_tx,24,0,0,0,rf/csv/energy_timeline_trace.csv
1,45,active_tx,24,0,0,0,rf/csv/energy_timeline_trace.csv
1,50,active_tx,26,0,0,0,rf/csv/energy_timeline_trace.csv
1,2,active_tx,26,0,0,0,rf/csv/energy_timeline_trace.csv
1,12,active_tx,26,0,0,0,rf/csv/energy_timeline_trace.csv
1,13,active_tx,24,0,0,0,rf/csv/energy_timeline_trace.csv
1,15,active_tx,26,0,0,0,rf/csv/energy_timeline_trace.csv
1,16,active_tx,26,0,0,0,rf/csv/energy_timeline_trace.csv
1,18,active_tx,26,0,0,0,rf/csv/energy_timeline_trace.csv
1,23,active_tx,26,0,0,0,rf/csv/energy_timeline_trace.csv
1,24,active_tx,26,0,0,0,rf/csv/energy_timeline_trace.csv
1,33,active_tx,24,0,0,0,rf/csv/energy_timeline_trace.csv
1,34,active_tx,26,0,0,0,rf/csv/energy_timeline_trace.csv
1,20,active_tx,26,0,0,0,rf/csv/energy_timeline_trace.csv
1,22,active_tx,26,0,0,0,rf/csv/energy_timeline_trace.csv
1,32,active_tx,26,0,0,0,rf/csv/energy_timeline_trace.csv
1,37,active_tx,24,0,0,0,rf/csv/energy_timeline_trace.csv
1,38,active_tx,26,0,0,0,rf/csv/energy_timeline_trace.csv
1,40,active_tx,26,0,0,0,rf/csv/energy_timeline_trace.csv
1,42,active_tx,26,0,0,0,rf/csv/energy_timeline_trace.csv
1,44,active_tx,26,0,0,0,rf/csv/energy_timeline_trace.csv
1,49,active_tx,24,0,0,0,rf/csv/energy_timeline_trace.csv
1,1,active_tx,24,0,0,0,rf/csv/energy_timeline_trace.csv
1,8,active_tx,26,0,0,0,rf/csv/energy_timeline_trace.csv
1,11,active_tx,26,0,0,0,rf/csv/energy_timeline_trace.csv
1,17,active_tx,24,0,0,0,rf/csv/energy_timeline_trace.csv
1,21,active_tx,24,0,0,0,rf/csv/energy_timeline_trace.csv
1,25,active_tx,24,0,0,0,rf/csv/energy_timeline_trace.csv
1,28,active_tx,26,0,0,0,rf/csv/energy_timeline_trace.csv
1,30,active_tx,26,0,0,0,rf/csv/energy_timeline_trace.csv
1,31,active_tx,26,0,0,0,rf/csv/energy_timeline_trace.csv
1,36,active_tx,26,0,0,0,rf/csv/energy_timeline_trace.csv
1,39,active_tx,26,0,0,0,rf/csv/energy_timeline_trace.csv
1,46,active_tx,18,0,0,0,rf/csv/energy_timeline_trace.csv
1,48,active_tx,18,0,0,0,rf/csv/energy_timeline_trace.csv
