ParameterName,Category,DBSnapshotValue,DBLogicalPath,ExportedCSVLogicalPath,ExportedCSVValue,BrowserPayloadField,BrowserDisplayedValue,ConsistencyStatus,BrowserVisible,RuntimeConsumer,ConsistencyNotes
deployment_topology.layout_type,topology,hex_grid,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,hex_grid,runtime_context.roundtrip_artifacts.config_roundtrip_verification,hex_grid,consistent,1,buildInternalConfig.localApplyDeploymentTopology -> cfg.scenario.geometry.deployment,semantic_alias_resolved_by_runtime_normalizer
deployment_topology.inter_site_distance,topology,600,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,600,runtime_context.roundtrip_artifacts.config_roundtrip_verification,600,consistent,1,buildInternalConfig.localApplyDeploymentTopology -> cfg.scenario.layout.interSiteDistance_m,
deployment_topology.num_sites,topology,5,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,5,runtime_context.roundtrip_artifacts.config_roundtrip_verification,5,consistent,1,buildInternalConfig.localApplyDeploymentTopology -> cfg.scenario.layout.nSites,
deployment_topology.num_cells,topology,5,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,5,runtime_context.roundtrip_artifacts.config_roundtrip_verification,5,consistent,1,buildInternalConfig.localApplyDeploymentTopology -> runtime cell layout sizing,
deployment_topology.num_ues,topology,50,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,50,runtime_context.roundtrip_artifacts.config_roundtrip_verification,50,consistent,1,buildInternalConfig -> cfg.scenario.ue.nUE,
deployment_topology.num_trps,topology,5,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,5,runtime_context.roundtrip_artifacts.config_roundtrip_verification,5,consistent,1,buildInternalConfig -> runtime TRP count / beam-management topology,
frequency.center_frequency_hz,radio_timing,4000000000,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,4000000000,runtime_context.roundtrip_artifacts.config_roundtrip_verification,4000000000,consistent,1,buildInternalConfig -> cfg.channel.fc_Hz,
frequency.bandwidth_hz,radio_timing,100000000,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,100000000,runtime_context.roundtrip_artifacts.config_roundtrip_verification,100000000,consistent,1,buildInternalConfig -> cfg.channel.bandwidth_Hz,
frequency.n_size_grid,radio_timing,273,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,273,runtime_context.roundtrip_artifacts.config_roundtrip_verification,273,consistent,1,buildInternalConfig -> cfg.phy.numerology.configuredGridNumRBs,
frame.scs_khz,radio_timing,30,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,30,runtime_context.roundtrip_artifacts.config_roundtrip_verification,30,consistent,1,buildInternalConfig -> cfg.phy.carrier.SubcarrierSpacing_kHz,
frequency.duplex_mode,radio_timing,TDD,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,TDD,runtime_context.roundtrip_artifacts.config_roundtrip_verification,TDD,consistent,1,buildInternalConfig -> cfg.phy.duplex.mode,
frame.cp_type,radio_timing,normal,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,normal,runtime_context.roundtrip_artifacts.config_roundtrip_verification,normal,consistent,1,buildInternalConfig -> cfg.phy.carrier.CyclicPrefix,
frame.tdd_pattern,radio_timing,DDDSU,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,DDDSU,runtime_context.roundtrip_artifacts.config_roundtrip_verification,DDDSU,consistent,1,buildInternalConfig -> cfg.phy.duplex.tddPattern,
mobility.ue_speed_kmh,mobility,3,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,3,runtime_context.roundtrip_artifacts.config_roundtrip_verification,3,consistent,1,buildInternalConfig -> cfg.scenario.mobility.speed_kmh,
mobility.trajectory_model,mobility,randomWaypoint,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,randomWaypoint,runtime_context.roundtrip_artifacts.config_roundtrip_verification,randomWaypoint,consistent,1,buildInternalConfig -> cfg.scenario.mobility.model,
mobility.update_period_s,mobility,0.0005,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,0.0005,runtime_context.roundtrip_artifacts.config_roundtrip_verification,0.0005,consistent,1,buildInternalConfig -> cfg.scenario.mobility.updatePeriod_s,
mobility.zigzag_segment_duration_s,mobility,0.0025,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,0.0025,runtime_context.roundtrip_artifacts.config_roundtrip_verification,0.0025,consistent,1,buildInternalConfig -> cfg.scenario.mobility.zigzagSegmentDuration_s,
mobility.zigzag_turn_angle_deg,mobility,35,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,35,runtime_context.roundtrip_artifacts.config_roundtrip_verification,35,consistent,1,buildInternalConfig -> cfg.scenario.mobility.zigzagTurnAngle_deg,
mimo.n_tx_ant,antenna,64,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,64,runtime_context.roundtrip_artifacts.config_roundtrip_verification,64,consistent,1,buildInternalConfig -> cfg.scenario.bs.nTxAnt,
mimo.n_rx_ant,antenna,4,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,4,runtime_context.roundtrip_artifacts.config_roundtrip_verification,4,consistent,1,buildInternalConfig -> cfg.scenario.ue.nRxAnt,
mimo.n_layers,antenna,2,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,2,runtime_context.roundtrip_artifacts.config_roundtrip_verification,2,consistent,1,buildInternalConfig -> cfg.phy.pdsch.nLayers / cfg.phy.pusch.nLayers,
antenna_and_array.bs_array_geometry,antenna,ura,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,ura,runtime_context.roundtrip_artifacts.config_roundtrip_verification,ura,consistent,1,buildInternalConfig.localApplyRuntimeAntennaConfig -> BS runtime array geometry,
antenna_and_array.ue_array_geometry,antenna,ula,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,ula,runtime_context.roundtrip_artifacts.config_roundtrip_verification,ula,consistent,1,buildInternalConfig.localApplyRuntimeAntennaConfig -> UE runtime array geometry,
antenna_and_array.bs_num_antenna_elements,antenna,64,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,64,runtime_context.roundtrip_artifacts.config_roundtrip_verification,64,consistent,1,buildInternalConfig.localApplyRuntimeAntennaConfig -> BS runtime array element count,
antenna_and_array.ue_num_antenna_elements,antenna,4,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,4,runtime_context.roundtrip_artifacts.config_roundtrip_verification,4,consistent,1,buildInternalConfig.localApplyRuntimeAntennaConfig -> UE runtime array element count,
antenna_and_array.element_spacing_h,antenna,0.5,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,0.5,runtime_context.roundtrip_artifacts.config_roundtrip_verification,0.5,consistent,1,buildInternalConfig.localApplyRuntimeAntennaConfig -> BS/UE runtime spacingLambda,
antenna_and_array.element_spacing_v,antenna,0.5,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,0.5,runtime_context.roundtrip_artifacts.config_roundtrip_verification,0.5,consistent,1,buildInternalConfig.localApplyRuntimeAntennaConfig -> BS/UE runtime spacingLambda,
antenna_and_array.polarization,antenna,cross,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,cross,runtime_context.roundtrip_artifacts.config_roundtrip_verification,cross,consistent,1,buildInternalConfig.localApplyRuntimeAntennaConfig -> runtime polarization,runtime_evidence_diverges_from_resolved_runtime_value
mimo.beam_count,antenna,32,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,32,runtime_context.roundtrip_artifacts.config_roundtrip_verification,32,consistent,1,buildInternalConfig -> cfg.phy.beamManagement.beamCount,
channels.model_type,channel,CDL,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,CDL,runtime_context.roundtrip_artifacts.config_roundtrip_verification,CDL,consistent,1,buildInternalConfig -> cfg.channel.model,runtime_evidence_diverges_from_resolved_runtime_value
channels.profile,channel,CDL-D,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,CDL-D,runtime_context.roundtrip_artifacts.config_roundtrip_verification,CDL-D,consistent,1,buildInternalConfig -> concrete delay/fading profile,
channels.delay_spread_ns,channel,300,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,300,runtime_context.roundtrip_artifacts.config_roundtrip_verification,300,consistent,1,buildInternalConfig -> cfg.channel.fading.delaySpread_s,
channels.pathloss_enabled,channel,1,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,1,runtime_context.roundtrip_artifacts.config_roundtrip_verification,1,consistent,1,buildInternalConfig -> cfg.channel.pathlossEnabled,
channels.shadow_fading_enabled,channel,1,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,1,runtime_context.roundtrip_artifacts.config_roundtrip_verification,1,consistent,1,buildInternalConfig -> cfg.channel.shadowFadingEnabled,
