Slot,Time_s,UEID,Lat,Lon,X_m,Y_m,Z_m,Speed_kmh,Heading_deg,ServingCell,ServingSite,ServingSector,ServingBeamIndex,ServingBeamGain_dB,ConfiguredSNR_dB,ConfiguredSNRSource,ServingRSRP_dBm,RSRP_dBm,RxPower_dBm,Pathloss_dB,LOSFlag,ShadowFading_dB,O2I_dB,ReceiverHestSINR_dB,ReceiverHestSINRSource,DecoderTruthProxySINR_dB,DecoderTruthProxySINRSource,MeasuredTrialSINR_dB,EstimatedWidebandSINR_dB,ReceiverHestWidebandSINR_dB,DecoderTruthProxyWidebandSINR_dB,MeasuredWidebandSINR_dB,LargeScaleWidebandSINR_dB,LargeScaleSINR_dB,CSI_RSRP_dB,CSI_RSRPSource,AppliedLargeScaleGain_dB,RSRPSource,ServingRSRPSource,WidebandSINRSource,WidebandSINRValueRole,InterferenceMode,WidebandCQI,CQIDerivedMCS,CQIDerivedModulation,CQIDerivedTargetCodeRate,CoverageScore
7,0.003,3,19.1223993510419,73.0003590057339,120.112718031661,26.1995502722611,1.5,3,245.147969228431,1,1,1,20,13.2581546942391,12,"configured_runtime_operating_point_reference",-77.5756436607845,-77.5756436607845,-42.4222047299006,101.68035942414,0,-5.87024368660654,0,39.4446903754184,"receiver_hest_csi_feedback_wideband_effective_sinr",0.856272333601085,"post_equalization_evm_proxy",39.4446903754184,39.4446903754184,39.4446903754184,0.856272333601085,39.4446903754184,29.4605359402932,29.4605359402932,-100.67940131757,"received_reference_signal_power",-101.68035942414,"large_scale_serving_reference_signal","large_scale_serving_reference_signal","receiver_hest_csi_feedback_wideband_effective_sinr","estimated","none",15,26,"64QAM",0.8525390625,0.987175705261743
7,0.003,5,19.1209629668765,73.0010424741355,191.99953152812,-133.697393803515,1.5,3,157.080638069346,1,1,1,7,12.2247924641767,12,"configured_runtime_operating_point_reference",-96.4942067195256,-96.4942067195256,-61.3407677886417,119.565560252818,0,1.31282431900106,0,20.8696184745171,"receiver_hest_csi_feedback_wideband_effective_sinr",4.16835942231664,"post_equalization_evm_proxy",20.8696184745171,20.8696184745171,20.8696184745171,4.16835942231664,20.8696184745171,9.24062623969157,9.24062623969157,-116.498868323982,"received_reference_signal_power",-119.565560252818,"large_scale_serving_reference_signal","large_scale_serving_reference_signal","receiver_hest_csi_feedback_wideband_effective_sinr","estimated","none",14,26,"64QAM",0.8525390625,0.800019906895015
7,0.003,7,19.1212919036312,72.9995858668519,38.7965627260921,-97.0812827901199,1.5,3,171.203462336551,1,1,1,1,-16,12,"configured_runtime_operating_point_reference",-92.8605448894889,-92.8605448894889,-57.7071059586051,87.7071059586051,1,3.00559359226295,0,24.3222700113384,"receiver_hest_csi_feedback_wideband_effective_sinr",6.29321641287066,"post_equalization_evm_proxy",24.3222700113384,24.3222700113384,24.3222700113384,6.29321641287066,24.3222700113384,15.8308344794288,15.8308344794288,-85.5166928614586,"received_reference_signal_power",-87.7071059586051,"large_scale_serving_reference_signal","large_scale_serving_reference_signal","receiver_hest_csi_feedback_wideband_effective_sinr","estimated","none",15,26,"64QAM",0.8525390625,0.87038113614069
7,0.003,9,19.1194399683609,73.0024949304309,344.769008062157,-303.234584409697,1.5,3,135.692745188389,1,1,1,6,13.7731699480001,12,"configured_runtime_operating_point_reference",-104.852923959096,-104.852923959096,-69.6994850282119,129.472654976212,0,-0.159887695995466,0,12.610368303274,"receiver_hest_csi_feedback_wideband_effective_sinr",4.2297641234564,"post_equalization_evm_proxy",12.610368303274,12.610368303274,12.610368303274,4.2297641234564,12.610368303274,11.4148938985053,11.4148938985053,-128.675537683259,"received_reference_signal_power",-129.472654976212,"large_scale_serving_reference_signal","large_scale_serving_reference_signal","receiver_hest_csi_feedback_wideband_effective_sinr","estimated","none",10,18,"64QAM",0.455078125,0.596066515296877
7,0.003,14,19.1214345880343,72.9994994349317,29.7058275230384,-81.1977446120743,1.5,3,45.3386447814844,1,1,1,1,-16,12,"configured_runtime_operating_point_reference",-107.5466636194,-107.5466636194,-72.3932246885165,102.393224688516,0,0.516185793409846,0,9.433347041507,"receiver_hest_csi_feedback_wideband_effective_sinr",2.60329211964468,"post_equalization_evm_proxy",9.433347041507,9.433347041507,9.433347041507,2.60329211964468,9.433347041507,5.90359887972013,5.90359887972013,-100.346206897436,"received_reference_signal_power",-102.393224688516,"large_scale_serving_reference_signal","large_scale_serving_reference_signal","receiver_hest_csi_feedback_wideband_effective_sinr","estimated","none",8,13,"16QAM",0.478515625,0.523016092046153
7,0.003,19,19.122724474416,73.0002070163532,104.126728604735,62.3920212857618,1.5,3,196.980025245337,1,1,1,24,12.2719408589048,12,"configured_runtime_operating_point_reference",-86.4346730482329,-86.4346730482329,-51.2812341173491,109.553174976254,0,2.20999263211836,0,30.6545767848233,"receiver_hest_csi_feedback_wideband_effective_sinr",7.1462394572057,"post_equalization_evm_proxy",30.6545767848233,30.6545767848233,30.6545767848233,7.1462394572057,30.6545767848233,14.4209846616062,14.4209846616062,-107.09630689643,"received_reference_signal_power",-109.553174976254,"large_scale_serving_reference_signal","large_scale_serving_reference_signal","receiver_hest_csi_feedback_wideband_effective_sinr","estimated","none",15,26,"64QAM",0.8525390625,0.947800889570429
7,0.003,26,19.1211241484241,73.0005424373571,139.406578533676,-115.755219721791,1.5,3,11.0749909189728,1,1,1,6,13.5752729884853,12,"configured_runtime_operating_point_reference",-88.8893641856281,-88.8893641856281,-53.7359252547443,113.31119824323,0,-0.660328772805113,0,28.3572433635823,"receiver_hest_csi_feedback_wideband_effective_sinr",1.10104322884435,"post_equalization_evm_proxy",28.3572433635823,28.3572433635823,28.3572433635823,1.10104322884435,28.3572433635823,17.5718560078711,17.5718560078711,-112.759483128893,"received_reference_signal_power",-113.31119824323,"large_scale_serving_reference_signal","large_scale_serving_reference_signal","receiver_hest_csi_feedback_wideband_effective_sinr","estimated","none",15,26,"64QAM",0.8525390625,0.924902939988131
7,0.003,27,19.1234219312846,73.0052188044362,631.247778733641,140.043100848045,1.5,3,86.4355836659238,1,1,1,20,13.4809243273273,12,"configured_runtime_operating_point_reference",-109.638765289707,-109.638765289707,-74.4853263588235,133.966250686151,0,-1.46567183979933,0,7.40219237435299,"receiver_hest_csi_feedback_wideband_effective_sinr",3.48178754946608,"post_equalization_evm_proxy",7.40219237435299,7.40219237435299,7.40219237435299,3.48178754946608,7.40219237435299,3.82560628960549,3.82560628960549,-132.69084794182,"received_reference_signal_power",-133.966250686151,"large_scale_serving_reference_signal","large_scale_serving_reference_signal","receiver_hest_csi_feedback_wideband_effective_sinr","estimated","none",6,8,"QPSK",0.587890625,0.466337043144397
7,0.003,43,19.1220783240426,73.0005806043383,143.420069360247,-9.536844880844,1.5,3,149.762424580282,1,1,1,16,12.3232878738553,12,"configured_runtime_operating_point_reference",-87.3193634421714,-87.3193634421714,-52.1659245112876,110.489212385143,0,0.366314804893553,0,29.4463451626909,"receiver_hest_csi_feedback_wideband_effective_sinr",0.741854596380784,"post_equalization_evm_proxy",29.4463451626909,29.4463451626909,29.4463451626909,0.741854596380784,29.4463451626909,25.2630841564956,25.2630841564956,-110.294318842709,"received_reference_signal_power",-110.489212385143,"large_scale_serving_reference_signal","large_scale_serving_reference_signal","receiver_hest_csi_feedback_wideband_effective_sinr","estimated","none",15,26,"64QAM",0.8525390625,0.940344694674145
7,0.003,47,19.1224638213221,72.9998733134752,69.0290445053879,33.3760864211788,1.5,3,303.806315445523,1,1,1,23,13.8012611554087,12,"configured_runtime_operating_point_reference",-63.5841348696648,-63.5841348696648,-28.430695938781,88.2319570941897,1,6.29954187087415,0,53.7321356145399,"receiver_hest_csi_feedback_wideband_effective_sinr",2.04670569180836,"post_equalization_evm_proxy",53.7321356145399,53.7321356145399,53.7321356145399,2.04670569180836,53.7321356145399,38.7781649240913,38.7781649240913,-87.0339342676515,"received_reference_signal_power",-88.2319570941897,"large_scale_serving_reference_signal","large_scale_serving_reference_signal","receiver_hest_csi_feedback_wideband_effective_sinr","estimated","none",15,26,"64QAM",0.8525390625,0.998730066511239
