frame,slot,decision_id,decision_scope,candidate_decision_rows_available,decision_truth_status,direction,cell_id,ue_id,grant_reason,selected_flag,rejected_flag,prb_start,prb_count,symbol_start,num_symbols,mcs_index,wideband_cqi,target_code_rate,tbs_bits,harq_id,rv,ndi,is_retransmission,source_artifact_ref,run_id,run_tag,scenario_id,scenario_variant_id,config_hash,code_commit,seed,beam_id,block_id,pipeline_id,producer_module,status_code,status_classification,source_tensor_ref,derived_flag,active_flag
1,7,DL_grant_1,selected_grant_only,0,selected_grant_runtime_truth,DL,1,3,new_data_pf,1,0,0,27,0,14,0,15,0.1171875,2024,0,0,1,0,packet_flow/csv/live_dl_scheduler_grants.csv,1,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,2756cfb,104729,not_recorded_by_active_table_scheduler_decision_runtime,not_applicable,not_applicable,sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildSchedulerDecisionTable,implemented,selected_grant_runtime_truth,not_applicable,0,1
1,7,DL_grant_2,selected_grant_only,0,selected_grant_runtime_truth,DL,1,5,new_data_pf,1,0,27,27,0,14,0,15,0.1171875,2024,0,0,1,0,packet_flow/csv/live_dl_scheduler_grants.csv,1,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,2756cfb,104729,not_recorded_by_active_table_scheduler_decision_runtime,not_applicable,not_applicable,sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildSchedulerDecisionTable,implemented,selected_grant_runtime_truth,not_applicable,0,1
1,7,DL_grant_3,selected_grant_only,0,selected_grant_runtime_truth,DL,1,7,new_data_pf,1,0,54,27,0,14,0,15,0.1171875,2024,0,0,1,0,packet_flow/csv/live_dl_scheduler_grants.csv,1,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,2756cfb,104729,not_recorded_by_active_table_scheduler_decision_runtime,not_applicable,not_applicable,sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildSchedulerDecisionTable,implemented,selected_grant_runtime_truth,not_applicable,0,1
1,7,DL_grant_4,selected_grant_only,0,selected_grant_runtime_truth,DL,1,9,new_data_pf,1,0,81,27,0,14,0,15,0.1171875,2024,0,0,1,0,packet_flow/csv/live_dl_scheduler_grants.csv,1,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,2756cfb,104729,not_recorded_by_active_table_scheduler_decision_runtime,not_applicable,not_applicable,sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildSchedulerDecisionTable,implemented,selected_grant_runtime_truth,not_applicable,0,1
1,7,DL_grant_5,selected_grant_only,0,selected_grant_runtime_truth,DL,1,14,new_data_pf,1,0,108,27,0,14,0,15,0.1171875,2024,0,0,1,0,packet_flow/csv/live_dl_scheduler_grants.csv,1,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,2756cfb,104729,not_recorded_by_active_table_scheduler_decision_runtime,not_applicable,not_applicable,sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildSchedulerDecisionTable,implemented,selected_grant_runtime_truth,not_applicable,0,1
1,7,DL_grant_6,selected_grant_only,0,selected_grant_runtime_truth,DL,1,19,new_data_pf,1,0,135,27,0,14,0,15,0.1171875,2024,0,0,1,0,packet_flow/csv/live_dl_scheduler_grants.csv,1,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,2756cfb,104729,not_recorded_by_active_table_scheduler_decision_runtime,not_applicable,not_applicable,sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildSchedulerDecisionTable,implemented,selected_grant_runtime_truth,not_applicable,0,1
1,7,DL_grant_7,selected_grant_only,0,selected_grant_runtime_truth,DL,1,26,new_data_pf,1,0,162,27,0,14,0,15,0.1171875,2024,0,0,1,0,packet_flow/csv/live_dl_scheduler_grants.csv,1,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,2756cfb,104729,not_recorded_by_active_table_scheduler_decision_runtime,not_applicable,not_applicable,sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildSchedulerDecisionTable,implemented,selected_grant_runtime_truth,not_applicable,0,1
1,7,DL_grant_8,selected_grant_only,0,selected_grant_runtime_truth,DL,1,27,new_data_pf,1,0,189,27,0,14,0,15,0.1171875,2024,0,0,1,0,packet_flow/csv/live_dl_scheduler_grants.csv,1,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,2756cfb,104729,not_recorded_by_active_table_scheduler_decision_runtime,not_applicable,not_applicable,sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildSchedulerDecisionTable,implemented,selected_grant_runtime_truth,not_applicable,0,1
1,7,DL_grant_9,selected_grant_only,0,selected_grant_runtime_truth,DL,1,43,new_data_pf,1,0,216,27,0,14,0,15,0.1171875,2024,0,0,1,0,packet_flow/csv/live_dl_scheduler_grants.csv,1,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,2756cfb,104729,not_recorded_by_active_table_scheduler_decision_runtime,not_applicable,not_applicable,sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildSchedulerDecisionTable,implemented,selected_grant_runtime_truth,not_applicable,0,1
1,7,DL_grant_10,selected_grant_only,0,selected_grant_runtime_truth,DL,1,47,new_data_pf,1,0,243,27,0,14,0,15,0.1171875,2024,0,0,1,0,packet_flow/csv/live_dl_scheduler_grants.csv,1,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,2756cfb,104729,not_recorded_by_active_table_scheduler_decision_runtime,not_applicable,not_applicable,sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildSchedulerDecisionTable,implemented,selected_grant_runtime_truth,not_applicable,0,1
