issue_id,severity,issue_category,direction,ue_id,cell_id,window_start_ms,window_end_ms,anomaly_metric,anomaly_evidence,source_artifact_ref,run_id,run_tag,scenario_id,scenario_variant_id,config_hash,code_commit,seed,drop_id,timestamp_sim_ms,frame,slot,symbol,site_id,sector_id,bwp_id,carrier_id,beam_id,layer_id,stream_id,harq_id,block_id,pipeline_id,producer_module,status_code,status_classification,source_tensor_ref,derived_flag,active_flag
"low_sinr_window_11","medium","channel_interference","BIDIR",3,1,NaN,NaN,"HARQFailureRate","0.58333","reports/csv/live_coverage_layer.csv|reports/csv/live_user_performance_snapshot.csv",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildAnomalyWindowTable","implemented","derived_issue_windows","not_applicable",1,1
"low_sinr_window_12","medium","channel_interference","BIDIR",42,4,NaN,NaN,"HARQFailureRate","0.58333","reports/csv/live_coverage_layer.csv|reports/csv/live_user_performance_snapshot.csv",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildAnomalyWindowTable","implemented","derived_issue_windows","not_applicable",1,1
"low_sinr_window_13","medium","channel_interference","BIDIR",1,5,NaN,NaN,"HARQFailureRate","0.5","reports/csv/live_coverage_layer.csv|reports/csv/live_user_performance_snapshot.csv",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildAnomalyWindowTable","implemented","derived_issue_windows","not_applicable",1,1
"low_sinr_window_14","medium","channel_interference","BIDIR",8,4,NaN,NaN,"HARQFailureRate","0.5","reports/csv/live_coverage_layer.csv|reports/csv/live_user_performance_snapshot.csv",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildAnomalyWindowTable","implemented","derived_issue_windows","not_applicable",1,1
"low_sinr_window_15","medium","channel_interference","BIDIR",16,3,NaN,NaN,"HARQFailureRate","0.5","reports/csv/live_coverage_layer.csv|reports/csv/live_user_performance_snapshot.csv",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildAnomalyWindowTable","implemented","derived_issue_windows","not_applicable",1,1
"low_sinr_window_16","medium","channel_interference","BIDIR",20,4,NaN,NaN,"LargeScaleWidebandSINR_dB","0.30445","reports/csv/live_coverage_layer.csv|reports/csv/live_user_performance_snapshot.csv",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildAnomalyWindowTable","implemented","derived_issue_windows","not_applicable",1,1
"low_sinr_window_17","medium","channel_interference","BIDIR",24,3,NaN,NaN,"HARQFailureRate","0.5","reports/csv/live_coverage_layer.csv|reports/csv/live_user_performance_snapshot.csv",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildAnomalyWindowTable","implemented","derived_issue_windows","not_applicable",1,1
"low_sinr_window_18","medium","channel_interference","BIDIR",32,4,NaN,NaN,"HARQFailureRate","0.5","reports/csv/live_coverage_layer.csv|reports/csv/live_user_performance_snapshot.csv",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildAnomalyWindowTable","implemented","derived_issue_windows","not_applicable",1,1
"low_sinr_window_19","medium","channel_interference","BIDIR",33,3,NaN,NaN,"LargeScaleWidebandSINR_dB","1.3332","reports/csv/live_coverage_layer.csv|reports/csv/live_user_performance_snapshot.csv",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildAnomalyWindowTable","implemented","derived_issue_windows","not_applicable",1,1
"dl_mcs_above_cqi_62","high","link_adaptation","DL",50,2,NaN,NaN,"MCSIndex","MCS=26;CQIDerivedMCS=20","air_interface/csv/dl_pdsch_trials.csv",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildAnomalyWindowTable","implemented","derived_issue_windows","not_applicable",1,1
