Direction,LinkAdaptationMode,ConfiguredLinkAdaptationMode,DirectionPolicy,ActualMCSSelectionMode,ConfiguredMCSSelectionPolicy,ConfiguredMCSSelectionMode,SchedulerGrantMCSSelectionMode,RequestedOperatingPointSource,AppliedOperatingPointSource,ActualMCSSelectionModeAuthority,CQITable,MCSTable,FixedMCSIndex,FixedModulation,FixedTargetCodeRate,Numerology_mu,SCS_kHz,SlotDuration_ms,SlotsPerFrame,SymbolsPerSlot,ConfiguredGridNumRBs,ActiveGridNumRBs,ActiveGridSource,NumerologySource,TimingInterpretationSource,CQISource,WidebandSINRMargin_dB,MultiUserEnabled,ConfiguredUsers,BrowserExecutionMode,UserExecutionModel,ConfiguredLayers,NoiseOperatingMode,ConfiguredSNRAnchorEnabled,DopplerSourceMode,ResolvedDopplerHz,MobilitySpeed_kmh,InterferenceMode,FullInterfererChannelTruthUsed,AntennaRuntimeObjectSource,ChannelArrayModel,ChannelObjectSource,ChannelObjectClass,ChannelArrayHandlingStatus,ChannelArrayHandlingBlocker,ChannelGeometryCouplingLevel,GeometryAdapterType,GeometryAdapterSource,GeometryAdapterLimitation,GeometryAdapterPortMapping,ChannelUsesSameRuntimeAntennaAssumptions,InterferenceChannelObjectSource,InterferenceChannelObjectClass,InterferenceChannelArrayHandlingStatus,InterferenceChannelArrayHandlingBlocker,InterferenceUsesSameRuntimeAntennaAssumptions,InterferencePathUsesSameArrayAssumptions,ControlIntegrationMode,PBCHMode,PRACHMode,PDCCHMode,PUCCHMode,SRSMode,TRSMode,TRSRuntimeConsumer,TRSInfluencedDecision,TRSInfluenceDefinition,TRSReceiverIntegrationStatus,TRSReceiverIntegrationBlocker,PBCHGatingActive,PRACHGatingActive,PDCCHGatingActive,SRSGatingActive,TRSGatingActive,ParallelExecutionActive,ConfiguredWorkers,EffectiveWorkers,ParallelDisabledReason,ConfiguredBatchSizeLinks,ConfiguredSchedulerType,ConfiguredMeasurementPeriodSlots,ConfiguredBeamUpdatePeriodSlots,ConfiguredTrafficModel,ConfiguredTrafficTransport,ConfiguredTrafficFlowDirection,ConfiguredTrafficTargetRate_Mbps,TrafficFlowSource,TrafficFlowDerivationMode,TrafficFlowResolvedFlag,CoupledGrantExecutionMode,RunStateSource,SlotTraceSource,SlotTraceRows,CanonicalSlotTraceFirst,TruthModeIndependentSweepForbidden,ExecutionBackend,PHYMode,WaveformBacked,WaveformPHYActive,ProxyPHYActive,FallbackUsed
DL,scheduler_grant_replay,amc,baseline,scheduler_grant,cqi_driven,cqi_driven,fixed_mcs,cqi_link_adaptation,scheduler_grant,raw_trial_runtime_evidence,table1,qam64_table1,not_applicable,16QAM,0.33203125,1,30,0.5,20,14,273,273,configured_n_size_grid,carrier_subcarrier_spacing_khz,nr_mu_from_scs,csi_feedback,5,1,50,LLS,slot_coupled_truth,2,receiver_noise_figure_thermal_noise,0,derive_from_ue_speed,11.1188031732717,3,full_per_link_channel_waveform_sum,1,CoupledTruthRuntime.initialize:AntennaArrayFactory.build,nrcdl_runtime_array_geometry_channel,sixgr.channel.ChannelFactory.localCreateCDL,nrCDLChannel,runtime_array_shape_spacing_orientation_coupled,not_applicable,runtime_array_shape_spacing_orientation,backend_native_nrCDLChannel_antenna_array,CoupledTruthRuntime.runtime_antenna_metadata_to_nrCDLChannel,not_applicable,runtime_array_shape_matches_channel_ports,1,not_emitted_by_active_runtime_operating_mode_runtime,not_recorded_by_active_runtime_operating_mode_runtime,not_recorded_by_active_runtime_operating_mode_runtime,not_applicable,0,0,runtime_control_access_tracking_state_gated,runtime_cell_search_gate,runtime_prach_success_gate_simplified_ra,grant_coupled_pdcch_dci_gating,runtime_coupled_pucch_grant_waveform_execution,srs_freshness_csi_gate,runtime_shared_receiver_tracking_state_gate,shared_receiver_tracking_state,1,shared_receiver_tracking_state_feeds_scheduler_eligibility_when_trs_gating_active,integrated_shared_tracking_object,no_trs_trial_row_in_current_bounded_run,1,1,1,1,1,0,1,0,parallel_not_requested,1,PF,2,4,fullBuffer,UDP,BIDIR,200,traffic.flows,explicit_yaml_or_browser,1,serial_per_grant_execution,reports/csv/run_state.csv,reports/csv/slot_trace.csv,10,1,1,WAVEFORM_LINK_BUNDLE,COUPLED_WAVEFORM_GRANT_EXECUTION,1,1,0,0
UL,scheduler_grant_replay,amc,baseline,scheduler_grant,cqi_driven,cqi_driven,fixed_modulation,cqi_link_adaptation,scheduler_grant,raw_trial_runtime_evidence,table1,qam64_table1,not_applicable,16QAM,0.33203125,1,30,0.5,20,14,273,273,configured_n_size_grid,carrier_subcarrier_spacing_khz,nr_mu_from_scs,csi_feedback,5,1,50,LLS,slot_coupled_truth,2,receiver_noise_figure_thermal_noise,0,derive_from_ue_speed,11.1188031732717,3,full_per_link_channel_waveform_sum,1,CoupledTruthRuntime.initialize:AntennaArrayFactory.build,nrcdl_runtime_array_geometry_channel,sixgr.channel.ChannelFactory.localCreateCDL,nrCDLChannel,runtime_array_shape_spacing_orientation_coupled,not_applicable,runtime_array_shape_spacing_orientation,backend_native_nrCDLChannel_antenna_array,CoupledTruthRuntime.runtime_antenna_metadata_to_nrCDLChannel,not_applicable,runtime_array_shape_matches_channel_ports,1,sixgr.channel.ChannelFactory.localCreateCDL,nrCDLChannel,runtime_array_shape_spacing_orientation_coupled,not_applicable,1,1,runtime_control_access_tracking_state_gated,runtime_cell_search_gate,runtime_prach_success_gate_simplified_ra,grant_coupled_pdcch_dci_gating,runtime_coupled_pucch_grant_waveform_execution,srs_freshness_csi_gate,runtime_shared_receiver_tracking_state_gate,shared_receiver_tracking_state,1,shared_receiver_tracking_state_feeds_scheduler_eligibility_when_trs_gating_active,integrated_shared_tracking_object,no_trs_trial_row_in_current_bounded_run,1,1,1,1,1,0,1,0,parallel_not_requested,1,PF,2,4,fullBuffer,UDP,BIDIR,200,traffic.flows,explicit_yaml_or_browser,1,serial_per_grant_execution,reports/csv/run_state.csv,reports/csv/slot_trace.csv,10,1,1,WAVEFORM_LINK_BUNDLE,COUPLED_WAVEFORM_GRANT_EXECUTION,1,1,0,0
