Direction,MetricName,BinStart,BinEnd,Count,SampleCount,SourceArtifact,Status
"DL","LLRMeanAbs",0,7300000000,26,150,"air_interface/csv/dl_pdsch_trials.csv","available"
"DL","LLRMeanAbs",7300000000,14600000000,6,150,"air_interface/csv/dl_pdsch_trials.csv","available"
"DL","LLRMeanAbs",14600000000,21900000000,35,150,"air_interface/csv/dl_pdsch_trials.csv","available"
"DL","LLRMeanAbs",21900000000,29200000000,50,150,"air_interface/csv/dl_pdsch_trials.csv","available"
"DL","LLRMeanAbs",29200000000,36500000000,17,150,"air_interface/csv/dl_pdsch_trials.csv","available"
"DL","LLRMeanAbs",36500000000,43800000000,7,150,"air_interface/csv/dl_pdsch_trials.csv","available"
"DL","LLRMeanAbs",43800000000,51100000000,1,150,"air_interface/csv/dl_pdsch_trials.csv","available"
"DL","LLRMeanAbs",51100000000,58400000000,2,150,"air_interface/csv/dl_pdsch_trials.csv","available"
"DL","LLRMeanAbs",58400000000,65700000000,4,150,"air_interface/csv/dl_pdsch_trials.csv","available"
"DL","LLRMeanAbs",65700000000,73000000000,0,150,"air_interface/csv/dl_pdsch_trials.csv","available"
"DL","LLRMeanAbs",73000000000,80300000000,0,150,"air_interface/csv/dl_pdsch_trials.csv","available"
"DL","LLRMeanAbs",80300000000,87600000000,2,150,"air_interface/csv/dl_pdsch_trials.csv","available"
"DL","LLRStdAbs",0,9700000000,49,150,"air_interface/csv/dl_pdsch_trials.csv","available"
"DL","LLRStdAbs",9700000000,19400000000,66,150,"air_interface/csv/dl_pdsch_trials.csv","available"
"DL","LLRStdAbs",19400000000,29100000000,17,150,"air_interface/csv/dl_pdsch_trials.csv","available"
"DL","LLRStdAbs",29100000000,38800000000,8,150,"air_interface/csv/dl_pdsch_trials.csv","available"
"DL","LLRStdAbs",38800000000,48500000000,5,150,"air_interface/csv/dl_pdsch_trials.csv","available"
"DL","LLRStdAbs",48500000000,58200000000,1,150,"air_interface/csv/dl_pdsch_trials.csv","available"
"DL","LLRStdAbs",58200000000,67900000000,1,150,"air_interface/csv/dl_pdsch_trials.csv","available"
"DL","LLRStdAbs",67900000000,77600000000,1,150,"air_interface/csv/dl_pdsch_trials.csv","available"
"DL","LLRStdAbs",77600000000,87300000000,0,150,"air_interface/csv/dl_pdsch_trials.csv","available"
"DL","LLRStdAbs",87300000000,97000000000,1,150,"air_interface/csv/dl_pdsch_trials.csv","available"
"DL","LLRStdAbs",97000000000,106700000000,0,150,"air_interface/csv/dl_pdsch_trials.csv","available"
"DL","LLRStdAbs",106700000000,116400000000,1,150,"air_interface/csv/dl_pdsch_trials.csv","available"
"DL","LLRImbalance",0,0.071,116,150,"air_interface/csv/dl_pdsch_trials.csv","available"
"DL","LLRImbalance",0.071,0.142,0,150,"air_interface/csv/dl_pdsch_trials.csv","available"
"DL","LLRImbalance",0.142,0.213,0,150,"air_interface/csv/dl_pdsch_trials.csv","available"
"DL","LLRImbalance",0.213,0.284,0,150,"air_interface/csv/dl_pdsch_trials.csv","available"
"DL","LLRImbalance",0.284,0.355,0,150,"air_interface/csv/dl_pdsch_trials.csv","available"
"DL","LLRImbalance",0.355,0.426,0,150,"air_interface/csv/dl_pdsch_trials.csv","available"
"DL","LLRImbalance",0.426,0.497,2,150,"air_interface/csv/dl_pdsch_trials.csv","available"
"DL","LLRImbalance",0.497,0.568,2,150,"air_interface/csv/dl_pdsch_trials.csv","available"
"DL","LLRImbalance",0.568,0.639,0,150,"air_interface/csv/dl_pdsch_trials.csv","available"
"DL","LLRImbalance",0.639,0.71,4,150,"air_interface/csv/dl_pdsch_trials.csv","available"
"DL","LLRImbalance",0.71,0.781,11,150,"air_interface/csv/dl_pdsch_trials.csv","available"
"DL","LLRImbalance",0.781,0.852,15,150,"air_interface/csv/dl_pdsch_trials.csv","available"
"UL","LLRMeanAbs",2000000000,2500000000,14,96,"air_interface/csv/ul_pusch_trials.csv","available"
"UL","LLRMeanAbs",2500000000,3000000000,16,96,"air_interface/csv/ul_pusch_trials.csv","available"
"UL","LLRMeanAbs",3000000000,3500000000,15,96,"air_interface/csv/ul_pusch_trials.csv","available"
"UL","LLRMeanAbs",3500000000,4000000000,0,96,"air_interface/csv/ul_pusch_trials.csv","available"
"UL","LLRMeanAbs",4000000000,4500000000,14,96,"air_interface/csv/ul_pusch_trials.csv","available"
"UL","LLRMeanAbs",4500000000,5000000000,7,96,"air_interface/csv/ul_pusch_trials.csv","available"
"UL","LLRMeanAbs",5000000000,5500000000,6,96,"air_interface/csv/ul_pusch_trials.csv","available"
"UL","LLRMeanAbs",5500000000,6000000000,6,96,"air_interface/csv/ul_pusch_trials.csv","available"
"UL","LLRMeanAbs",6000000000,6500000000,7,96,"air_interface/csv/ul_pusch_trials.csv","available"
"UL","LLRMeanAbs",6500000000,7000000000,11,96,"air_interface/csv/ul_pusch_trials.csv","available"
"UL","LLRStdAbs",1800000000,2140000000,7,96,"air_interface/csv/ul_pusch_trials.csv","available"
"UL","LLRStdAbs",2140000000,2480000000,5,96,"air_interface/csv/ul_pusch_trials.csv","available"
"UL","LLRStdAbs",2480000000,2820000000,10,96,"air_interface/csv/ul_pusch_trials.csv","available"
"UL","LLRStdAbs",2820000000,3160000000,13,96,"air_interface/csv/ul_pusch_trials.csv","available"
"UL","LLRStdAbs",3160000000,3500000000,13,96,"air_interface/csv/ul_pusch_trials.csv","available"
"UL","LLRStdAbs",3500000000,3840000000,9,96,"air_interface/csv/ul_pusch_trials.csv","available"
"UL","LLRStdAbs",3840000000,4180000000,17,96,"air_interface/csv/ul_pusch_trials.csv","available"
"UL","LLRStdAbs",4180000000,4520000000,6,96,"air_interface/csv/ul_pusch_trials.csv","available"
"UL","LLRStdAbs",4520000000,4860000000,7,96,"air_interface/csv/ul_pusch_trials.csv","available"
"UL","LLRStdAbs",4860000000,5200000000,9,96,"air_interface/csv/ul_pusch_trials.csv","available"
"UL","LLRImbalance",0,0.084,9,96,"air_interface/csv/ul_pusch_trials.csv","available"
"UL","LLRImbalance",0.084,0.168,4,96,"air_interface/csv/ul_pusch_trials.csv","available"
"UL","LLRImbalance",0.168,0.252,2,96,"air_interface/csv/ul_pusch_trials.csv","available"
"UL","LLRImbalance",0.252,0.336,4,96,"air_interface/csv/ul_pusch_trials.csv","available"
"UL","LLRImbalance",0.336,0.42,8,96,"air_interface/csv/ul_pusch_trials.csv","available"
"UL","LLRImbalance",0.42,0.504,31,96,"air_interface/csv/ul_pusch_trials.csv","available"
